start,end,text
720,5440," so uh today we're supposed to be doing game development but as i mentioned before game"
5440,10960," development i wanted to look into the ada and just talked about it and talk about its"
10960,19360," philosophy and whatnot and i think it was very interesting so let's continue bye-bye online see"
19360,26080," you see you um so what we're gonna be developing what we're gonna be developing we're gonna be"
26080,32800," developing the thing they've been developing yesterday uh zozin something right oh i need to"
32800,45680," also update the uh the title update the command mods updates commands perma update okay i also want to"
45680,53600," make us like a super quick break because i i need to drink something my throat is really dry and i would"
53600,60800," like to make a cup of tea but rest in peace kettle i do have a second kettle but it sucks"
60800,68880," and it's swallows by the way just like dwm uh anyway so just a second i'm gonna drink something and be"
68880,77600," back"
77600,77600," so"
77600,77600," so"
77600,86320," so"
86320,86320," so"
86320,95040," okay"
95040,95040," so"
95040,97040," so"
97040,99040," so"
99040,111760," okay"
111760,113760," i'm fully hydrated chat yes i'm fully hydrated"
113760,126480," uh"
126480,126480," okay"
126480,126480," uh"
126480,128720," okay so the time has come"
128720,131360," to update the title"
131360,134000," any title suggestions"
136080,139760," uh okay go ahead hit me what would you suggest"
139760,141120," as a title"
141120,145440," it's full"
145440,154320," this is that"
157120,163200," uh no russian hacker plays with guns will mean that we will have a lot of russians who"
163200,166320," will try to speak russian with me and this is an english speaking stream"
166320,171600," gun makes popu that's all yeah people are not gonna click it"
177520,179840," something in c plus plus"
179840,181120," that's a pretty good title"
181120,183920," um all right"
183920,191440," what i learned over the years of streaming is that when you try to"
191440,197200," like make a funny title with the pen upon and stuff like that it usually doesn't work"
198160,203920," really when you're trying to be like a funny clown in your title like people just don't don't like"
203920,204160," that"
204160,211200," seriously it's it's really interesting it's almost like it's annoying to people so if when you use this"
211200,216880," kind of like title pew pew ah ha ha funny game haha join the people no people don't click on that"
216880,223520," um when you're trying to be like a little bit more serious uh what like when you explain"
223520,227680," something like i'm doing c plus plus development and c plus plus people oh"
228160,235440," i like c plus plus i'm gonna click on that uh yeah i need to write ahaha to indicate the joke i see"
235440,244880," uh so only serious develop percentage yeah maybe maybe these kind of jokes are just not funny that's"
244880,252880," why people don't click all right something in c plus plus okay so let's just uh have this title then"
256560,263280," handmade from scratch c programming well not bad that's a pretty click baiting for for the twitch"
263280,265840," niche for the twitch programming section niche that's that's true"
265840,278400," um all right so project update cmd project a game development in c plus plus and the source code"
278400,289440," source code it's gonna be https github.com something yes that's what we are developing today"
289440,295440," uh and uh yeah we still have two hours to uh for for our stream and this is exactly what we're gonna do"
299200,305120," so the you can find the source of the game uh source code of the game in the chat and let's take a look"
305120,317280," at it title is as serious as you can get sure um oh i forgot that i was downloading the elf linux64"
317280,325920," executable for risk 5. so the question now is uh wait a second can i run this on my machine"
326640,337920," can i run on this machine okay net uh okay file all right it's elf 64 lsb executable dynamically link"
337920,350960," uh-huh so let's actually move this thing maybe just copy uh-huh and let's make it executable and uh"
350960,352800," let's just try to run that shit"
352800,364400," fuck that go away disgusting you're gonna hit me with some sort of like a windows like installers"
364400,369120," get out of my machine all right all right"
369120,375360," disgusting holy shit this is the most disgusting thing i've ever seen in my life"
378080,383920," the only thing that is more disgusting than that is the qt official installation okay so"
383920,387760," uh all right"
387760,399120," wait what's file command uh in my opinion file command is not as interesting as the man command have you heard"
399120,406400," about man command i think it's a pretty interesting so we can take man command and put other command after"
406400,412720," man and it will explain you what that command does have you heard about that one it's actually a pretty"
412720,418160," cool command it's it's better than file command in my opinion um all right so this is the game that we're"
418160,425280," developing here uh yes it has guns water guns and also fire guns"
430560,436960," um have you heard about one can yes i heard actually uh do you have it uh can i install it by the way"
436960,446000," it's not available on debium"
446000,452880," but yeah i remember it it was actually sort of some sort of like improved man or something but uh yeah i think"
452880,460080," it's not available on demon uh all right so uh yeah we have a gun and you know there's a very interesting"
