start,end,text
0,9340," are we live are we live already looks like we're live hello everyone and welcome to yet another"
9340,15960," zozin session how about that i bet you didn't expect that shit to happen yet again so let's"
15960,24980," make a little bit of an announcement and officially start the stream so and uh let's go um red"
24980,33360," square live on twitch and what are we doing today on twitch let me copy paste the topic today you"
33360,40200," are doing something special today we today we are about to jump into pretty deep rabbit hole i would"
40200,48740," say so today we're going to try to compile jai to web assembly right so the interesting thing about"
48740,56400," that is that uh jai does not support that at all uh but there is a couple of loopholes that we're"
56400,62420," going to explore today hopefully we'll see how it goes twitch.tv slash studying uh right so i hope i"
62420,66740," didn't make a typo and i'm going to ping everyone who's interested in being ping i don't think there"
66740,75860," is a type in here maybe there is um i have a little bit of dyslexia so hello hello everyone welcome welcome"
75860,83620," welcome so um let's take a look uh on the previous jai streams we were working on a jai break right so"
83620,93460," basically um breakout clone um in jai so i started to develop this breakout clone just you know to test"
93460,101780," things out and uh let's maybe take a look at it um so hello hello hello welcome welcome welcome welcome"
101780,109220," how are you guys doing so let me go to jai break and see if i need to fetch anything so because i've"
109220,116340," worked on this game a little bit off screen uh and i definitely need to fetch the latest stuff so after"
116340,124660," that uh i'm going to try to compile this entire thing so giant linux and we're going to go to the"
124660,132420," first dot jai uh okay so i actually upgraded to the latest beta right so and i have this problem yet"
132420,137860," again where i have to make this thing uh a system library right so i already explained that before"
138740,145860," and there you go so we have a game and i'm gonna try to run the game uh in debug mode super quick so"
145860,153940," this is how it looks like and uh yep so that's the game we've been developing uh it's actually pretty"
153940,158580," cool i really like how the the aesthetics of the game right so i think it's pretty it's pretty cool"
158580,165380," uh especially the color palette and stuff like that so one of the things that bothers me about this"
165380,173300," game is that i can't really share that game uh i can give people a binary right to run on their"
173300,180020," machines but i cannot compile it on anything but linux right so i would presume that majority of"
180020,187220," people actually use windows and i always think to be cross-platform right so usually i would just give"
187220,193140," people the source code and ask them just build it yourself right uh and that usually works quite well"
194100,200020," but unfortunately not everyone has a jaya compiler right so there's a like a couple of hundreds of"
