start,end,text
880,8120," Looks like we are live. Hello everyone and welcome to yet another recreational programming session. How about that?"
8120,13160," Let's make a little bit of an announcement and officially start the stream as usual."
13160,18280," What the hell has happened? Something with my keyboard, right?"
18280,28240," So, what are we doing today? What are we doing today? Today we're doing a red circle, live on Twitch."
29300,39060," And what are we doing on Twitch.television website? Today we are doing Python string distance, right?"
39060,44140," Python string distance. I'm going to give the link to the Twitch channel where we're doing all that."
44140,50440," Right, twitch.television. And I'm going to ping everyone who's interested in being pinged."
50440,55360," Just a second. And there we go. The stream has officially started."
55360,58640," So, the Discord is extra slow today for some reason. I don't know why."
59080,63780," Maybe they deployed a new version, right? Some change from an intern."
63780,66500," But yeah, hello, hello. Welcome, welcome everyone."
66500,70480," So, today we're going to be doing a little bit of a Python coding."
70480,78640," So, today we're going to explore a little bit, a very interesting algorithm that actually computes the distance between two strings."
78640,83220," Right, so this algorithm is actually quite often used in things like Git, I think."
83220,94660," I don't know for sure if Git actually uses that algorithm, but it has this feature where if you misspell a command, right, it actually suggests you similar commands."
95220,102480," So, how does it determine whether whatever input is actually similar to these commands, right?"
102960,107660," So, how I personally would do that, I would use something called Levenstein distance."
107660,113440," Right, Levenstein distance. I'm not sure how I spell that correctly, I'm really sorry."
114560,126820," So, and this is basically the amount of actions, insertions, deletions, and substitutions you have to make to the first string to get the second one, right?"
127260,131840," So, and the amount of such actions is called Levenstein distance, right?"
131840,140520," And the bigger, or rather, the smaller that number is, the closer the strings are to each other, right?"
140520,148500," So, and having this sort of metric, it's super easy to come up with an algorithm that takes your input, like in the case of a Git,"
148920,153680," iterate through all the commands and computes their Levenstein distance and basically presents you with"
153680,161640," top 10 closest to what you try to input and then you can pick whatever you actually want to put in there, right?"
161640,170300," So, this is a very interesting algorithm. I used it in the past for my own command line tools and stuff like that, right?"
170300,177740," But the problem with, at least personally for me, with this algorithm is that I always treated it as a black box."
177940,184320," I never tried to understand this algorithm. So, what I usually did is essentially I would go to the Wikipedia article"
184320,193700," and I would just like copy this formula. I just put this formula into the code and simply use it as a black box"
193700,201080," without trying to understand. But the problem with that approach is that what if I have a different set of actions, right?"
201080,206960," What if I don't have substitutions? You know what I mean? Right? How do I modify this particular black box"
206960,211340," To have different sets of actions?"
211340,215340," And furthermore, the thing this algorithm gives me is the amount of actions, right?"
215340,219900," Only the amount, but it doesn't give me the specific actions."
219900,227400," It would be kind of cool to also have an algorithm that on top of giving me the amount of like minimal amount of actions that I have to perform,"
227400,231780," It will give me the list of actions. It will give me the list of actions. That would be kind of cool."
231780,233780," I think."
233780,241780," And once you get the algorithm that gives you the list of actions, like where you have to insert a character or remove a character."
241780,250160," What if you replace characters with the lines now, you would get an algorithm that computes a div between the files?"
250160,256160," Right. I think. I'm not sure if this is the actual algorithm that is used in like diff utilities and stuff like that."
256160,262540," But it feels like, you know, the 11th 10 distance, right?"
262540,267540," Because the patches are usually expressed in terms of like adding a line and removing a line."
267540,272540," Right. And this is basically like that, except instead of lines, we use characters, but who said we have to use characters?"
272540,278680," Right. So it's just like, I mean, it could, could be anything. It could be any sequence of objects."
278680,281720," Right. So, and that's what I want you to do today."
281720,285880," I want you to explore this algorithm a little bit closer."
285880,289560," Right. So we've got some subs."
289560,294220," Thank you so much, Cina Basil for seven months of tier one subscription."
294220,295460," Thank you. Thank you. Thank you with the message."
295460,299840," I don't know why I wasn't subbed, but hi, hi, really glad to see you."
300240,302580," Hi, hi, hi."
302580,303240," All right."
303240,308280," So let's go and create a folder where we're going to be doing all of our shenanigans."
308280,309740," Right."
309740,311860," So let's call it LevPy."
311860,312980," Right."
312980,315760," And let's create a file LevPy."
