start,end,text
80,5920," looks like we're live hello everyone and welcome to yet another recreational programming session"
5920,10160," with the mr zozin let's make a little bit announcement and officially start the stream"
10160,19280," uh red car uh live on twitch and what are we doing today on twitch adult a television website"
19280,26960," today we are uh speeding up some right i'm gonna give you a link to where we're doing all that uh"
26960,33040," http as twitch.tv/cerning and i'm gonna ping everyone who's interested in being pinged and"
33040,38800," go the stream has officially started the stream has officially started so on the previous stream"
38800,47280," we implemented a seam carving algorithm which enables you to do uh you know content aware resizing and"
47280,53200," stuff like that so this is sort of like a meme uh application for this algorithm because it works so"
53200,62400," bad and faces the main um the main purpose of that algorithm is in fact uh to scale things like this"
62400,68480," right so for instance i want to actually make this image narrower uh without disturbing neither the"
68480,76000," person nor the building so i can make a i can use a content aware algorithm to do that so let me actually"
76000,82400," click we try to try to do that so here's the image uh and i'm gonna do output png it's probably gonna take"
82400,89840," some time and that's the main basically problem with this algorithm as you can see uh it is goddamn slow"
89840,97120," right so let's wait until it finishes and we'll see the result hello hello everyone welcome welcome welcome"
97120,107040," how are you guys are doing uh so yes it's getting faster actually i suppose because the image becomes"
107040,111120," smaller so it's kind of getting this is very interesting actually i never thought about it"
111120,117840," uh yeah there we go so and uh again the original image looked like this and our goal was to make it"
117840,124960," narrower so now it looks like this actually it's too narrow but what was funny is that it even carved"
124960,132000," a little bit out of the building to actually fit the person actually it's kind of funny how it like sort"
132000,138720," of like follows the silhouette of a person a little bit kind of uh right so but but that's basically what"
138720,145600," the content aware algorithm like resizing is right so it's aware of the content automatically uh right"
145600,153680," and it just like realigns the objects i suppose right so that's what it is and uh like there is a couple"
153680,161280," of low hanging fruits in the whole implementation that i did which will help us to speed it up a little bit"
161280,168400," ideally i think the performance of the algorithm should be fast enough so we can resize things in real time"
168720,174320," right because in the original paper uh right so let me actually see if i can find the original paper"
174320,178800," uh yeah okay so here's the original paper i'm gonna put it in in the chat and also it's gonna be in the"
178800,189040," description uh right so speed speeding up some sheets uh right so they demonstrated the algorithm"
189680,202800," resizing images in real time on 2005 computer with windows xp right so yeah imagine like 20 years ago"
202800,211360," it was already possible to do this algorithm in real time uh right so and this is a 10 years old laptop so"
211360,216240," definitely it should be possible in 10 years of laptop but we'll see we'll see maybe we'll not have"
216240,221520," enough time to actually do that to actually do the real time thing on today's stream but at least i"
221520,227920," want to not use a very naive approach anymore right so because there are some things to that can be"
227920,233760," easily improved in that algorithm already so and that's going to be the topic for today's stream right"
233760,241200," speeding up some shit speeding up some shit so let's take a look at some uh stuff oh my god that's"
241200,246640," that's that's a huge text so team scar thank you so much for twitch prime with the message hi mr zos"
246640,254560," i'm going to use my sub to suggest a stream idea using you all i like with a ray leap why because it"
254560,262080," would give the same deep inside as apl while being plain old unicode that gets formatted by the compiler"
262080,268960," into the symbols it has an ffi so ready is the uh is the picture and it can do things like threads file"
268960,275360," systems networking one interesting insight for the example would be that oh my god any output or a"
275360,282480," can be magically recognized the sound pictures or gifs just suggesting that's all i have no idea what"
282480,291040," what that is let me actually google that so the the language is my favorite programming language"
291040,305360," uh all right so what jesus christ okay uh so sum length divide okay so i suppose you're kind of pushing this"
305360,314880," list on onto this thing so let's actually see uh all right so it's four you sum up uh"
314880,322400," okay i guess i will take a look at this language but but but i won't promise anything honestly i won't"
322400,329760," promise anything we'll see we'll see um so yeah brooklyn dev thank you so much for twitch prime with the message"
329760,334000," keep up the awesome streams thanks mel you're welcome you're welcome i'm just like checking"
334000,340160," things that i find interesting uh valini thank you so much for tier one with the message speeding up some"
340160,346400," scheisse that's right my new friend uh jason rose fuzz thank you so much for your once a question with"
346400,352400," the message love these topics uh thank you right now people suggesting them on discord actually uh so i"
352400,357040," picked the ones that i personally find interesting sandy x thank you so much for tier one with the message"
357040,364000," speeding up some omg he's gonna cmd the algorithm honestly i'm not gonna cmd the algorithm because"
364000,370560," it's kind of uh pointless with modern compilers because they will cmd the for you automatically"
370560,375440," anyway right so there's the uh optim kind of optimizations that compilers do these days which"
375440,381040," is called vectorization uh so they can do that automatically you don't really have to do that manually"
381040,386800," so what i'm going to be doing is rather restructuring the code so it doesn't do things that"
386800,393840," are unnecessary right so i'm going to do something that the compilers cannot do automatically"
393840,398240," uh right so that's what i'm going to be doing whether it's going to be asymptotic optimization"
398240,403360," i think it's going to be asymptotic optimization right right so i think there's we could do some"
403360,408640," asymptotic improvements on the algorithm right so it's not going to be like this kind of stuff right"
408640,426080," because that can be delegated to the compiler so yeah yes so we have some interesting question in the chat"
426080,433600," hi it's sodium when i cut for several hours my eyes start getting dry there's a very easy solution just look at"
433600,440640," your issue tracker and you will instantly cry and that will help with the dryness of your eyes so that's"
440640,450000," how i personally do that uh so it helps it actually works um so let's go and just like take a look at"
450000,454640," what we can do with these shots so there's also pull requests in here which i probably won't accept"
454640,461600," let me actually take a look at that uh so uh use original sim value during loop i already looked into"
461600,466000," this pull request and it kind of makes sense so i'm probably gonna just accept this thing"
467440,475280," uh and yeah so i think i did a little bit of a fucky walkie as i was recovering the seam yeah yeah yeah"
475280,482320," so let's actually take a look at this entire thing so seam carving uh to be fair at that stream i was"
482320,490960," extremely sleepy again it is a miracle that i managed to implement something right so it is absolutely"
490960,496640," freaking miracle i didn't expect that i will manage to implement anything honestly uh so the fact that it"
496640,502560," has a little bit of a box it's fine right so we can just like iron out the kinks uh you know and stuff"
502560,510160," like that so what are we doing here uh so here we sort of did the dp already i suppose yeah so here we"
510160,517760," did already the dp then we start looking at the bottom of the image trying to find the smallest seam"
517760,524480," which is understandable right so this is the smallest seam and as we go to each individual row what we're"
524480,536880," doing is that yeah so we are imagine that we are essentially uh somewhere in here right so we are at"
536880,544400," a particular row and we're currently looking at this specific sort of pixel uh maybe i'm gonna even do"
544400,550240," something like that so we're looking at this specific pixel and what we need to do actually as we climb up"
550880,556720," uh right we need to look at these things uh right we need to look at these things and pick the column"
556720,565440," that is the smallest among these three and we are collecting that results into the seam so and then we're"
565440,572800," since we're using that original seam to pinpoint this location we're kind of moving it and it keeps drifting"
572800,583280," around and this is such a subtle bug that was not really obvious because i suppose on average it was"
583280,589680," okay yeah i think on average it was okay in fact here's an interesting thing here's an interesting"
589680,595280," stuff we can use for optimization in the original wikipedia article they said that you don't really have to"
595280,607120," use even dp they say that greedy algorithm works so a greedy algorithm would be not computing the dp table"
607120,613680," and like traverse and everything but just using the result of the sobel filter directly just always"
613680,619040," pick the one that is the smallest so that that's going to be the greedy one uh right so we're looking up"
619040,626560," who's the has the smallest energy so we go there it's not going to be globally optimal path but it's"
626560,632480," going to be sort of locally one and they say that it also works it works a little bit worse but it works"
632480,639840," and it's faster so because the greedy approach works i think that's why this bug stayed unnoticed"
639840,647120," right so so thank you so much whoever actually uh submitted the fix uh so uh i'm going to actually"
647120,656480," accept that thank you thank you thank you so oh thank you so much for catching this"
656480,665440," right so i'm going to just merge that uh right into the repo right into the repo so essentially the idea"
665440,671280," is to basically like pin the original sim so we're saving the original sim in here"
671280,677760," and as we are computing the next sim yeah we're always doing the original the way of setting from"
677760,682320," the original one so yeah that's that's a good solution i think that's a good solution thank you thank you so"
682320,693200," much um so you see i'm not outright rejecting everyone's pull requests i merge them sometimes right so"
695200,705120," uh so that video where i was actually reviewing pull requests on in zozylib.js uh so many people"
705120,710400," got really angry not so many people but some people got really angry that i was rejecting some pull"
710400,715040," requests without writing a wall of text of justification of why i rejected the pull request"
715040,722320," the reality is i get way too many pull requests to actually give this much attention to each individual one"
722960,733040," i'm sorry i'm sorry i'm doing that for free or literally so yeah as i don't freaking know um anyways"
733040,739120," i don't really owe anything to anybody uh so let's go ahead and just fetch the things"
739120,748480," avoided book backdoors what if this pull request actually introduced some back doors you know is there any"
748480,753600," scroll to the right no there is no any scrolling right maybe some kind of a trick would be to put"
753600,761600," some code somewhere far in the right uh right so you you will notice and then just merge it i wonder if"
761600,768400," it's possible to do on github it's really interesting anyways so let's actually merge that and uh let me"
768400,777040," actually try to run this entire thing and see if it um you know fixes some bugs maybe that bugs of carving the"
777040,784240," side side of the building was caused by that not because the person was too close but because that"
784240,789520," bug it's very interesting i never thought about it let me see it my team"
789520,798160," should have asked chat gpt to ask a wall of rejection text god damn it yeah"
799040,804160," probably the funny thing about like using chat gpt to generate these"
804160,810160," bullshit responses and stuff like that is that people just use chat gpt then to get the summary"
810160,817600," of bullshit responses and it's just like it adds this intermediate like useless oh oh"
817600,836560," all right all right so um no it still actually carves this thing around uh i think it even carves even"
836560,845600," more so yeah i don't know uh i didn't i don't think it actually changed anything that much we can also take a look at"
845600,851280," we can also take a look at the lena all right so does the lena change the shape of the face"
851280,856320," uh if we do it like that so let me readjust the camera"
856320,862640," uh super quick so lena is a little bit faster because it's a smaller image"
862640,868320," uh now it's pretty much the same uh yeah it's pretty much the same i suppose yeah"
869040,875440," so anyways uh what we can do to actually speed it up a little bit maybe it would make sense to"
875440,883200," um essentially measure the performance every time we run this entire thing right so because here we're"
883200,888000," just compiling this entire stuff and then we're running the application so it would make sense to"
