start,end,text
0,29980," For more information visit www.fema.gov"
30000,59980," For more information visit www.fema.gov"
60000,89980," For more information visit www.fema.gov"
90000,119980," For more information visit www.fema.gov"
120000,149980," For more information visit www.fema.gov"
150000,179980," For more information visit www.fema.gov"
179980,209960," For more information visit www.fema.gov"
209960,239940," For more information visit www.fema.gov"
239940,269920," For more information visit www.fema.gov"
269920,299900," For more information visit www.fema.gov"
299920,329900," For more information visit www.fema.gov"
329920,359900," For more information visit www.fema.gov"
359920,389900," For more information visit www.fema.gov"
389920,419900," For more information visit www.fema.gov"
419920,449900," For more information visit www.fema.gov"
449920,479900," For more information visit www.fema.gov"
479920,509900," For more information visit www.fema.gov"
509920,539900," For more information visit www.fema.gov"
539920,569900," For more information visit www.fema.gov"
569920,599900," For more information visit www.fema.gov"
599920,629900," For more information visit www.fema.gov"
629920,659900," For more information visit www.fema.gov"
659920,689900," For more information visit www.fema.gov"
689920,719900," For more information visit www.fema.gov"
719900,749880," For more information visit www.fema.gov"
749880,779860," For more information visit www.fema.gov"
779860,809840," For more information visit www.fema.gov"
809840,839820," For more information visit www.fema.gov"
839820,869800," For more information visit www.fema.gov"
869800,899780," For more information visit www.fema.gov"
899780,929760," For more information visit www.fema.gov"
929760,959740," For more information visit www.fema.gov"
959740,989720," For more information visit www.fema.gov"
989720,1019700," For more information visit www.fema.gov"
1019700,1049680," For more information visit www.fema.gov"
1049680,1079660," For more information visit www.fema.gov"
1079660,1109640," For more information visit www.fema.gov"
1109640,1139620," For more information visit www.fema.gov"
1139640,1169620," For more information visit www.fema.gov"
1169620,1199600," For more information visit www.fema.gov"
1199620,1229600," For more information visit www.fema.gov"
1229600,1259580," For more information visit www.fema.gov"
1259580,1289560," For more information visit www.fema.gov"
1289560,1319540," For more information visit www.fema.gov"
1319540,1349520," For more modern and www.fema.gov"
1349520,1379500," For more information visit www.fema.gov"
1379500,1409480," For more information visit www.fema.gov"
1409480,1439460," For more information visit www.fema.gov"
1439480,1469460," For more information visit www.fema.gov"
1469460,1499440," For more information visit www.fema.gov"
1499440,1529420," For more information visit www.fema.gov"
1529420,1559400," For more information visit www.fema.gov"
1559420,1589400," For more information visit www.fema.gov"
1589420,1619400," For more information visit www.fema.gov"
1619420,1649400," For more information visit www.fema.gov"
1649400,1679380," For more information visit www.fema.gov"
1679380,1709360," For more information visit www.fema.gov"
1709360,1739340," For more information visit www.fema.gov"
1739340,1769320," For more information visit www.fema.gov"
1769320,1799300," For more information visit www.fema.gov"
1799320,1829300," For more information visit www.fema.gov"
1829320,1859300," For more information visit www.fema.gov"
1859320,1889300," For more information visit www.fema.gov"
1889320,1919300," For more information visit www.fema.gov"
1919300,1949280," For more information visit www.fema.gov"
1949280,1979260," For more information visit www.fema.gov"
1979260,2009240," For more information visit www.fema.gov"
2009240,2039220," For more information visit www.fema.gov"
2039220,2069200," For more information visit www.fema.gov"
2069200,2099180," For more information visit www.fema.gov"
2099200,2129180," For more information visit www.fema.gov"
2129180,2159160," For more information visit www.fema.gov"
2159160,2189140," For more information visit www.fema.gov"
2189140,2219120," For more information visit www.fema.gov"
2219120,2249100," For more information visit www.fema.gov"
2249100,2279080," For more information visit www.fema.gov"
2279080,2309060," For more information visit www.fema.gov"
2309060,2339040," For more information visit www.fema.gov"
2339040,2369020," For more information visit www.fema.gov"
2369020,2399000," For more information visit www.fema.gov"
2399000,2428980," For more information visit www.fema.gov"
2428980,2458960," For more information visit www.fema.gov"
2458960,2488940," For more information visit www.fema.gov"
2488940,2518920," For more information visit www.fema.gov"
2518920,2548900," For more information visit www.fema.gov"
2548900,2578880," For more information visit www.fema.gov"
2578880,2608860," For more information visit www.fema.gov"
2608860,2638840," For more information visit www.fema.gov"
2638840,2668820," For more information visit www.fema.gov"
2668820,2698800," For more information visit www.fema.gov"
2698800,2728780," For more information visit www.fema.gov"
2728780,2758760," For more information visit www.fema.gov"
2758760,2788740," For more information visit www.fema.gov"
2788740,2818720," For more information visit www.fema.gov"
2818720,2848700," For more information visit www.fema.gov"
2848700,2878680," For more information visit www.fema.gov"
2878680,2908660," For more information visit www.fema.gov"
2908660,2938640," For more information visit www.fema.gov"
2938640,2968620," For more information visit www.fema.gov"
2968620,2998600," For more information visit www.fema.gov"
2998600,3028580," For more information visit www.fema.gov"
3028580,3058560," For more information visit www.fema.gov"
