start,end,text
0,10800," looks like we're live hello everyone and welcome to yet another"
10800,22240," hello hello so uh let's make a little bit of an announcement and officially start the stream so"
22240,28160," let me bring my discord server which is a little bit laggy right now uh so hello hello everyone"
28160,37520," i really got the seal so red i wanted red circle but i got red car okay so live on twitch and what"
37520,43600," are we doing today on twitch.television today we're doing game death and jay right so i still"
43600,50000," want to continue developing the jay break game uh that i started you know some time ago right"
50000,55040," this is how it looks like you can find the source code of this thing here i'm going to post it in"
55040,58640," the chat and if you're watching on youtube eventually i don't know when i'm going to"
58640,64080," publish all of that because i have a huge backlog uh you will find that in the description hopefully i"
64080,69440," don't know if i don't lose the description file right so i have a ton of description files right"
69440,77440," so maybe i'll lose something at some point who knows uh right so and let me give the link to the twitch.tv"
78400,84320," and i'm going to ping everyone who's interested in being pinged by the way the uh you know role"
84320,90880," assignment bot is actually fixed so if you go to roles and just click on pinged it will assign pinged"
90880,95440," role to you so you don't have to worry about that i should probably convert announcement channel to the"
95440,100560," announcement channel right so the discord supports that because people were coming up with their own"
100560,106960," solutions but i'm a boomer i don't know how to use discord so i'm sorry i'm also afraid that i'm going to"
106960,113360," break something and waste my time so the current system works and as an experienced programmer"
113360,119680," i know that if something works you better don't touch it hello hello everyone welcome welcome welcome"
119680,125840," so let's take a look at the game let's take a look at the game i don't think i actually was developing"
125840,132880," anything for that game off screen so i haven't streamed for like several days and uh for the whole time i was"
132880,140160," working on my bot right for the chatbot i'm currently rewriting my chatbot and go to um you know simplify"
140160,145280," maintenance because the current bot was written in haskell and haskell is a pain in the ass to maintain"
145280,152960," uh if somebody tells you otherwise they're lying they're lying because they're brainwashed by haskell"
152960,163920," propaganda so okay hello hello uh anyway so haskell is one of those languages that is developed by"
163920,169280," mathematicians but the problem with mathematicians is that they're not really great software developers"
169280,173280," they're great mathematicians but they are not great software developers which means"
173280,180480," uh haskell is a beautiful and elegant language and i'm saying that ironically it is a beautiful and elegant"
180480,186880," language that is pain in the ass to use because it's not engineered properly right so things like cabal and"
186880,192320," stack they're just like so fucking painful the packaging is painful like everything related to"
192320,199520," software part the actual software part in haskell is fucking painful but the language itself is beautiful"
199520,203600," and you can clearly see that it's created by mathematicians they're great mathematicians right"
203600,208880," so they created beautiful language but they couldn't engineer it properly so it's so frustrating"
208880,214080," because i want to use haskell i like haskell but it's just like implementations are pain in ass"
214080,228320," so uh anyway i'm sorry why do you host your bot on that laptop because i can't pay for virtual private"
228320,236400," servers so i have my own real server yes this is a this is a data center right so"
237760,242880," and this is this is this is the server and i'm not joking well the the bottom that is currently answering"
242880,247120," the the project commands it's it's sitting there uh so"
247120,258080," best data center so i also have a couple of uh routers right and i'm thinking to actually change their"
259040,267760," firmware and also connect them to to the cluster i don't know anyway so uh let's take a look at the"
267760,274000," game right so this is a jailbreak and uh i think on the previous stream we were working specifically on"
274000,281520," meta programming right so i know that people told me that there is like a built-in uh thing in jai to"
281520,287840," reload the configuration files and stuff like that but they decided to make my own one because i want to at least"
287840,293680," learn how to do meta programming and jai otherwise i won't learn anything right so and this project is"
293680,304240," for learning right so i wonder if i still have any changes um okay so let me let me see so here are the"
304240,315680," changes and yeah all right uh so let me just go ahead and try to compile that and see whatever it will tell"
315680,324240," me uh is it software i don't quite remember i think it's opt uh bin jai and i'm going to do i think i have"
324240,330720," to do first j right so because now we have a build script right i'm running a build script that then builds the"
330720,337920," actual uh you know the actual program which we then uh can run so i'm going to do j break and there you"
337920,347200," go so here is the game right so here's the game this is how it looks like uh okay so to refresh what i"
347200,353120," want you to have is i want you to have this file uh with configuration right so this is a file with"
353120,359600," configuration and i want to be able to dynamically reload that configuration as you can see currently"
359600,365120," i have a lot of configuration parameters and they're all hard coded right uh but i want to be able to"
365120,371440," reload them so i'm slowly moving them into a separate file and also have a i want to have an option that um"
372000,379040," when i'm ready to do a release i want to actually strip off anything related to hot reloading right"
379040,385920," and bake those constant constants into the uh into the final program right so and that's basically what"
385920,395920," we were working on and um here we created a simple meta program that at build time uh parses the um"
398000,404880," the param.conf and generates like everything that you need to generate in here so and it managed to"
404880,410640," generate like a constant stuff right so it's generating constant stuff but i also want to be able to"
410640,413120," have the dynamic hot reloading stuff"
413120,422320," hot reloading stuff and maybe this is what i'm going to be working on right now i think that's a very"
422320,431360," interesting idea yeah i think it's a very interesting idea so essentially uh move all of that parsing"
431360,436720," stuff into a separate module that can be reused by runtime as well yeah that's a cool thing you can"
436720,444560," reuse the same code for building and for the runtime if you want to that's actually pretty cool so i think"
444560,450160," that's what i think that's what i'm going to do i like the font you use for the game text you can find"
450160,457600," this font in uh forms folder it's called uh allegrea i hope i pronounce it it's correctly but yeah it's"
457600,463600," called the gray and it's uh under ofl so it's sort of like a free like open source license for fonts"
463600,471120," and you can find this font on github in here so uh i'm gonna actually put it in here"
472480,476320," can you do that i'm pretty sure zeke can do that i just like didn't learn how to do that"
476320,487920," uh all right so the font i use for the game right it's actually a pretty cool font"
487920,492640," specifically for the game it just like fits really really well um okay"
492640,502320," so and of course you can find that in the source code the source code of the game is open and"
502320,508480," here is the font right so it comes with the game um so all right"
508480,515200," uh so uh"
515200,521520," for rams"
521520,531200," uh a challenge starting to create their own broadcasting software like obs written in zig"
532160,541280," uh well people had to donate to me 300 just for me to check zeke because this is how much i didn't"
541280,549760," want to do that are you sure you have enough money to actually force me to write anything serious in"
549760,558640," it 300 bucks just to check it just check it just hello world 300 bucks are you sure you have enough money"
558640,562960," for obs think about that uh so"
562960,567440," uh anyway"
567440,576320," so it's not about the challenge it's just like i don't want to do that i have better things to do with"
576320,584640," my life uh okay so what i want to do right so i want to move everything related to parameter parsing"
584640,591520," um into a separate module right so i already created a file called params.j right so and let's go ahead"
591520,598000," and just like literally move everything there so first we have a param uh right so here is a param"
598000,603600," so it's a structure it contains the name and contains the value so this is the uh the types that"
603600,610800," we support right now right so we also have a simple function that accepts a line and turns it into a parameter"
610800,618320," right so it also has a boolean and stuff like that um oh by the way do you guys remember how i had a"
618320,626080," problem when i confused the order of params and boolean uh so uh jonah as far as i know he already"
626080,632160," fixed it today on the stream so this is actually super cool uh because i reported that bug to like"
632160,637600," wire email and he accepted it and he fixed it today so the next bet is gonna be fixed so cool"
637600,646160," i'm contributing to the language i'm actually contributing to the language holy shit wow um"
646160,660000," okay so uh let's continue so i'm gonna take this thing and the problem with that thing was uh i wonder if i can"
660000,670400," demonstrate that uh right so if i remember correctly so test the adj right so main something something"
670400,675840," like this so essentially if you had the structure right so let's define i don't know full right so this"
675840,684160," is a structure uh struct and if you have something that constructs that structure right and that something"
684160,691280," returns not only the structure but also like a boolean right so i think i think that sounds like a"
691280,700400," boolean and if you return it uh like so and then you make that structure so you do full okay and you do"
700400,707280," make and then you can check if not okay you want to report an error right so maybe i'm going to do that"
708560,712640," uh i keep forgetting that i don't have to put curly braces in here because i've been programming in go"
712640,718640," for the past like several uh several days so go doesn't allow you to do things like that which"
718640,724880," sometimes convenience and technically but uh jay allows you to do that so this is a failed um right"
724880,733840," and here we probably want to import basic right so it actually enables the the q basic support for the"
733840,741920," language i don't know it doesn't uh all right so let me do test j all right everything's fine in here"
741920,749360," so semicolon it wants a semicolon uh what else does it want it's not a function right it's not a function"
749360,757200," and as you can see it compiles but if you accidentally uh confuse the order of the return uh return parameters"
757200,762880," it will tell you something really weird it will tell you that uh exclamation mark is not"
762880,768160," declared identifier so and that is extremely confusing and the reason why it tells you that is because"
768160,773680," the exclamation mark is overloaded right it is overloaded and it's not defined for this structure"
773680,779440," right but the error message itself is extremely confusing so john already fixed that today uh so"
779440,783280," the next better should be should be fine so which is just kind of cool"
783280,797120," i've only just recently started doing anything in law for video game wiki i don't know anything about it"
797120,804400," uh it's basically javascript uh but with the pascal syntax so that's everything you need to know about"
804400,809680," lure though type system of lure is better than the javascript system so it's stronger"
809680,815920," right actually if we took javascript today and replace it with lure we would be in a better place"
816640,818160," just because of the better type system"
818160,836240," okay so here are the parameters and let's also move the function right so the reason why i remember that"
836240,842960," example is because it's like literally similar example in here so this function depends on this input so i'm"
842960,850800," going to put it in here uh and i wonder if i have to actually do it here as well no i don't have to"
850800,857760," okay that's perfect and maybe in here okay so let me try to compile the entire thing and see where it"
857760,863520," is going to complain right so it complains about uh not having parse parameters okay so i can do quite"
863520,870720," quite easily import uh param right and hopefully it will find everything is it called param do i have to"
870720,881120," call it programs uh okay so is it like small okay so search path oh this is actually so cool unable to"
881120,887600," load a module called params in any of the module directories right so search path is this so i suppose we"
887600,896880," have like several options i know there in jay instead of import you can do a thing called lot uh which"
896880,903600," essentially works like like in include right so in ccc plus plus you have include and it just like takes"
903600,909520," the entire file and includes it in here uh but import like creates a separate module i don't know for sure"
909520,915680," right but yeah so i suppose for load we don't have to modify the search path let me let me actually try"
915680,922480," that and i think that was true that was absolutely true so i didn't have to modify the the include path"
922480,926800," so but to modify the search path i probably would have to"
928480,932720," uh use compile time parameters right so and i don't really want to learn about them right now"
932720,952320," all right so yeah we have parameters in here um and what's interesting is that i want to"
954560,961280," maybe uh abstract out this process you see this process is really interesting because it just"
961280,968080," iterates line by line and then does something with that line but at the same time i want to make this"
968080,976160," part parametrizable right so right now in the at the compile time what we do we simply add the parameter"
976160,983280," into the into the build right we just use add build string but maybe if you're doing runtime stuff you"
983280,988800," want to do something different for instance added to the to the hash table right which which makes"
988800,993920," sense right so at runtime you want to be able to move it to the hash table so what we can do here we"
993920,1000560," can probably extract that to a separate function that is parameterized by a lambda so we're going to be"
1000560,1008080," doing a functional programming in j do we have any functional programming fans in here"
