start,end,text
0,7200," Hello everyone and welcome to another totting session. How about that?"
7200,10320," How about that? But you didn't expect that shit to happen today."
10320,16740," Well, I mean, I'm doing the Monday session, but since it's a late night, it's already Tuesday,"
16740,24600," but it's like 1:00 a.m. right now. Almost 1:00 a.m. 46 minutes, actually, to be precise,"
24600,32640," if you're interested in that preciseness. So, and on the Monday session, we are doing web development."
32640,40680," Specifically, I allocated this slot for developing Emote Jam, which is basically a simple website that"
40680,46320," generates animated BDTV emotes from static images. So let me actually put that in the description,"
46320,59520," you know, as usual, as usual. So let me see, it's going to be Emote Jam. So, and on the previous stream,"
59520,66960," we started to do, started to develop a very simple front-end framework for this, for this website."
66960,74960," So the framework is called Gretcher.js. You can check it out here, of course, Gretcher.js. So it's going to be"
74960,81200," in the description, if you're interested in this thing. I also factor it a little bit. So yeah,"
81200,88800," the whole framework now is around 65 lines of code."
88800,96480," Yeah. So it's actually on the previous stream, we developed more, but then I compressed everything."
96480,103040," So I basically extracted a list of mundane tags and I basically crunched them and automatically generated"
103040,109680," their implementations, right? For such tags as h1, h2, h3, p, a, div, span, and maybe even more."
109680,115840," We're going to add more mundane tags in there. You can quite easily just automatically implement them."
115840,121840," Right. So that comprise the whole framework to 65 lines, but it's going to be bigger in the future,"
121840,126400," right? So as we add more and more features. And this is a framework for developing"
127120,131680," single page applications. So what you can do in this framework, you can have a page,"
131680,139040," which you can click things on and you can have different pages. And as you can see, it even"
139040,146320," automatically manages the URL. So it has a built-in router and yeah, this is a single page application"
146960,153280," that doesn't need any server. So yeah. And all of that is in the framework of 65 lines of code."
153280,162400," Right. So what I was planning to do today is to try to integrate to some extent this framework in"
162400,170800," into Emote Jam or at least try to see how difficult it would be. Right. So Emote Jam looks like this. So for"
170800,176960," the photos who doesn't know, you basically can upload any image in there. Let's actually upload a sus"
176960,188480," kind of kind of sus image, not gonna lie. So, and then you can apply different filters on this thing."
188480,199040," So you can, yeah, hop, hopper, overheat, bounce, circle, laughing, blob, elevator, some different stuff."
200800,209600," I suppose pick just, you know, picks out of the corner. Matrix looks kind of sus, not gonna lie."
209600,213920," Yeah. And also flag."
213920,223120," So, and after that, after you pick the filter, right, you can render it, right? You can just render this"
223120,229280," entire thing and you can then download this image and you can upload it to BTTV or maybe using discord or"
229280,233600," something like that. So yeah, that's basically what it is. That's basically what it is. It's completely"
233600,238880," open source. You can do whatever you want with the source code. If you, if you can read the source code,"
238880,246400," of course. Um, and yeah, so the way we're going to integrate our front end frameworks. So there is at"
246400,253920," least three components in here, as you can see, like there's three, um, sections, right? So the select image"
253920,262720," section, the select filter section and render the GIF. And I just want to see how difficult or easy it is to"
262720,269360," basically wrap these three sections into separate Gretcher.js widgets that you can just like put into"
269360,277920," your web page, right? So in this framework, by the way, you describe the DOM in sort of like a React style,"
277920,285120," but using only functions, you know, React has GSX where you have embedded, um, tag language into the"
285120,290560," JavaScript. So then you use a preprocessor and it expands into just, you know, a bunch of classes"
290560,296240," and whatnot. Uh, we don't have any preprocessor. You create a DOM like this, uh, literally by calling"
296240,302640," functions and it's actually quite compact. I would say it's more compact than using XML tags, in my opinion,"
302640,309680," right? Because you can even compare that, right? So how would you describe a div in XML, right? Here's"
