start,end,text
960,7000," Hello everyone and welcome to yet another recreation programming session. How about that?"
7000,12000," I've been working on my music visualizer right before I press the record button."
12000,19000," So the music visualizer is pretty straightforward, right? You just drag and drop some music in here and it starts doing this FFT visualization."
19000,28000," I was trying to improve the design because, as you can see, the design kind of sucks, especially the colors and stuff like that, so I was trying to improve that."
28000,39000," And then I stumbled upon a bug that I couldn't instantly figure out, so I had to bust out the heavy guns, I had to bust out the debugger, right?"
39000,48000," So, and I'm not using GDB, pure GDB, I mean. I'm using the GDB frontend called GF, right?"
48000,53000," So this is the best GDB frontend for Linux I know, right? I really recommend it, by the way."
53000,57000," I'm going to keep the link to this thing in the description. It's open source, it's free."
57000,65000," Though, there is a couple of cool features behind the paywall, but they're on Patreon, so I also recommend to check their Patreon."
65000,69000," But everything that is useful for me is actually free."
69000,74000," I would definitely pay for extra features if I had money, but I just don't have any money."
74000,85000," Anyway, so I bust out this thing, and then I stumbled upon a bug in this thing, while trying to fix the bug in my own application."
85000,90000," So, let me demonstrate, right? Let me demonstrate. That was rather interesting."
90000,98000," So, essentially, I'm going to start the debugger, I'm going to start the visualizer, my music visualizer within the debugger."
98000,102000," And this is how the debugger looks like. It looks like a proper debugger, actually."
102000,107000," Look how quickly it recomputes its layout."
107000,115000," Like, look how quickly it does that. Can your electron do that? I don't freaking think so."
115000,121000," Anyway, so, and essentially, what I did, I just started the application from within the debugger, right?"
121000,133000," So, I just started to play the music. And then, while playing the music, I decided, okay, so I want to stop the running application in a very specific place while it's playing the music, right?"
133000,138000," So, I just pick the file, and this is the main logic in here. So, this is the main loop."
138000,145000," And I just want you to see the contents of out, basically, the buffer that contains the frequency domain."
145000,153000," So, I put a breakpoint in here, and it basically stopped, right? So, the application is actually stopped. So, let me actually put it aside somewhere here."
153000,163000," And there is a watch window in here. So, you can actually input different expressions in here, and it will evaluate them, and it will actually show them."
163000,175000," Unfortunately, it's not very easy to change the size of the font, like, in runtime. But, yeah. So, basically, this is the frequency domain. As you can see, it's essentially an array of complex numbers, right?"
175000,182000," And then I decided, okay, so I want to look at individual things, and there is a triangle in here, as you can see, so I can expand it and see it as an array."
182000,193000," And the debugger just crashed, right? It literally crashed. I'm debugging the bug in my own application in an account and bug in the debugger."
193000,201000," Get freaking damn it. Anyway, and it crashes, like, with not, not with the sag fault. It crashes with an assertion."
201000,211000," So, something unexpected has happened. So, the invariants of the application were not met. It's a logical bug."
211000,216000," It's a logical bug. So, but luckily, in an assert, we do have a place where that scheisse has happened."
216000,222000," So, let's actually go there, because the debugger is open source. We can actually debug the debugger. How about that?"
222000,234000," So, let's actually go here. So, the line is 67. And here, we have an assert, okay? So, overloaded bracket operator. So, this is C++, by the way."
234000,253000," So, the entire thing is written in C++. And, yeah. So, this is a classical dynamic array, right? So, it is templated. And it has a pointer to the beginning of the array. It has the length, how many elements we have in an array. And we have a capacity. So, how much stuff has been allocated."
253000,275000," And essentially, somebody, somewhere, tried to index the array outside of the boundaries of that array. So, that's what happened. Right. So, and if we take a look at the assertion one more time, we can't really know where exactly that happened, because this assertion doesn't give us the stack trace."
275000,296000," So, the only way we can get a stack trace is only when we debug the debugger. So, yeah. We need to literally run GF, the frontend for JDB, in JDB to acquire this stack trace."
296000,307000," So, that sounds like an interesting content. So, let's just go ahead and do that. Right. So, let me see. So, as far as I know, so, this is the mutualizer. It's completely stuck, as you can see."
307000,320000," So, it's just doing these trails, the classical trails, when the application is not responding. So, but as far as I know, we can't just kill it. Right. So, because it's stuck with GDB. Right."
320000,333000," So, because the JF frontend runs GDB, and GDB runs my mutualizer, we killed, we crashed the frontend. So, GDB is still hanging in the memory, and it's dragging the mutualizer with itself."
333000,344000," So, the easiest thing to do is to kill all of the GDBs, and everything is fine now. Right. So, we don't have a mutualizer anywhere in here. So, here's the idea. I'm going to be doing GDB."
344000,356000," I don't even know. Did I build the GDB frontend with the debug information? I don't actually think so. So, here's the source code of GF. Right."
356000,371000," And it's actually a very simple application. It also has like build.sh script. Right. And in here, like to build the entire thing, you just have to issue like a single command line. Right. So, it's a very simple, you know, frontend for GDB."
