start,end,text
960,6400," looks like we're live hello everyone and welcome to yet another azuzin session"
6400,12320," let's make a little bit of an announcement and officially start the stream maybe maybe how about"
12320,22880," that uh so uh red uh circle live on twitch and what are we doing today on twitch.a television"
22880,32640," website today we are doing html5 canvas based ui in typescript that's right this channel is slowly"
32640,37680," descending into madness and we're becoming a web development channel that's what we're becoming"
37680,42320," today i'm going to give the link to the place where we're doing all that which.tv/todding and"
42320,47360," i'm going to ping everyone who's interested in being pinged there we go the stream has officially"
47360,53280," started so today we're going to continue uh working on outer cell basically like a small"
53280,58160," cellular automaton experiment that's been going on for several streams already so it doesn't really"
58160,62640," sound that small but the reason why it's going on for so long is because we're using web technologies"
62640,66480," if i just wrote it in c it would have been faster because it wouldn't have to deal with a lot of"
66480,74320," bullshit though um today we're going to continue dealing with uh right so essentially the idea is"
74320,81360," that we have a representation of a cellular automaton right and we are trying to take a pixel art image"
81360,87440," and turn the information within the pixel art image and the information about the neighbors between the"
87440,93440," cells and stuff like that into a cell or automaton and see what kind of interesting behavior that may"
93440,98720," exhibit right nothing particularly special uh right i'm not even sure if we're going to end up with any"
98720,103600," interesting result but developing this thing is kind of interesting nonetheless right you can find this"
103600,109760," uh the source code of this entire thing here uh right so i'm gonna uh copy paste it in the chat and"
109760,114000," for people who potentially watching that on youtube you will be able to find it in the description already"
114000,120400," put in the description uh all right so uh so right now we have something like this right so here is"
120400,126640," a pixel art image uh not by me right we stole it from the open game art and essentially uh what kind of"
126640,131760," what kind of cell automaton we constructed out of that is basically we took each individual pixel in"
131760,140720," here and uh for the frequencies of its new moore neighborhood uh we created a state that basically refers to"
140720,147600," itself so that way when you take an image and put it on the board uh this entire thing uh stays stable"
147600,155760," uh right uh it it stays stable uh and uh won't uh you know fall apart or anything unless you actually"
155760,160160," replace one of the pixels as soon as you replace one of the pixels with for instance dead pixels or"
160160,165040," background pixels the entire thing falls apart because this entire structure doesn't hold anymore"
165040,171680," right because we constructed a cell automaton based on the frequencies of uh known pixels uh right and"
171680,175760," it's kind of cool actually you can play with this entire thing right so i'm gonna copy paste it in here"
175760,181200," in here right but you have to refresh the page if you want to uh like you know uh refresh this and"
181200,184880," test stuff it's kind of silly but it's kind of interesting nonetheless it's all right it creates"
184880,193280," an interesting effect uh right so yeah that's pretty cool i think so there's sort of like a falling apart"
193280,201920," uh so essentially uh what i wanted to do today um we have uh different states in the image so"
201920,208160," essentially the way we work we take an image and we analyze the unique pixels in that specific image"
208160,213840," right unique pixels in that specific image and the amount of unique pixels is the amount of states of"
213840,220880," that specific cellular automaton right so uh and then we have sort of like a palette in here that allows"
220880,228160," us to draw uh different cells of different states but unfortunately as of right now the amount of states for"
228160,232960," that cellular automaton is hard-coded right so you can only have dead and alive it comes from"
232960,238000," the time when we were experimenting with just like things like go uh game of life and stuff like that"
238000,243600," so all of that is hard-coded but depending on the cellular automaton you can actually have different states"
243600,248400," and i would like to reflect that somehow so essentially depending on the current cellular automaton i want to"
248400,255360," have like different things in here but also since we are working with colors now right as you can see"
255360,262720," there these are colors and there is no notion of dead cell a live cell there is red cell there is blue cell"
262720,268720," and so on and so forth and all the states are computed uh automatically based on the image uh like having"
268720,274640," names in here is not particularly useful right so they don't really tell us much so what i would like to"
274640,281040," have instead is actually something like a palette uh right similar to the palette you have like in my"
281040,286480," paint right so there are different palettes in here um so this particular palette is actually"
286480,294960," and not uh kind of great so there is a color palette yeah i would like to have something like that"
294960,302720," right so it would be kind of cool if we had something like that here on the side and uh basically we had as"
302720,308320," many of these colors in here as there are states in this specific cellular automaton so you can pick one"
308320,314480," and actually place it in here and stuff like that so i can already place some stuff in here but it's a"
314480,320960," like a i'm not sure if you can see that right but it's like a black color which is not background so"
320960,325360," it's a little bit darker than the the actual background right and if i play it it just falls apart"
325360,331040," uh all right so i want to have something like this but then how do i even code"
331600,338800," a palette like that right how do i represent it in the uh in the html and stuff like that because i'm"
338800,344880," not a web developer right i'm not a web developer i don't want to deal with the css or html5 and stuff"
344880,352960," like that but then i realized right i'm a you know low level c programmer right and how low level c"
352960,358960," programmers do graphics how do they do graphics they just have an array of pixels and they just fill up the"
358960,369200," the array of pixels that sounds like a job for html5 canvas why not just uh create a single html5 canvas"
369200,373840," which is going to be an element that implements this specific palette"
373840,383120," so yeah that's the idea for today's stream right i want to implement a sort of like a widget which is a"
383120,391360," single uh html5 canvas and it implements behavior of this palette right it is going to basically accept"
391360,398400," the amount of states right and then each individual core of the state uh right and it will just like draw"
398400,404880," them and it will handle the clicks on the canvas uh and it will highlight the currently selected color"
404880,408880," and it will allow you to switch between them and stuff like that so it's sort of like a palette"
408880,415040," uh color picker right but we're not we cannot use a color picker because we're not selecting colors"
415040,423360," that's the thing this is not a color picker we're not selecting colors we have we selecting states of a"
423360,432720," cellular automaton and each state has an associated color but we're not picking the color color is just a label"
433520,439840," on the state does it make sense right so we're not really dealing with colors uh colors are"
439840,445920," specifically for a human being to make sense out of the state of the board of the cellular automaton"
445920,451040," right so the cell automaton doesn't care about the colors at all it doesn't even know about them"
451040,457040," honestly it really doesn't know about them so as far as the cell automaton concerned it has states"
457040,464640," zero one two three four five six and so on and so forth right so it even in memory it stores the states"
464640,472480," as the numbers right and then somewhere in a separate place we have a table that associates okay the state"
472480,480160," zero is a transparent one the state one is the black one the state two is a red one and when we're rendering"
480160,486640," the state of the board we're mapping the numbers of the states to these scores right so because of"
486640,490560," that it's not particularly color picker but we're still going to make it look like a palette because"
490560,496640," that's uh that's what we as humans can interpret does it make sense hopefully hopefully that makes sense"
496640,503120," so and uh depending on the current cell automaton the the palette is going to change right so because"
503120,507440," it's going to have different states and uh correspondingly it's going to have different colors and stuff like"
507440,517200," yeah so that's the that's the view for the stream so hopefully i explained that well so let's acknowledge"
517200,523600," some subs uh thank you so much uh my c14 for uh twitch prime subscription it was actually when i was"
523600,529280," offline but thank you thank you thank you and thank you so much my cq for uh twitch prime subscription seven"
529280,536240," minutes ago i really appreciate the twitch prime a subscription okay so let's go how about that how about"
536240,549440," that we are html programmers now yes html programmers so let me take a look so we have uh div controls by"
549440,557520," the way this project is the first time i ever used flexbox i never actually used flexbox before and it's"
557520,567680," actually kind of convenient right so if we take a look at the css uh right so yeah i said display flex"
567680,574400," on a class canvas with controls let's actually take a look at this class yeah so basically whatever i put"
574400,581760," in here is going to be uh arranged horizontally that's basically what it means right so it's arranged"
581760,587360," horizontally so the first thing that is arranged here is the canvas itself right it's uh this thing"
587520,593280," uh let's wait for uh let's wait for the how is it called devtools right so this is the first thing"
593280,598640," and then the next thing is the panel in here so that's how it basically works it's actually controls"
598640,604080," in here right so this is actually controls and this is here this is where we have like a field"
604640,615360," set and then the uh the rest of the stuff so i suppose for now i'm going to uh i'm going to place uh another"
615360,624720," canvas in here so this is going to be a canvas and uh what this canvas is going to be uh let's call it palette"
624720,632720," uh palette how do you spell palette i don't remember is it double l or double t i can never remember if"
632720,635680," it's double l or double t freaking"
635680,641040," just give me the right answer right"
641040,645920," okay thank you that's what that's what i care about"
645920,652320," all right so uh we've got some subs would you look at this would you look at that thank you so much"
652320,657920," matt kruger for uh twitch fans description thank you thank you thank you with the message html is poggers"
657920,660640," html is the best programming language yes"
660640,667600," uh yeah it stands for hyper transformative machine learning"
667600,677600," ah that's what it said did you know that html stands for hyper transformative machine learning so"
