start,end,text
0,29980," *music*"
30000,59980," *music*"
60000,62000," *music*"
62000,67000," *music*"
67000,69000," *music*"
69000,71000," *music*"
71000,73000," *music*"
73000,75000," *music*"
75000,77000," *music*"
77000,79000," *music*"
79000,81000," *music*"
81000,83000," *music*"
83000,85000," *music*"
85000,87000," *music*"
87000,89000," *music*"
89000,91000," *music*"
91000,93000," *music*"
93000,95000," *music*"
95000,95000," *music*"
95000,97000," *music*"
97000,97000," *music*"
97000,97000," *music*"
97000,99000," *music*"
99000,101000," *music*"
101000,101000," *music*"
101000,103000," *music*"
103000,103000," *music*"
103000,103000," *music*"
103000,107000," *music*"
107000,109000," *music*"
109000,109000," *music*"
109000,111000," *music*"
111000,113000," *music*"
113000,113000," *music*"
113000,113000," *music*"
113000,115000," *music*"
115000,117000," *music*"
117000,119000," *music*"
119000,119000," *music*"
119000,119000," *music*"
119000,119000," *music*"
119000,121000," *music*"
121000,123000," *music*"
123000,152980," Thank you."
153000,182980," Thank you."
183000,212980," Thank you."
213000,242980," Thank you."
243000,272980," Thank you."
273000,302980," Thank you."
303000,332980," Thank you."
333000,362980," Thank you."
363000,392980," Thank you."
393000,422980," Thank you."
423000,452980," Thank you."
453000,482980," Thank you."
483000,512980," Thank you."
513000,542980," Thank you."
543000,572980," Thank you."
573000,602980," Thank you."
603000,632980," Thank you."
632980,662960," Thank you."
662960,692940," Thank you."
692960,722940," Thank you."
722960,752940," Thank you."
752940,782920," So, yeah."
782940,787040," The language C++ and the language C because C is going to be a separate language that we"
787040,789320," can use for problems as well, right?"
789320,794700," So, I'm going to program in the modern C++ today and then later one of the problems is going"
794700,796940," to be solved in C, which looks like C."
796940,799720," Modern C++, yeah."
799960,813220," I'm not going to be a lot of things, but I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit."
813220,826480," I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit, but I'm going to be a little bit."
826480,836020," So, yeah, let's say go, maybe I need to go to my team, because modern C++ is beautiful."
836020,837440," Sure, sure."
837440,847320," And by the way, I publish all of my, I didn't want to click on you, but yeah, I publish all my solutions on GitHub so we can find my repo with solutions there."
847320,850660," I'm lagging a little bit behind on problems."
851180,856780," I do that intentionally, so people have time to solve the problems, so I don't spoil anything."
856780,866640," And not because I don't know how to solve these problems, no, this is, I do that intentionally just to give you guys like some time to solve them."
866640,868300," Yeah, that's exactly why I do that."
868300,873400," Anyway, so let me fetch all this stuff."
878280,884180," And, okay, so I didn't do anything off screen, so that's good."
884180,887020," So, we're going to try to solve the fifth problem."
887020,890760," So, let me go and create the fifth folder."
890760,895160," So, here is the fifth folder, and let's open the description and read it."
895160,897680," Binary boarding, how about that?"
897680,901340," Free tools is good, because it's free, yeah, exactly."
907340,913160," You're bored, you board your plane only to discover a new problem."
913160,914060," Get fucking damn it."
914060,917080," You dropped your boarding pass."
917080,926800," You aren't sure which seat is yours, and all of the flight attendants are busy with the flood of people that suddenly made it through passport control."
926800,934300," You write a quick program to use your phone's camera to scan all of the nearby boarding passes, your puzzle input."
934300,938060," Perhaps you can find your seat through a process of elimination."
938060,945180," Instead of zone or groups, this airplane uses binary space partitioning to seat people."
945180,947160," A seat might be specified like..."
947160,956760," Where F means front, B means back, L means left, and R means right."
956760,968900," The first seven characters will either be F or B."
968900,974900," These specify exactly one of the on-hand entity rows on the plane number."
974900,975840," I don't understand."
975840,976880," Like, what the fuck?"
976880,978360," Brain."
982360,982720," This is..."
982720,984860," Okay, maybe I need to actually read about zones and groups."
984860,987460," I did not really, like, fly it on..."
987460,989220," Wait the fuck, what is that?"
989220,991340," Is that a CGP Grape?"
991340,992880," Okay, it's a CGP Grape video."
992880,994300," I know this one, I think."
994300,997000," I think I watched this one at some point."
997000,999480," Yeah."
1003480,1010480," Okay, so instead of zones and groups, this airplane uses binary partitioning to seat people."
1010480,1014360," A seat might be specified like where a front, okay."
1015320,1018260," The first seven characters will either be F or B."
1018260,1026480," This specify exactly one of the 128 rows on the plane, numbered through 0 on 127."
1026480,1031640," Each letter tells you which half of a region the given seat is in."
1031640,1033860," I don't understand what is written here."
1033860,1035180," I need some sort of visualization."
1035180,1038600," Like, seriously, my brain is incapable of processing what they're trying to tell me."
1038600,1039580," That's how bad it is."
1039580,1041720," Each letter to..."
1041720,1044620," Okay, region seat starts with a whole list of rows."
1044740,1048900," The first letter indicates whether the seat is in the front, in the back."
1048900,1052860," The next letter indicates which half of that region is seat in, seat back, for example."
1052860,1057660," Consider just the first seven characters."
1057660,1058240," Okay."
1058240,1064580," Start by considering the whole range row 0, 7, F means to take the lower half, keep zeros."
1064580,1066540," I don't understand what they're talking about."
1066540,1068820," I don't understand the description."
1068820,1074120," Because I think visually, just describing things doesn't work for me."
1074160,1074920," I need pictures."
1074920,1075000," I don't understand."
1075000,1075000," I don't understand."
1075000,1075220," I don't understand the problem."
1075220,1075400," I don't understand."
1075400,1077400," I don't understand the problem."
1077400,1080100," So, the last three characters will be either L, R."
1080100,1084300," I don't understand."
1084300,1087240," I don't understand the problem."
1087240,1091100," For example, consider the first seven characters."
1091100,1092300," Okay."
1092300,1093480," So, seven characters."
1093480,1093960," All right."
1093960,1095900," That is really bad."
1095900,1104480," So, one, two, three, four, five."
1104480,1107300," One, two, three, four, five, six, seven."
1108300,1108660," Uh-huh."
1108660,1111200," So, so this is, they are."
1111200,1117160," Step, I can see the whole range rows 0, 227."
1117160,1120220," Uh-huh."
1120220,1122820," Okay."
1122820,1125540," One hundred, two, twenty-seven."
1125640,1134560," F means to take the lower half, keeping row 0 through 63 back."
1141280,1144120," The last three characters will be..."
1144120,1163840," I'm gonna make a cup of tea."
1163840,1164220," Seriously."
1164220,1167320," Like, I don't understand what the fuck are you talking about."
1167320,1169860," It's just, you know, very confusing description."
1192880,1197260," Mm-mm-mm-mm-mm-mm-mm."
1197260,1203560," Oh, okay."
1203560,1205820," Uh, so."
1205820,1208180," Let's start."
1208180,1209860," This is from where it starts to be."
1209860,1211680," Instead of zones and groups,"
1211680,1215300," this airplane uses binary space partitioning to seat people."
1215300,1218640," A seat might be specified, like..."
1218640,1220360," Is that a single seat?"
1220360,1221200," Is..."
1221200,1224660," Will be either F or B."
1224660,1229720," They'll specify exactly one of the 128 rows of the plane."
1229720,1231660," Um..."
1231660,1233720," They specify..."
1233720,1240460," Seven characters specify one of 128 rows."
1241760,1243480," So, that means they have..."
1243480,1243480," So, that means they have..."
1243480,1248480," numbered..."
1248480,1254460," Each letter tells you which half of the region the given seat is in."
1254460,1260340," Start with the whole list of the rows."
1260340,1262640," You start with the whole list of the rows."
1262640,1263460," 127."
1263460,1274580," The first letter indicates whether the seat is in the front."
1274580,1278020," Jesus fucking Christ!"
1278020,1279600," Oh, this is so bad!"
1279600,1283260," This is the worst problem I've ever seen in my entire life."
1283260,1285280," Oh my fucking goodness!"
1285280,1287400," Whoever came up with it, just fucking fire them."
1287480,1288440," This is bad!"
1288440,1290040," Who fucking writes like that?"
1290040,1291500," Like..."
1291500,1291880," Ugh!"
1291880,1294700," Um..."
1294700,1296260," So..."
1296260,1299980," Like, it's so difficult to understand what you want."
1299980,1301680," Like, it's not like the problem is difficult."
1301680,1303820," It's difficult to understand what the fuck do you want from me."
1303820,1305120," Ugh!"
1307320,1310640," This is the kind of way I hate..."
1310640,1313920," Like, there are several ways to make the problem more difficult."
1313920,1319080," And making the description more convoluted is the worst way to make the problem difficult."
1319080,1321400," You're not really making the problem difficult."
1321400,1322100," Right."
1322100,1325180," So, you're just wasting people's time, obviously."
1325180,1326660," Um..."
1326660,1326940," Okay."
1326940,1327740," So..."
1327740,1330900," Uh..."
1330900,1333460," The first seven characters will be either F and B."
1333460,1333840," Okay."
1333840,1334740," Which tells the region."
1334740,1336320," Start in the whole list."
1336480,1336800," Uh..."
1336800,1337340," Or the back."
1337340,1339860," Next idea indicates which half of that region."
1339860,1341380," Okay, okay, okay, okay, okay, okay."
1341380,1343880," Uh..."
1343880,1344600," So..."
1344600,1345400," All right, all right."
1345400,1346660," Um..."
1346660,1346900," Okay."
1346900,1350140," So, this is literally like a binary search that they were talking about."
1350140,1352180," Um..."
1352180,1353660," Okay."
1353660,1354820," Uh..."
1354820,1357660," And the last two characters was gonna be that."
1357660,1360260," So, this was a whole list of rows."
1360260,1360640," Okay."
1360640,1361260," Uh..."
1361260,1361880," The next..."
1361880,1363260," Which half of that region."
1363260,1364480," Uh-huh, uh-huh."
1364480,1366460," The last three characters will be..."
1366460,1367560," By the left or right."
1367560,1368060," Uh..."
1368060,1375300," These specify exactly one of the eight columns of the seat on the plane numbered from zero through"
1375300,1375720," seven."
1375720,1378840," The same process as above proceeds again."
1378840,1381800," This time with only three steps."
1381800,1384260," L means to keep the lower half."
1384260,1384660," Uh..."
1384660,1387000," While R means to keep the upper half."
1387000,1388400," Uh..."
1388400,1390000," For example, consider just..."
1390000,1391000," Okay."
1391000,1394060," So, they have rows and they have columns."
1394060,1396100," So, you first select the row."
1396100,1397880," And then you select the column."
1397880,1401420," Uh..."
1401420,1409260," So, decoding reveals that it is the seat at row 44, column 5."
1409260,1412160," Every seat also has a unique seat ID."
1412160,1412360," Uh..."
1412360,1416040," Multiply the row by eight."
1416040,1417620," Then add the column."
1417620,1420160," This example..."
1420160,1422120," In this example, the seat has ID."
1422120,1423280," Okay."
1423280,1425860," But the ID..."
1425860,1426440," All right."
1426440,1430100," Um..."
1430100,1431300," Numbers..."
1431300,1432500," Because you have a..."
1432500,1433100," Uh..."
1433100,1433640," Yeah, yeah."
1433640,1436500," So, essentially..."
1436500,1440480," So, that's the problem."
1440480,1441720," I do..."
1441720,1441960," Okay."
1441960,1446160," So, maybe I was a little bit overreacting on the problem."
1446160,1447640," Um..."
1447640,1450380," So, it's maybe not really convoluted."
1450380,1455100," It's just my brain is not accustomed to understand these kind of problems."
1455100,1456840," Um..."
1456840,1457300," Right."
1457300,1459100," So, um..."
1459100,1460560," Because I need pictures."
