start,end,text
560,7600," Looks like we're live. Hello everyone and welcome to yet another Azuzin session."
7600,11680," Let's make a little bit of an announcement and officially start the stream."
11680,19360," So, you know, the usual stuff, red circle and live on Twitch."
19360,25200," And what are we doing today on twitch.at television website?"
25920,30560," So, today we continue developing a search engine in Rust. How about that?"
30560,33360," I'm going to give the link to the place where we do all these things."
33360,37440," Twitch.tv/sorting and I'm going to ping everyone who's interested in being pinged."
37440,40000," There we go. The stream has officially started."
40000,45200," So, today we continue developing CRUST, which is the search engine in Rust"
45200,48480," that we've been developing for quite some time already, right?"
49840,57520," So, essentially the idea is basically to give it a folder, right?"
57520,65600," And the search engine would index, automatically index that folder and start serving an http server"
65600,72000," where you can go and put a search query into the prompt and it will search within the files in that"
72000,79120," specific folder. That's basically the idea. So far it supports text files and XML files, right?"
79120,84320," A little bit of a markdown files and stuff like that, which doesn't really make it particularly useful"
84320,92240," for my case. I'm primarily making this thing for my case, right? So, one of the primary use case for"
92240,99600," this thing for me would be to actually support PDF files, right? And I've spent actually quite some time"
99600,109280," researching how can I add support for PDF files to this specific thing, right? I tried different approaches."
109280,117040," I tried to parse PDF manually. It turned out to be a huge pain in the ass and I tried different libraries, right?"
117040,125680," And all of them are very difficult to work with and they're basically a bit bloated for what I want to do"
125680,134640," because in my case I don't really need to, for example, create PDF libraries or display them, right?"
134640,140080," I only need to read them. I only need to extract text out of them. I don't even need images yet, right?"
140080,144880," So, I only need to be able to extract text out of them. But majority of the libraries that I've seen,"
144880,151280," they basically give you a shit ton of dependencies to render all that, like a Qt, Jtk, Cairo, and like"
151280,159120," everything. So, they basically are like little PDF viewers as a library, like, and why do I need that?"
159120,167120," I just want to extract the text out of those things. And I think finally, I found a library with a good"
167120,174480," balance of the functionality that I need and the dependencies that it introduces, right?"
174480,179600," So, hello, hello everyone. Welcome, welcome to the stream. So, we've got a couple of subs."
180240,186080," So, thank you so much. Start over for tier one subscription without any message, but no message"
186080,191680," is required. Junior Freitas, thank you so much for tier one subscription with the message at sodium cool,"
191680,198080," at sodium cool, indeed. Thank you, thank you, thank you. All right. So, let's take a look at this search"
198080,202880," engine, right? So, it's pretty straightforward, actually. Right? So, you can find the source code of"
202880,208240," this thing here. I'm going to copy-paste it in the chat, and for people who watch on YouTube, you can"
208240,215760," actually find it in the description, right? So, let's go. Let me start Tmux. I'm going to go to the"
215760,223200," C-Roost, and let's see what we have. So, I have docs.jl, which is the documentation for OpenGL, right?"
223200,227360," So, and what I want to be able to do, I want to be able to do run. Of course, you want to do that"
227360,232800," with the release flag to enable as many optimizations as possible, right? And then we're going to"
232800,240160," to say serve docs.jl, right? There we go. So, and it will build the project, first of all."
240160,247280," Cargo needs to build everything, and then it will start indexing the files within that folder, right?"
247280,252080," But what's interesting is that recently we implemented multi-threading, meaning that while it's indexing,"
252080,258960," we can actually open the web server and actually start searching within that thing. So, now I can"
258960,262720," search for something like texture, right? I want to find something that is relatively"
262720,269200," into texture, and there we go. We find jlbind or something like jlsl, linear interpolation, right?"
269200,274080," So, linear interpolation, and there we go. We found it, and it's already finished indexing, right?"
274080,280880," So, essentially, for quite some time it was not particularly convenient to use because you had to"
280880,286480," manually start indexing, and then wait until the indexing has finished, and only then you'll be able to"
286480,292640," serve. Now, it's just a single step. You just serve a folder, and it indices everything automatically, right?"
292640,298080," You can just like open the website and just search within this entire thing, right?"
298080,305040," So, what library have we found, right? So, we did a little bit of streams where we did research on"
305040,311120," what kind of PDF libraries we want to use, and on one of the streams we discovered this beautiful library"
311120,318880," called low PDF, which seems like whatever I actually need in here, right? So, I'm going to replace the"
318880,323600," the link here in the chat, and for people on YouTube, of course, it's going to be available in the"
323600,330400," description, right? And it seems to be like exactly what I want, right? If we scroll down, there's"
330400,336960," instantly examples, which I absolutely love. So, here we create PDF files, which I don't really need,"
336960,340720," but I mean, if it doesn't introduce that many dependencies for that, I'm not going to mind."
340720,348080," So, merging PDFs, and do we have reading PDFs? There should be something for reading PDFs."
348080,354160," You can modify PDF, right? So, for instance, you can quite easily load a PDF, right? And you can just"
354160,360880," replace the text. You can just replace the text. And if it's that easy to replace the text, I'm pretty sure it"
360880,367920," should be that easy, similarly easy to, you know, extract the text. And then you can even save this"
367920,373760," into acting. It's just like pretty straightforward. Look at that. Isn't that cool? I think it's pretty"
373760,376080," freaking cool. So, that's exactly what we need."
379920,388720," So, let's give it a try. Let's give it a try, shall we? There is even FAQ. Why does this library keep"
388720,392720," everything in memory as high-level objects until finally serializing the entire document?"
392720,399360," Normally, a PDF document won't be very large, ranging from tens of kilobytes and hundreds of megabytes."
399360,405040," Memory size is not a bottleneck for today's computer. By keeping the whole document in memory, stream length"
405040,410480," can be pre-calculated. No need to use reference objects for length entry. The resulting PDF file"
410480,416960," is smaller for distribution and faster for PDF consumers to process. Producing is a one-time effort,"
416960,426160," while consuming is many more. Truly based. This is the most based answer I've ever read in my entire life."
426160,432960," It's just like, why do you read everything into the memory? Because modern computers can afford that."
434160,443280," That's it. Conversation is over. Because your computer has 16 gigabytes of RAM. Are you going to have a 16"
443280,454240," gigabytes PDF? No. It's going to be kilobytes. It's that simple. I already like this. I already like this library."
458560,466480," That's cool. So that's precisely what we need. Anyway, so let's go ahead and try to add that. So I'm going to do"
466480,476000," cargo add. I hope we won't have to actually download the cargo index or crate index as we did like the last"
476000,487840," time. Because I don't know. So low PDF, low PDF. Please download. Okay. It's not really updating the index."
487840,492960," Okay. So it's, it's, it's resolving data or something like that. Right. It's not that much. Okay. So we can, we can live with"
492960,502000," that. Hopefully. Uh, yes, yes, yes. So, so there's some things in here. I wonder what is a POM, uh, PASA, uh, POMPASA."
502000,507760," I don't really know what it is, but anyway. So let's try to build the commutation. Right. So let's do cargo doc."
509040,517840," Um, it's not that many dependencies actually. So it introduced just 18 crates. Right. Uh, I think something"
517840,527120," like popular, when we added popular, it introduced like 115 packages, uh, or something like that. Uh, I don't"
527120,540480," quite remember. Oh my God. What the hell is going on. The chat is so lagging. I accidentally pinned the"
540480,546400," message. Duh. Well, I mean, that's, that's the pin message now. So"
549200,555680," thank you, Twitch, like it was just so lagging. I was trying to adjust my window and I,"
555680,560320," because it was lagging, the interface was jump, jumping around and accidentally, uh,"
560320,564400," pinned the message. Duh. So, duh, indeed."
564400,570880," That's a very cool message to pin actually."
570880,576320," Uh, now it's lagging even more. Yeah."
577840,583520," It's still building shit ton of dependencies in here. So it's like 120 or something."
583520,590880," Uh, how much time do you spend programming off stream? Do I look like a person who's sitting"
590880,596800," with a timer measuring how time, how much time you spend like programming? Like, I mean,"
596800,602640," it's, I might as well actually measure how much time I spend eating. Like why?"
604720,612320," Why do that? What's the point of measuring that? Like, it's just like what? Uh, anyway, so, uh,"
612320,617440," let me see what I want to do. I want to do cargo doc open. Um,"
617440,628080," so what do we have? Uh, let's try to find a low PDF, uh, low PDF. There we go. So we have a low PDF."
628080,634080," Okay, cool. So, uh, here we have just the, these examples, which is, uh, you know, the examples that"
634080,639040," we found in the, in the readme. So I'm pretty sure it's like straight up readme, essentially."
639040,641600," So to load this thing, we have to use document load."
643360,650880," I wish I had the mouse, uh, with, with not broken will document, uh, load, right? So it was low."
650880,657920," Uh, document, you can load from memory. There's a load mem, uh, and it just results in the document."
657920,663920," Okay. So what do we have in the document? It's actually kind of similar to what I saw in PDF or S,"
664560,671520," right? So it's like this dictionary trailer, uh, like objects and stuff like that. So I remember"
671520,678240," it had replace text, right? So here's the replace text. Does it have anything for getting the text?"
678240,683280," Uh, that's the most important thing. So you can get pages. Wow."
683280,691600," You can extract text. Holy shit. You can just extract text, but you have to provide the pages."
691600,698160," Is there any way to just extract everything or maybe can I get the pages?"
698160,707440," Uh, all right. So I can, uh, get the pages. It's object IDs and object IDs, I suppose,"
707440,715520," are just some sort of numbers. So it's not particularly interesting. Uh, so yeah, it's not convenient,"
715520,720640," right? So that I have to provide, uh, like pages in here, but I want to provide all of the pages."
721680,728080," Hmm. We'll see. We'll see. Okay. So let's actually give it a try. I think I need some PDF file,"
728080,735600," right? So I do remember having a PDF file somewhere in the PDF, um, Rust PDF hacking,"
735600,740240," right? So this is going to be that. Do we have Stallman? Yeah. So it's basically a Stallman PDF."
740240,746400," So let's actually go in here and, uh, this is a C-Roost and I'm going to also do it like that. So we have,"
746400,755200," what we have in here, Stallman PDF. So this is a famous, uh, you know, quote from, uh, Richard Stallman."
755200,764240," So, and, uh, let me, let me try to maybe load it up. Let me try to maybe load it up. So I'm going to go"
764240,772640," to serve. Uh, so serve. So let's introduce another subcommand in here. So this is going to be a PDF"
