start,end,text
240,6640," looks like we're live hello everyone and welcome to yet another recreational programming session"
6640,12560," with a mr azuzin let's make a little announcement and officially start the stream hello hello"
12560,20400," let's do red circle live on twitch and what are we doing today on twitch.a television website"
20400,26720," today we're checking cross-term rust library how about that library review"
26720,30720," uh-huh but you didn't expect that should happen so i'm gonna give the link to where we're doing all"
30720,37440," that https twitch.tv and i'm gonna ping everyone who's interested in being pinged there we go the"
37440,42960," stream has officially started the stream has officially started so in fact today we're going"
42960,49200," to continue working on uh for at which is the simple multi-user chat application that we started"
49200,55520," to develop like three streams ago or something like that and the problem with this chat application is"
55520,62400," that it doesn't have a client it has a server right it has a server but it doesn't have a client so so"
62400,68400," far we were testing it uh over telnet so let me actually demonstrate what i mean uh so i'm gonna do"
68400,79360," tmux and let's go to uh for at right so it doesn't exist oh because i renamed it to hat okay so yeah i"
79360,85680," completely forgot right because you can start the uh rust packages with uh with four right so let me"
85680,89920," actually fetch the latest changes uh so i think i didn't do that right before the stream so let me"
89920,98480," quickly do that hello hello everyone welcome welcome welcome um so we're just fetching some source code"
98480,103520," so and let's merge origin name uh right and we have the latest thing so you're supposed to run it"
104080,111600," so for now we don't have any proper authentication right so it's going to generate a special authentication"
111600,119200," token uh that then we'll have to copy paste into this thing so this is a rust project so be patient"
119200,126240," that means it needs some time to rebuild especially for the first time uh so yeah right there we go so"
126240,130880," we don't have a proper authentication yet so basically what it does it just generates a random number and that"
130880,135760," becomes a token so you can give it to some clients and the clients will connect right so you literally"
135760,143600," use telnet right 127.001 and port 6969 right so it asks you for that specific token that the server"
143600,148320," generated you give it the token and there you go you can chat you can say hello so it doesn't really have"
148320,153520," any particular interface and that's the problem uh right so you can actually connect from a different"
153520,161760," place now right so i'm sure if you how well can you see all that right so uh maybe uh i can even do it"
161760,170800," something like that telnet 27.001 and uh 69.69 right so you also provide the token in here and when you say"
170800,177760," hello in one place uh it will also tell it in here too so as you can see so you can have a test and stuff like"
177760,185280," that so uh simple um you know chat application very simple one so it's basically um you know single"
185280,191120," consumer multiple publishers the kind of thing right so so let's actually close with all the connections"
191120,198240," and uh since we don't really have any particularly useful interface it is very inconvenient to use"
198240,204320," especially when you have a lot of people so what i want to have instead right so i want to have a console"
204320,208560," application at least for now i'm not sure if we're going to go to the GUI but maybe we'll go into the"
208560,213760," GUI at some point i want to have a console application that takes up the entire screen"
213760,221840," right and one line one row the last row is reserved for the user prompt right is reserved for the user"
221840,228240," prompt and it never changes and when uh this kind of client receives new messages it just appends it to"
228240,234160," the list above that prompt without disturbing the prompt or anything like that so we need"
234480,240480," the basic functionality like that so that means we need to have a lot of control over the terminal"
240480,245280," right so we need to have a lot of control over the terminal and uh one of the libraries i heard"
245280,250960," people are talking about in the rust community is called cross term right so there's been a lot of"
250960,256720," different uh terminal libraries throughout the history of rust they pop in and they fade out constantly"
256720,265120," because it's rust uh right so as of right now at this day and age people use cross term i have no"
265120,271440," idea for how long my application is going to survive if it depends on cross term uh but it's just a client"
271440,276960," anyway it's just a client anyway so let's just give it a try let's give it a try and see how well"
277680,284000," it performs it actually solves our problem so for now our problem is very uh is very simple is very"
284000,292560," straightforward and see if it actually will solve it so anyway let's go ahead and do that uh so i already"
292560,302640," actually exited uh the chat in here so um we i plan essentially to have two executables within uh within"
302640,310240," the project right so in cargo uh we can specify one executable i suppose to specify the second one"
310240,316800," what we have to do we have to say uh something like this right so we have a server and we have a client"
316800,321520," but we don't have this file yet we don't have this file yet so let's go ahead and maybe create that file"
321520,330720," so this can be going to rs and uh let's just write a simple hello world so hello uh from clients"
330720,337520," there we go so let us see what is going to happen if we try to build this i never actually worked with a"
337520,345040," project with several executable so i'm not sure how it's going to work uh right so if i do run and i"
345040,351840," have several okay so cargo run could not determine the executable the binary to run uses dash dash bin"
351840,358400," option to specify the binary uh right so available binary is client and server that's actually very cool"
358400,365360," so if i do buying uh being client there we go hello from clients and if i do uh server it will run the"
365360,373360," server so we have two executables within the project pretty cool pretty safe for pretty nice so uh let's"
373360,380800," do the the first thing that we would like to do let's add cross term as a dependency all right not that"
380800,385600," many dependencies so let's try to build the entire thing and see for how long it is going to build how"
385600,389280," how many new crate oh it's not that much actually it's pretty small"
389280,393600," mm-hmm"
393600,395200," parking lot"
395200,398320," it also depends on rink"
398320,405200," oh wait no it's it's not we're depending on rink from russells right so we're using russells we don't"
405200,409600," really do encryption yet but we already depend on russells just in case right because we're going to be using that"
409600,418640," uh small vec small vec that's a very interesting name for a package let's take a look at the tree of the"
418640,428080," dependencies uh that's a pretty small tree no it's not that bad actually it's not that bad especially if"
428080,435600," you take a look at the cross term that's reasonable that's very reasonable so that's pretty cool uh all right"
435600,443280," so let's generate the docs right because we're going to be learning um you know cross term from the docs"
443280,449360," so i was generating documentation so it will generate documentation for all of the dependencies as well"
449360,456480," uh i should have maybe supplied the dash dash open flag so it opens the browser automatically"
456480,462560," as it stops you know generating things but i can do that uh one more time so go open and i suppose it's"
462560,467040," not going to do that at the second time it's not going to rebuild things for the second time so here"
467040,473040," are all of our crates that we depend on and uh here is the cross term so there we go so here is the"
473040,479760," documentation for all of our dependencies and it's local uh cross term is a pure rust that's actually"
479760,484240," pretty cool a terminal manipulation library that makes it possible to write cross-platform text-based"
484240,491360," interfaces see features okay it supports all unix and windows terminals down to windows 7 not all"
491360,496000," terminals are tested see test the terminals for more info i don't really care uh this crate supports all"
496000,507520," unix and windows terminals down to okay i got it okay okay it supports all unix and windows terminals down to"
507520,515680," windows 7 you don't have to tell me that twice sure uh okay let's take a look at this thing so the uh the"
515680,521840," features right so this is basically the features that you have uh oh okay it was an anchor right it was"
521840,528160," apparently an anchor so i supposed to just click it and it refers to the section features that doesn't exist"
529040,535440," right so it refers to features"
535440,538880," it doesn't exist"
538880,550480," nice library i mean nice documentation maybe library is good i don't know so command api so the command api"
550480,557440," makes the use of the cross term uh which um much easier and offers more control over when and how command"
557440,564240," is executed uh the command is just an action you can perform on the terminal for example cursor movement"
564240,571360," uh okay blah blah blah cursor so lazy execution we have examples would you look at that we have some"
571360,577520," examples simple demonstration that shows the command api in action with the cursor command so we import"
577520,587280," the usual standard stuff then we import queueable command and cursor okay so and i suppose"
587280,592880," those cubel command is maybe implementation of some sort of interface for the std out right because"
592880,597600," now it extends std out with this kind of thing right because std out by itself as far as"
597600,604400," now it doesn't have this kind of thing uh right so and you queue um essentially the command so"
604400,608400," they improved the performance by batching the commands"
608400,613600," i see what they do so they have a batcher it's a batch renderer for terminal"
615200,620800," do you guys know what is a batch renderer like in in graphics and stuff like that quite often people"
620800,628800," implement that for game engines like with opengl uh right so because in opengl each individual draw"
628800,635680," call could be slow so because of that they what they essentially do they create sort of like"
635680,642560," actions that your renderer can do and they do not perform these actions right away they accumulate those"
642560,650880," actions uh into one bigger action uh called batch and then they render the result once like all at once"
650880,659520," right so and uh yeah that's basically it but for the terminals right uh for the terminals that's kind of"
659520,666080," know and that's why it's cute i suppose right so they reinvented the already existing concept but since"
666080,672240," they didn't know that concept existed they came up with its own name right so uh right they could have"
672240,677840," actually called it batch renderer right so but it's it's q command maybe not i don't know maybe they know"
677840,685440," about batch render so uh okay so and here we can move the uh the cursor and stuff like that so the most"
685440,694240," most interesting interface i suppose for us is qable command right so it is a qable command a q u u u u u u bill"
694240,698720," uh how do you say that you have to add the a"
698720,705840," can your french do that can"
708960,714960," is this really english i'm not sure i think q is also french word isn't it so i'm pretty sure"
714960,722880," it's a french word uh it must be a french word um so and what do we have in here so who implements"
722880,729200," this kind of things uh anything that is writable will implement this thing and it just has one method"
730000,733680," okay so what they did they just extended the writable interface"
733680,741440," all right good enough so what kind of commands can we have in here uh so cross term command it's"
741440,748240," oh it's a trade but who implements this kind of trade okay so here are all of the implementers"
748240,754400," of this trade of the command trade so and uh so what they usually are i suppose they're usually"
754400,761760," structures okay okay okay i see how this entire thing works i can read this entire thing as an open"
761760,770960," book uh it's pretty straightforward right so let's go ahead and try to use that okay so let me see what"
770960,777360," we need in here so we're gonna import these standard things so here are the standard things the write"
777360,784320," interface the stdio that's pretty cool so now we also have this thing so and the cursor apparently"
784320,792880," is sort of like a separate package i didn't realize that by the way so cursor oh some of these commands"
792880,799520," are probably in those separate packages yeah okay move down and stuff like that so how many of such"
799520,806720," commands do we even have uh so the cursor event style so if you take a look at the event uh there's"
806720,811120," so essentially some like key down or mouse mouse events"
