start,end,text
960,7360," Hello and welcome to another sorting session. How about that? How about that?"
7360,13120," But you didn't expect that shit to happen. So I keep saying that this is going to be the last"
13120,21520," episode of MiniCell, but I cannot bring myself to actually finish it on that note. So today we're"
21520,28640," going to do a fourth episode of MiniExcel series, hopefully the last one. So the only thing that is"
28640,35920," left is implementing all the necessary arithmetic operations. And once we have that, I'm going to be"
35920,41280," happy with the current solution. I just don't want to leave it unfinished. So we have"
41280,48080," everything we need. We have the expression evaluation, the dependency between the cells,"
48080,53200," the cell cloning, the error reporting. The only thing we miss for this thing to be more or less"
53200,57280," useful, even though it's not supposed to be useful. If you think this thing should"
57280,64080," be useful, you're missing the point. So the only thing that is missing is more arithmetic operations."
64080,68560," So right now we have only a single arithmetic operation, which is plus, just to test things out."
68560,76160," So I want to add minus, multiplication, division, and probably some sort of function calls and some"
76160,82000," built-in functions that, you know, help with sort of like computations and stuff like that,"
82640,90400," that you usually do within Excel. So you can find the source code of this entire thing in the chat if"
90400,97440," you're watching it live or in the description if you're watching it on YouTube. So, and we spent the"
97440,107440," whole previous episode implementing a proper error reporting. I think it's not published yet, but we're"
107440,113360," we're going to have a previous episode. This thing is to be done. And let's take a look at the current"
113360,121360," progress of the MiniCell project. So we have some stuff in here that is relevant. Let me fetch the latest"
121360,130240," things. Let me fetch the latest things. So the latest things have been successfully fetched. Let's merge them"
130240,136800," And I'm going to try to run this entire stuff. There we go. So everything was recompiled successfully."
136800,144560," So, uh, right now we're testing on which file we're testing on the stress copy. Okay. So stress copy, uh,"
144560,152320," basically has a big table that clones, uh, three arithmetic expressions, right. And it closes that clones them all"
152320,159520," the way through. Right. So it just basically stress tests, the, uh, the clone functionality. And if I try"
159520,164720," to run this entire thing, everything is working correctly. So, and if you introduce any sort of"
164720,170560," mistakes in here, for example, if you replace this thing with a, which is not correct character to"
170560,176320," describe a direction, uh, from which you're cloning the characters, it will tell you, uh, a is not the"
176320,181840," correct direction to clone the cell from and look at that. It actually generated precise position within"
181840,187920," the file where this kind of stuff happens. So in, for instance, Emacs, you can actually jump there or if"
187920,194240," you're using any kind of different ID or text editor, you would be able to, uh, jump there. So we actually"
194240,200480," report precisely where an error has happened, uh, which is quite convenient. So on top of that, we also"
201760,208800," detect, uh, cycles, right. If you're trying to, for instance, clone, uh, think like, like each other."
208800,215920," So there you go. We have a cycle in here. Uh, and, uh, if you, um, if you try to run it, it will tell you"
215920,221200," a circular dependency and it will tell you precisely the place where the circular dependency has happened."
221200,227200," Right. So, uh, this is basically what we were focusing on in the previous episode of the series, which"
227200,232560," you can find on, uh, YouTube. If you're not subscribed to the YouTube channel, you can find it in here if"
232560,239600," you're interested. All right. So, and today, as I already mentioned, I want to focus on more arithmetic"
239600,245680," operations because we only support plus. So let's take a look at what we have in here. So, uh, here is a"
245680,254240," pretty good file, right? So here's a pretty good file. Let's try to use that file in our build system."
254240,262880," Right. Right. If I try to run it, uh, it complains because B1, oh, it tries to actually, uh, add this"
262880,269680," cell in here. So I suppose we have to put B0 in here. There we go. So, and if I try to use minus,"
