start,end,text
160,5840," looks like we're live hello everyone and welcome to yet another recreational programming session"
5840,10400," i'm already losing my voice i really apologize for that but let's make a little bit of an"
10400,16560," announcement uh on our discord server and uh hopefully officially start the stream so um red"
16560,23920," circle uh live on twitch and what are we doing today on twitch on dot a television website today"
23920,32640," we're building uh raylib with knob custom build system that's right we're developing our own custom"
32640,38640," build system and today we're going to attempt to do something actually meaningful in it for example"
38640,43440," built relatively big project which is radio to the fair relief is not that big of a project but we'll"
43440,50480," see how it goes so https twitch.tv/studying so this is the place where we do all of that and i'm gonna"
50480,55680," ping everyone who's interested in being ping there we go the stream has officially started the stream"
55680,64000," has officially started so uh we continue working on our custom build system um and for um and we're"
64000,70000," doing that in the scope of a bigger project which is mutualizing music visualizer you can actually"
70000,74800," find this entire thing in here if you're interested i'm going to copy the link in the chat and for"
74800,79760," people who are on youtube it's going to be in the description i think i forgot to prepare the description"
79760,86720," yes i think i did so uh here is the uh sorry yeah i already have it in here i'm gonna copy paste it"
86720,94160," super quick uh there we go so right and it's a music visualizer so you give it music and it starts"
94160,99200," visualizing this music in this sort of fashion right so it's loading some stuff right because it's github"
99200,106160," but i can actually show you right so but before i can show you uh i need to build the usualizer"
106160,113120," right uh so and essentially the point of uh the build system is that it's a single c file"
113120,120160," right it's a build system written in c and you're writing all the build recipes using c so how is"
120160,127360," that supposed to work essentially you bootstrap your build system uh with a c compiler right bootstrapping"
127360,134080," is actually very simple you just compile the knob dot c uh with a c compiler without providing any"
134080,139600," additional flags without linking with anything just like just compile it as a single file as hello world"
139600,145600," right so just compile this hello world and there you go you just bootstrapped this entire thing and"
145600,152000," you got a knob executable so the next thing you have to do you have to try to run it right and we need"
152000,157760," to provide several sub commands so usually when you build in something you have to first configure the"
157760,165920," build uh right so there we go we're configuring the build so we automatically uh picked target postex and"
165920,171440," hot reloading being disabled so our project allows hot reloading essentially when you modify the code"
171440,176000," it can automatically pick it up without reciting the application it's useful for creative process when"
176000,180800," you work on something visual uh when we're doing something technical it's usually not needed because"
180800,186080," it adds additional complexity for the build so i just like tend to disable it so one of the things we"
186080,190560," can do with our build system is to say for example i want to build for windows instead of linux because"
190560,198240," who uses linux in 2023 am i right so we configured the build and now we can uh just build this entire thing"
198240,204960," and as you can see it actually build it we can then uh look inside of the build folder and there you go we"
204960,211520," have a uh mutualizer.exe uh which is an actual windows windows executable right so let me actually prove"
211520,218320," that to you so as you can see it's a pe32 executable for microsoft windows so that's what it is so it also"
218320,224640," can build uh for postex for linux right but right now it is a little bit broken all right so let me actually"
224640,233680," try to do postex uh so the library that we're using uh it's using it's expecting slightly different uh standard"
233680,240240," libc library right and this is because it was built on a different machine right so it was not built"
240240,250800," on our machine and this is and this is why i think what we have to do is to build raylib as part of the"
250800,260560," compilation of mutualizer itself right so as of right now we are depending on these uh binary compiled binary"
260560,266240," library libraries that we downloaded from the official repo of raylib and since i have a"
266240,273840," very strange environment like i have a very old libc uh this raylib um thing doesn't really work for me"
273840,279600," so it would be more reliable if we just shipped the source code of raylib with the source code of"
279600,286000," mutualizer and actually build it together so that way we can configure the build of raylib however we want"
286000,293600," right so and it's actually perfect in my opinion um right and uh to do that we'll need to extend"
293600,299200," our node build system to actually be able to build uh this entire library so and this is the major"
299200,305840," challenge i would say this is the major challenge that we'll try to overcome uh today but but for now"
305840,311120," we can build just a windows version so there's nothing special about that so it's actually quick to do that"
312160,318080," there you go and we can even try to run the the windows version just to see how the measure looks"
318080,324160," like uh so there you go uh it's gonna take some time because it's uh we are running through wine right"
324160,331120," there we go so this is how it looks like to be fair it's all like indistinguishable from um from linux"
331120,336480," version if you run it through wine because we're not using any native ui or anything like that right we're"
336480,341280," drawing all of the ui ourselves like i cannot distinguish whether it's a windows version of linux"
341280,347920," or linux version it's like they really look the same to me that's kind of fun actually uh and what"
347920,353280," you're supposed to do you're supposed to provide some music in here so we have uh some music here so"
353280,360960," let's actually put pilot red sun there we go so this is what it's doing right so one of the things we"
360960,367440," added recently is that we added uh micro microphone support uh right so now i can speak and it also"
367440,372800," picks it up and it also works on windows by the way it also works on windows which is actually kind of"
372800,379120," interesting and to be fair on windows it works even better because there is no like a humming noise"
379120,383760," uh on linux we had some sort of a humming noise in here on windows is just like i mean not on windows but"
383760,388080," online uh it's not present in here so i can just beatbox how much i want"
388080,396400," right and it just works fine so that's pretty cool and then you can continue listening to the music"
396400,405200," it should drag and drop in there so uh yesu yesu yesu so that's basically what we have so far"
405200,412320," and uh yeah the the goal of today's stream is to actually build array leap from source code as part of"
412320,420160," the build of the entire project right and that will require uh actually calling several clang commands"
420160,425040," and then maybe not even clang commands because we're going to be also building for windows and also"
425040,431040," building ray leap from scratch this could be it could be a very expensive uh operation so we'll need to"
431040,437200," learn how to cache the results of the build so yeah i think it's going to be interesting i think it's kind"
437200,442720," of an interesting sort of a challenge to uh to take all right"
442720,451280," so first thing we need to do we need to download the source code of ray leap so let's go ahead and do"
451280,459120," that so i go to ray send five and uh the next thing we're going to do we're going to download the source code"
459120,464160," i'm not i haven't decided um how exactly i'm going to ship ray leap is it going to be sub module"
464160,472320," uh or we're going to just commit the entire thing the problem with ray leap is that it comes with a lot"
472320,479680," of stuff that we don't really need so we may want to actually strip off this stuff that is not needed"
482320,483600," so let's go ahead and do that"
483600,492720," so it's kind of strange actually when you're just downloading the source code"
492720,500560," via wget it doesn't really have a ray leap prefix or anything like that it's just a version.zip"
501360,512640," but if you click on it it does have a prefix ray leap what's up with that i read like how does it even"
512640,518720," work like why is it like that github like why does it work like that does anybody know"
518720,526960," submodulate well i really don't like submodules to be fair uh right because they introduce a lot of"
526960,533280," problems and as already said again ray leap uh comes with a lot of stuff that we don't really care"
533280,539680," about so that that's the problem right so i don't want to make it part of the of my source code uh it"
539680,545840," doesn't really make any sense to be fair it doesn't really make any sense uh and what does it download"
545840,553440," why does it take so much time to download through wgit is that is some sort of like a ddos protection"
553440,560000," thingy it could be actually ddos protection thingy so anyway i'm gonna actually take it from from here"
560000,568720," so this is going to be ready and uh landing actually put it in here so let's unzip"
568720,576080," and uh there we go so there's a lot of things in here there is like a several build systems"
576080,582800," uh there is c make there is a make files um i'm not sure if there is a separate make files oh"
582800,590000," i think there was some mig files in src there we go so there's some make files in src and there we go"
590000,595760," so there's also build.zig i don't know why people put build.zig like everywhere it's like a build system"
595760,601760," from a completely different language uh i do not understand that what's the point of that but anyway uh"
601760,606000," it's yet yet another movement that is going to die out like in five years or something like that"
606000,612800," so um yeah essentially what we need in here we need some uh all of these c modules right so we need"
612800,618320," some sort of like all of these c modules so let's actually try to do ls and we're going to grab uh with"
618320,626400," dot c and i wonder if i can actually nah it actually gives us more than than i need it so what if i say okay"
626400,634400," um we we have to end with dot c uh well it doesn't yeah okay so it doesn't exclude rc things right so"
634400,639840," i probably have to escape this stuff okay so i suppose these are all the files that we need to compile"
639840,648320," somehow right so these are all the files and uh so let me actually grab the list of these entire things"
648320,655120," and i'm going to literally copy paste it into knob knob.c uh i'm going to literally copy paste it to"
655120,664480," knob.c and put it like that so uh let's actually make it some sort of like a global array right so this"
664480,673120," is going to be uh something like ray lib src right so this is our ray lib src uh maybe we're going to even"
673120,681040," make it static so and let's introduce a function something like build ray lib and of course this"
681040,686560," function may fail so that's why it's going to be boolean and uh we have a notion of the configuration"
686560,691600," right so configuration usually contains the target and hot reloading exactly the things i was talking about"
691600,701920," at the um at the beginning of the of the stream right so uh now we're gonna accept that configuration"
701920,710480," and let's actually focus specifically on um i suppose linux right so let's actually try to build it for the"
710480,720240," linux target so if config targets not equal target postex right so we don't really have a linux target we just"
720240,726560," have postex target right so hopefully a majority of the things that we do on linux will also work on mac os"
726560,731840," uh hopefully we'll see actually so and if it's not equal of course we're going to just fail the entire"
731840,737760," build but it would be nice to also tell the user like why exactly it has failed uh right so this is"
737760,747920," going to be no blog knob error and uh then we're going to say okay only posix build is supported for now"
749040,756640," there we go uh so in here we probably want to return true so and essentially what we want to do we"
756640,763120," probably want to iterate through each individual module and just compile it right just compile it so"
763120,769760," we may actually probably want to start with just compiling one single module right let's just try to"
769760,775360," compile it as it is so let's just try to compile it so first thing we need to do we need to create a"
775360,780000," command right command right command is an abstraction that allows you to construct command lines"
780000,787040," and run them like external commands and stuff stuff like that uh right so nob cmd append so what"
787040,792560," you're doing you're just appending the arguments right so i want to run clang uh so and then"
792560,799840," when i run clang i like to enable a lot of different like flags warnings um extra warnings and stuff like that"
800480,809200," uh right so it can be w all w extra uh and uh so also include the debug information i think debug"
809200,819600," information is actually very very useful thing so and then we can just provide the the source code like so"
821040,828800," so we probably will need to provide some things like uh math library maybe dl and stuff like that but"
828800,833200," since we're compiling like a single translation unit i don't think it's needed to provide all of that"
833200,840000," right now uh it could be provided later at the linking stage right so at the linking stage uh and there"
840000,846080," we go so you basically constructed command uh that you can just run it uh you can actually you have two"
846080,851600," options how to run it you can run it synchronously or you can run it asynchronously when you run it"
851600,858240," synchronously uh this entire call is going to block right so and it will return you true or false"
858240,863760," depending on where the command has failed uh and if it failed you can just return false so i could have"
863760,871040," just like returned uh this like that but i plan to actually add more stuff after this command so i don't"
871040,877200," think it makes that much sense to actually you know compress the source code right so it's actually like"
877200,882640," keep it like this uh and there is an option to do asynchronous command and this is actually kind of"
882640,889120," interesting in case of an asynchronous command you don't get a true or false you get a process process id"
889120,896640," right and essentially after that it doesn't block right so you just run the process and you continue"
896640,903200," execute it and the process is running in parallel and once you are ready to basically wait until the"
903200,909600," process is done you can do proc wait and only this thing will actually block until the process has"
909600,914320," finished right so and this thing will return either true or false and you can do something like this"
914320,921600," but between these calls uh right you can do additional work which is going to run in parallel"
922640,929040," with cmd so that way for example if you're compiling several translation units you can actually run them"
929040,934800," asynchronously like you can just um you know initiate the asynchronous completion of all of them"
934800,940240," and then at the end you can just wait on all of them right so that way you sort of like running"
940240,944960," all of that stuff in parallel and you naturally have this parallel builds you basically decide how"
944960,949200," exactly you want to run commands either synchronously or asynchronously and it's just up to you"
949200,955680," and you can build more higher level primitives on top of these mechanisms right you may you may see that"
955680,962880," these are very low level mechanisms but you can for instance i don't know make a function that accepts"
962880,969600," array of commands and does all that parallel scheduling automatically maybe it uh this entire thing will"
969600,976400," accept the amount of threats to allocate so this thing is never gonna execute more than like three process"
976400,980880," simultaneously or something like that you can build stuff on top of this thing even though it's low"
