start,end,text
320,6480," looks like we're live hello everyone and welcome to yet another recreational programming session"
6480,14080," with azuzan uh let's make a little bit just a tiny bit of an announcement as usual and yeah"
14080,21200," uh and see how it goes um come on discord you can do that i believe in your discord"
21200,28720," uh red circle live on twitch and what are we doing today on twitch.i television website"
28720,37520," today we're doing google in c aka google right so that's what we're doing today uh twitch.tv"
37520,42720," slash sodding and i'm gonna ping everyone who's interested in being pinged there you go the stream"
42720,48880," has officially started the stream has officially farted so hello hello everyone welcome welcome"
48880,56640," welcome so uh yeah yesterday was an interesting stream yesterday we were exploring the possibility"
56640,62240," of implementing something like google for uh for c uh do you guys remember what is google right do you"
62240,67360," guys remember what is google so we have the google here in the chat i wonder if we have it in the"
67360,71120," description yeah we do have it in the description so let's actually open google and just like see"
71120,78640," what the hell is that what the hell is that stuff uh so essentially google is a pretty cool thing for"
78640,86160," haskell specifically right so you can just put some sort of a signature in there and um it will try to"
86160,93280," match a function with a similar signature for instance i want to be able to take a string and turn it into an"
93280,100480," integer uh can we find yeah there we go so utf8 encoded length accepts a string and returns an integer"
100480,107600," right so you're searching a function by its meaning by its intent not by its name the name is kind of"
107600,113600," irrelevant what's important is the the signature right so you know what kind of arguments it accepts you"
113600,119520," know what kind of stuff it returns and stuff like that so that's actually very useful for instance there's"
119520,125120," something that accepts a string and returns a string uh writes nothing particularly useful right"
126080,131840," uh so maybe a character accepts a character and returns a character something like yeah to upper"
131840,138240," for instance you can take a character and uh bring it to uppercase or to lowercase like however you want"
138240,144000," uh right so essentially you you may need some sort of a function you can think about a possible signature"
144000,150720," of that function and you can put it in there and it will kind of roughly tries to match and find"
150720,155840," function that maybe suits for you so it searches in the standard library as far as i know it also searches"
155840,161360," sometimes in third party dependencies somewhere so it's actually kind of cool thing uh and it's so"
161360,167120," cool i couldn't see that like a similar thing being implemented in other languages even functional"
167120,172640," ones right even functional programming languages kind of fail to replicate uh this kind of awesome"
172640,178720," functionality i don't really know why i think it's relatively easy to implement and uh what i want"
178720,185760," to do is essentially implement this entire thing for c that's right because quite often right quite often"
185760,192000," uh i just like look for an appropriate function somewhere in rail leap and i struggle to find"
192000,197840," anything right so quite often i just like want to do the the google style search by types but i can't do"
197840,204960," that to be able to do that we need to actually be able to parse c luckily on the previous episode on"
204960,215520," the previous stream we learned how to parse c so the solution we came up with we used clang with j and usually i don't like to use a j"
215520,220560," j on on on my streams because it kind of makes it difficult to uh to share the source code because"
220560,227600," not everyone has an access to jai uh but the reason i use it is because um it already had leap clang in"
227600,235440," a standard flight well i mean it kind of like uh got there accidentally imagine the language being so chad it"
235440,245920," it has leap clang in a standard freaking library can your rust do that i don't think so this okay"
245920,251440," i'm gonna show you seriously like look at the standard library of jai look at the standard library"
251440,256880," so you have a bindings generator and the binding generator contains a leap clang like leap clang comes"
257680,264800," just like billy harrington with the gi distribution right so the other shit you can have you have curl"
264800,276720," jai comes with curl direct 3d uh it comes with like gamepad support free type support um it's it comes with"
276720,288480," opengl support it comes with i'm gui support like it's it's all there right can your rust do that i don't"
288480,301680," think so i don't think so all right so and um yeah so that's why we use it because it like it has the"
301680,308400," clang already available and we create a very simple example uh which takes the ray leap header right so"
308400,313680," this is a huge ray leap header well it's not that big but it's one thousand and almost six hundred lines"
313680,321200," of c code and essentially we implemented a parser uh of this thing so essentially what it does it just"
321200,326800," like traverses through all of the function definitions and parses its uh signature so as you can see we"
326800,333840," parse the types of the arguments and we parse the type of the return uh return basically return type right"
333840,340640," so and like i also print the location which is kind of compatible with emacs so i can run it in emacs"
340640,345680," compilation mode and i should be able to actually jump between the definitions and stuff like that so"
345680,350800," let me quickly do that i want to see that right yeah essentially i can just like jump between these"
350800,356800," things i can pick a particular function and uh just between a jump between all of that stuff"
356800,363920," all right so essentially the only thing that is left for us is to collect all of this information in"
363920,369200," some sort of like a centralized database like in memory database uh we're not going to use the real"
369200,375600," database like i just like use a data structure uh i just use the database as the synonym for data"
375600,380080," structure right so just just put that in some sort of like a dynamic array data structure and just like"
380080,386320," query it um so one of the things we'll have to come up with is probably some sort of like a query language"
386320,393360," a very simple query language uh so that we can describe the signature of the function we're trying to match"
394560,401120," and essentially come up with a way to match that signature with the signature of the function in"
401120,406720," sort of like a fuzzy way if you know what i mean right because we don't want to match them strictly"
406720,412480," because it's not going to be particularly useful uh the thing about uh google is that like it can"
412480,418480," you well i mean in this specific case it matches only character to character but uh you can just supply"
418480,424400," a function that accepts a and returns b and it will match all sorts of things right it will match"
424400,430160," like a lot of different things that like accept a and return b like v fp and stuff like that so"
430160,435280," it matches things like sort of fuzzily right so we need to come up with a sort of like a language to"
435280,441040," describe the signatures and also a way to match those signatures somehow fuzzily so i think that's"
441040,448320," going to be interesting so uh we've got some servers uh we've got uh an anonymous gifting sub to"
448320,453920," black deacon your butt thank you so much for gifting this up really really appreciate that"
