start,end,text
880,6880," how are you doing today very good to see you today so today is friday and that means today"
6880,14240," according to the schedule we are doing a random that's right we're doing a random"
14240,20960," hello avon hawk uppercastic caustic xd uh shazovac malios dusty pausi arch uh here"
20960,29680," hurts and plots out nine mr bodka voiceless uh fax hello hello uh raspyfi hello welcome welcome"
29680,38240," really glad to you see you all uh today so today is random one of stream and the topic of today's"
38240,46720," random one of stream is time displacement who knows what the it is displacement who heard this"
46720,54960," kind of term who've seen this kind of term uh so this kind of term is usually applied to video effects"
54960,63520," so who saw videos with the time displacement effect let's google that let's google this is not how you"
63520,76480," google shit up uh so you can actually go to to youtube and put their time displacement time"
76480,82480," displacement and you'll find a ton of different videos that uh demonstrate you this kind of effect"
82480,86640," it's called it's also called slitscan i suppose um yeah"
90640,104640," so this is basically a demo"
115440,124240," a good idea so today i want to go ahead and implement this kind of effect myself algorithm"
124240,129440," so as far as i can understand this kind of effect is not that difficult to implement"
129440,136880," right it's not that difficult to implement uh so there was a video somewhere that explained that"
136880,143760," effect uh really well unfortunately i lost the link and i cannot find it but the idea is actually super simple"
143760,149040," uh let's actually open my paint"
149040,152400," it's actually open my opinion"
156400,163040," uh i want to implement that for research purposes so just i don't know i think it's kind of interesting"
163040,170160," to uh to quote that uh think algorithmically so i don't know maybe it's not interesting for everybody"
170160,177200," but it's interesting for me uh for sure so uh on one of these videos if some for sake i closed it"
178640,183840," if somebody can find that video that explains uh you know uh the"
183840,192400," the time displacement the way i just explain it right now feel free to post it in the in the chat"
192400,199440," all right so basically you have a frame right you have a frame of the video"
199440,201920," there we go"
204640,208000," and as a matter of fact you have several frames in the video"
208000,215520," obviously i mean in the video you have on the frames so imagine taking all of these frames and"
215520,218400," stacking them in a three-dimensional structure like that"
218400,229760," so here are all of the frames of your video this is actually pretty cool explanation i really like that"
230720,236080," so basically when you're watching the video you're basically moving uh you scan this third"
236080,242800," dimensional structure in this direction so this is basically time uh you have some sort of a plane"
242800,252080," right plane that scans that thing in that direction and just displays them like that"
253200,260560," so what if we experiment with that plane and actually orient it in different ways"
260560,269040," for example uh we could orient it slightly uh diagonally right uh something like this"
269040,279200," uh and it would intersect somewhere here right and it would scan not uh not"
281200,289760," how to say that not vertically but slightly diagonally so uh the low rows of the pixels will be slightly in"
289760,297520," the future than the uh the upper one you see because of this diagonal thingy um so the upper pixels"
297520,304080," are in the current time the lower are a little bit in the future the lower is further in the future and so"
304080,311120," so on and so forth so the the time is going to be uh from now to the future you can orient it a different way"
311120,319520," you can actually use um non flat surfaces for example you can do all sorts of different things and you will"
319520,327520," achieve different kind of results um upper sky and lower is a future cool but it's only one to orient you can"
327520,333360," orient it somehow differently um and yeah this is basically why i want you to implement that just to"
333360,339680," see how differently you can orient this kind of thing um yeah and what's interesting is that you'll"
339680,344240," have to hold the whole video in the memory to do this kind of thing and if you don't want to you'll have"
344240,352080," to implement some sort of a buffering that keeps only the used frame in the memory so it it has a lot of interesting things so"
352080,356960," yeah this is what this is what i wanted to do for today is that an interesting topic i think"
356960,363280," it's kind of it's kind of interesting topic so i think it's a i think it's a friday worthy topic that's"
363280,373120," what how this is how i would call it friday worthy topic uh all right before we fart i mean start uh let's"
373120,381520," uh make a cup of tea i suppose uh before because i cannot uh work without my cup of tea so and of course"
381520,385600," we're going to do that in rust because rust gives me views and i mean i don't really like that"
385600,389520," language that much but since people watch that language i'm okay with programming it as a matter"
389520,394320," of fact i'm okay with programming in any language it's just rust you know people watch rust for some"
394320,402880," reason i have no idea why okay so let's go to our organization our organization and create the"
402880,405440," repo for this particular project so how we're going to call it"
408320,414240," wouldn't some js thingy give more views i don't think it's easy to implement uh time displacements"
414240,422160," in js maybe i don't know i think i think rust in that sense a little bit more robust uh you also"
422160,429840," have to balance things between you know easy to use and uh views right i don't think it's going to be easy"
429840,436240," in njs uh because to to work with this kind of stuff with different mediums images and stuff like that you"
436240,440800," you will still have to have some sort of bindings and that means you're already working with two"
440800,446720," languages simultaneously and two languages simultaneously is all the friction so i already have enough"
447600,459200," problems with the rest so anyway uh let's call it uh time displacement"
459200,471120," there are more people watching or reading about rust than people actually using it oh so basically rust is"
471120,474800," like is like sex everybody's talking about it but nobody's doing it okay i see"
475600,483920," uh that that explains a lot actually okay time displacement uh in rust is is that"
483920,492400," is there does anybody know a better name i mean i don't know i think i think it's a better name"
492400,501280," it's a good name time displacement in rust of course trust displacement"
503520,507760," maybe we'll see so we're gonna call it like that maybe later we can come up with a better name"
507760,516320," maybe i i will initialize this repo so i'll add git ignore for a rust and maybe yeah i think it's it's"
516320,523040," okay and we're gonna add mit license see how easy this into in 2020 to create a github river"
524400,534320," you see in 1980 it was not that easy to create github repo because github didn't exist so obviously progress"
538160,542880," i love this argument i love this argument anyway so um"
542880,554080," time displacement and i'll probably have to initialize this shit anyway the right time and first"
554080,565200," yes uh cargo in it we're gonna initial oh my god for some reason in emacs in the compilation what you're not supposed to"
565680,570560," add ampersand otherwise it doesn't work for some reason like it just doesn't execute the command"
570560,579120," so cargo tunnel and there we go there we go and here our uh hello world application nice"
