start,end,text
0,22240," you ready kids are you ready"
22240,27280," let's go"
30000,41760," i wonder what can be the best okay so there's a"
41760,46560," lead code website i'm not referring to lead code"
46560,53760," fuck that uh fuck that mate is there like a"
56320,61200," i don't know look at wikipedia article about that"
61200,69280," um everybody's talking about this thing but there's a tree rotation again"
69280,71680," yeah"
71680,78560," okay that's what i do hello second what's up"
78800,85200," inverse because that's what we're trying to do yeah"
85200,92560," all right and it's not particularly what i think it is"
92560,99600," um hello everyone hello very glad to see you so today we actually doing something interesting"
100400,105840," um today i'm going to be learning std file system because i never actually used it in my life"
105840,110960," i was supposed to watch and sermon of course hello hello"
110960,117040," so std file system right so it's a part of this c plus plus standard library and it allows you to work"
117040,128880," with files um with files uh so it was introduced in c plus plus 17 if i'm not mistaken right and i"
128880,135680," never really tried uh a lot of things in a standard library since c plus plus 17 even since c plus plus"
135680,143920," 14. so i started to learn c plus plus when the active standard was i think c plus plus zero three"
143920,154000," right before c plus plus 11 um so yeah and i wanted to try to you know see how good of the library it"
154000,162240," is it's cute easy to use nice i'm very glad to hear that so uh so the idea it's kind of like boring to"
162240,167600," just go through the library and its functions and stuff like that it will be like a little bit more"
167600,175200," interesting to um do some sort of an exercise and the exercise i came up with is inverting the file tree"
175200,183360," right so there is a classical example of inverting binary tree invert binary tree and i couldn't really"
183360,193680," find uh anything uh yeah so the idea is essentially you just mirror a tree right you just mirror a tree"
194880,199760," oh my god my god where's my uh tablet"
199760,222640," it takes so much time to actually start everything up i wish my pain was a little bit faster uh it doesn't"
222640,232880," my pain doesn't even do anything to be that slow in my opinion uh right so um let me maybe readjust"
232880,240480," everything so there's something like this uh huh so and then we can have something like that"
240480,252400," right and in here we have one two three four uh five so the idea of inverting the tree the idea of"
252400,262640," inverting the tree is essentially mirroring it horizontally right so if you rotate it let me"
262640,268720," actually quickly do that it's going to be something like this one so three is on the right so the three"
268720,275520," is going to be on the left right three is going to be on the left two is going to be on the right so and"
275520,282640," in two five is on the right so it's going to be on the left it's going to go like that five and then it's"
282640,288640," going to be uh four like that so this is how you invert a binary tree um and you do that usually"
288640,296400," recursively so now imagine that you have a file tree and you want to do the same but with the files"
298240,304640," so um but uh with the files a file system unfortunately is not a binary tree in case of a"
304640,313520," binary tree it in it has up to two uh children so you can just swap the children around so file system"
313520,321840," usually looks like this it has many many children right it has many many children and um how would you"
321840,329920," you know rotate it or maybe flip it you will have to reverse this array right you will have to reverse"
329920,339280," this array um so and how would you reverse like files um i suppose reversing the file is going to be"
339280,347280," basically um switching their contents right a rotating binary tree is essentially going to be like literally"
347280,351920," switching the contents and whatnot and i think the easiest way to do that would be to actually rename"
351920,356160," the files we're going to achieve that through the naming so the idea is going to be that you recursively"
356160,362720," go down the by the the file tree and as you unwind from recursion you're going to be actually swapping"
362720,369520," things around and eventually you're basically going to flip the whole tree um horizontally so i think it's"
369520,378560," a very interesting exercise and uh we'll see if it's possible to do that in cc plus plus um should be"
378560,388640," possible with a file system and it should be cross-platform all right so uh let me see so we're going to have"
388640,400320," what to do uh we're going to have to do so we first need to implement where is my to do to do.org"
400320,409840," file tree generator we first need to generate some data right"
415120,422960," okay uh okay uh we need to generate some data for this entire stuff and then uh file tree uh inverter"
422960,430640," inverter inverter is it inverter i think it has to be inverter um all right"
430640,442560," what's up tech to the attack 256 yes inverter thank you thank you so much hello hello"
445120,453120," google google translate actually improved over over the years because it always struggles to properly"
453120,459280," translate english to to russian um and it goes quite well so just programming in c plus plus"
459280,469280," um as you can see inverting file trees and stuff like that i'm learning std file system and i decided to"
