start,end,text
0,29980," *music*"
30000,59980," *music*"
60000,62000," *music*"
62000,64000," *music*"
64000,66000," *music*"
66000,68000," *music*"
68000,70000," *music*"
70000,72000," *music*"
72000,74000," *music*"
74000,76000," *music*"
76000,78000," *music*"
78000,80000," *music*"
80000,82000," *music*"
82000,84000," *music*"
84000,86000," *music*"
86000,88000," *music*"
88000,90000," *music*"
90000,92000," *music*"
92000,94000," *music*"
94000,96000," *music*"
96000,98000," *music*"
98000,100000," *music*"
100000,102000," *music*"
102000,104000," *music*"
104000,104000," *music*"
104000,104000," *music*"
104000,104000," *music*"
104000,106000," *music*"
106000,108000," *music*"
108000,108000," *music*"
108000,110000," *music*"
110000,110000," *music*"
110000,112000," *music*"
112000,112000," *music*"
112000,114000," *music*"
114000,114000," *music*"
114000,116000," *music*"
116000,116000," *music*"
116000,116000," *music*"
116000,118000," *music*"
118000,147980," Thank you."
148000,177980," Thank you."
178000,207980," Thank you."
208000,237980," Thank you."
238000,267980," Thank you."
268000,297980," Thank you."
298000,327980," Thank you."
328000,357980," Thank you."
358000,387980," Thank you."
388000,417980," Thank you."
418000,447980," Thank you."
448000,477980," Thank you."
478000,507980," Thank you."
508000,537980," Thank you."
538000,567980," Thank you."
568000,597980," Thank you."
598000,627980," Thank you."
628000,657980," Thank you."
657980,687960," There is no stream today."
687960,717940," Thank you."
717940,747920," Thank you."
747940,777920," But what's fun is that I always say that I always say that story is that I always had this plan at the back of my head to take a look at Ruby throughout its popularity and then the Ruby just died."
777920,807900," So maybe solve a problem."
807920,837880," Anyway, let's create the 16 Ruby folder."
837880,867860," Reaction streamer."
867860,897840," I know a couple of key words in Ruby."
897840,927820," The first thing."
927820,957800," So, yeah, so you can do it."
957800,987780," Nah, you can do it."
987780,1017760," Oh, look at that."
1017760,1047740," And you can do it."
1047740,1077720," Dispatch to a different tool."
1077720,1107700," You can survive without, you can do it."
1107700,1137680," And you can do it."
1137680,1167660," Would you look at that."
1167660,1197640," Oh, yeah, you can do it."
1197640,1227620," This is how you do it."
1227620,1257600," So, yeah, you can do it."
1257600,1287580," read the file."
1287580,1317560," So, I want to do it."
1317560,1347540," I would like to do it."
1347540,1377520," Okay, that's actually, okay."
1377520,1407500," It does have a map."
1407500,1437480," Okay, okay."
1437480,1467460," Holy shit, it works."
1467460,1497440," Such a fresh, so you can do it."
1497440,1527420," water."
1527420,1557400," You can do it."
1557400,1587380," Okay, okay."
1587380,1617360," drink some water."
1617360,1647340," You can do it."
1647340,1677320," Okay, you can do it."
1677320,1707300," Okay, okay."
1707300,1737280," from one, you can do it."
1737280,1767260," You can do it."
1767260,1797240," Start by, you can do it."
1797240,1827220," valid, you can do it."
1827220,1857200," It doesn't matter."
1857200,1887180," You can do it."
1887180,1917160," Take a look at, you can do it."
1917160,1947140," And, you can do it."
1947140,1977120," Now, and I suppose, and I suppose, and I suppose, and I suppose, and I suppose, and I suppose,"
1977120,2007100," Here's the sample, I don't need to do it."
2007100,2037080," And I suppose, and I suppose, okay."
2037080,2067060," And I suppose, and I suppose, and I suppose, okay."
2067060,2097040," There's a take a look at it."
2097040,2127020," Okay, so, okay."
2127020,2157000," And I suppose, okay, so, okay."
2157000,2186980," This is actually pretty, okay."
2186980,2216960," So, okay."
2216960,2246940," So, okay, so, okay."
2246940,2276920," Which code editor, which code editor, which code editor, which code editor, this is sublime, this is sublime, this one."
2276920,2306900," So, okay, so, okay."
2306900,2336880," So, okay."
2336880,2366860," So, okay."
2366860,2396840," So, okay."
2396840,2426820," So, okay."
2426820,2456800," So, okay."
2456800,2486780," Take while, okay."
2486780,2516760," So, okay."
2516760,2546740," What's the last one."
2546740,2576720," So, okay."
2576720,2606700," And define local, okay."
2606700,2636680," So, okay."
2636680,2666660," So, okay."
2666660,2696640," So, okay."
2696640,2726620," How do I do, okay."
2726620,2756600," So, okay."
2756600,2786580," And in here, okay."
2786580,2816560," So, okay."
2816560,2846540," And I can create, okay."
2846540,2876520," And that will create, okay."
2876520,2906500," Here's our single field, okay."
2906500,2936480," Okay."
2936480,2966460," Okay, okay."
2966460,2996440," So, okay."
2996440,3026420," So, okay."
3026420,3056400," Do I have to do, okay."
3056400,3086380," support, okay."
3086380,3116360," Okay, okay."
3116360,3146340," here, okay."
3146340,3176320," Ruby, okay."
3176320,3206300," Okay, okay."
3206300,3236280," I'm going to do it, okay."
3236280,3266260," Okay, okay."
3266260,3296240," What the fuck, okay."
3296240,3326220," Okay, okay."
3326220,3356200," extract, okay."
3356200,3386180," And then, okay."
3386180,3416160," Okay, okay."
3416160,3446140," Okay, okay."
3446140,3476120," Okay, okay."
3476120,3506100," Okay, okay."
3506100,3536080," Okay, okay."
3536080,3566060," Okay, okay."
3566060,3596040," Okay, okay."
3596040,3626020," Okay, okay."
3626020,3656000," Okay, okay."
3656000,3685980," So, okay."
3685980,3715960," Okay, okay."
3715960,3745940," Okay, okay."
3745940,3775920," Okay, okay."
3775920,3805900," Okay, okay."
3805900,3835880," Okay, okay."
3835880,3865860," Okay, okay."
3865860,3895840," Okay, okay, okay."
3895840,3925820," Okay, okay."
3925820,3955800," Okay, okay."
3955800,3985780," Okay, okay, okay."
3985780,4015760," Okay, okay."
4015760,4045740," Okay, okay, okay."
4045740,4075720," Okay, okay, okay."
4075720,4105700," Okay, okay, okay, okay."
4105700,4135680," Okay, okay, okay, okay."
4135680,4165660,", okay, okay, okay, okay, okay, okay, okay, okay."
4165660,4195640,", okay, okay, okay, okay, okay, okay, okay, okay."
4195640,4225620,", okay, okay, okay."
4225620,4255600,", okay, okay, okay, okay, okay, okay, okay, okay."
4255600,4285580,", okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay."
4285580,4315560,", okay, okay, okay, okay, okay."
4315560,4316560," Okay."
4316560,4330560," Oh my god, I'm brain farting. I need to wait for my team. Okay."
4330560,4335560," Here's the ticket."
4335560,4340560," Here's the field."
4343560,4354560," And if it's valid, that means we have to break out of the loop, right?"
4354560,4356560," We're breaking out of the loop."
4356560,4365560," If it turned out to be invalid for all of them, we essentially return that value."
4365560,4368560," That's what we do here, right?"
4368560,4370560," Hopefully that's how it's going to work."
4371560,4374560," And then we can do it like this, right?"
4374560,4376560," I want to double check that I did everything correctly."
4376560,4378560," Field value valid."
4378560,4382560," We iterate through all the ranges and we check if they're not with the ranges."
4382560,4385560," So if something is not in the range, we instantly return false."
4385560,4387560," If we went through, it will be true."
4387560,4391560," So for each value for each field, if field is valid."
4391560,4394560," So this is a field that we do care about."
4394560,4395560," There we go."
4395560,4397560," If some of them is invalid, we instantly returned."
4397560,4398560," Okay."
4398560,4406560," And then first invalid field, we provide the ticket."
4406560,4408560," We provide the fields, right?"
4408560,4409560," We'll provide the ticket."
4409560,4410560," We'll provide the fields."
4410560,4413560," And so the thing has to be the sum."
4413560,4416560," So we need to do something like result."
4416560,4418560," This result plus equal that."
4418560,4420560," And we're going to return the result."
4420560,4424560," I'm not even sure if this will work, by the way, in Ruby, but I will just assume that it does."
4424560,4431560," And afterwards, I'm going to do put part one, right?"
4431560,4434560," It's going to be part one like this."
4434560,4435560," There we go."
4435560,4437560," So that should be the part one solution."
4437560,4438560," How about that?"
4438560,4439560," How about that?"
4439560,4442560," Which you didn't expect me to actually come up with a solution that quick."
4442560,4447560," Does Ruby enforce indentation like Python?"
4447560,4451560," I have no idea, but it does have semicolons."
4451560,4455560," And I suppose you have to put semicolons when you put everything on a single line."
4455560,4456560," Maybe it just..."
4456560,4457560," I don't know."
4457560,4458560," I don't care, to be fair."
4458560,4464560," I'm going to just solve this problem in Ruby and then I'm going to forget about it."
4464560,4468560," That's how it's going to go, chat."
4468560,4470560," That's how it's going to go."
4470560,4471560," First try."
4471560,4477560," I'm not sure if it's going to be first try because I was just, you know, dumping the code into the file without checking anything."
4477560,4479560," I'm not even sure if it's going to run right now."
4479560,4483560," Let me give it a try."
4483560,4485560," Okay."
4485560,4486560," So..."
4486560,4488560," You see, it's not correct."
4488560,4489560," It's already not correct."
4489560,4490560," So..."
4490560,4492560," What did you expect from me?"
4492560,4494560," So, let's put it like that."
4494560,4495560," And..."
4495560,4496560," So, it was 7..."
4496560,4498560," 7..."
4498560,4499560," 55..."
4499560,4500560," 38..."
4500560,4502560," It was really strange."
4503560,4504560," But to be fair..."
4504560,4505560," Um..."
4505560,4508560," Sometime..."
4508560,4509560," Okay."
4509560,4511560," So, what's going to happen if you actually be here?"
4511560,4513560," So, what if it's completely valid?"
4513560,4514560," Right?"
4514560,4515560," What if it's completely valid?"
4515560,4517560," We can just try to return -1."
4517560,4518560," Right?"
4518560,4519560," So, we can just return..."
4519560,4520560," By the way, my tea is ready."
4520560,4521560," Not really tea is ready."
4521560,4522560," I mean..."
4522560,4523560," The kettle."
4523560,4524560," The kettle is ready."
4524560,4525560," Uh..."
4525560,4526560," Okay."
4526560,4527560," So..."
4527560,4528560," So..."
4528560,4529560," So..."
4529560,4531560," Do-do-do-do-do-do-do-do-do-do-do..."
4531560,4532560," Um..."
4532560,4533560," Okay."
4533560,4534560," So..."
4534560,4535560," Okay."
4535560,4536560," So..."
4536560,4537560," Um..."
4537560,4538560," Okay."
4538560,4539560," So..."
4539560,4540560," Um..."
4540560,4541560," Okay."
4541560,4542560," So..."
4542560,4543560," Um..."
4543560,4544560," Okay."
4544560,4545560," So..."
4545560,4546560," Um..."
4546560,4547560," Okay."
4547560,4548560," So..."
4548560,4549560," Um..."
4549560,4550560," Okay."
4550560,4551560," So..."
4551560,4552560," Um..."
4552560,4553560," Okay."
4553560,4554560," So..."
4554560,4555560," Um..."
4555560,4556560," Um..."
4556560,4557560," Okay."
4557560,4558560," Um..."
4558560,4559560," Okay."
4559560,4560560," Um..."
4560560,4561560," Okay."
4561560,4562560," So..."
4562560,4563560," What we need to..."
4563560,4563560," It..."
4563560,4564560," It's kinda strange."
4564560,4565560," Like..."
4565560,4566560," How..."
4566560,4567560," Yeah..."
4567560,4569560," Uh..."
4569560,4570560," So..."
4570560,4571560," I'm gonna put it like this."
4571560,4572560," Uh..."
4572560,4573560," And..."
4573560,4575560," If x is greater or equal than zero."
4575560,4576560," Then..."
4576560,4577560," Uh..."
