start,end,text
480,6400," Looks like we're live. Hello everyone and welcome to yet another recreational programming session"
6400,10240," with Amista Azuzin. How about that? I bet you news, but that should do happen."
10240,16640," Let's make a little bit of an announcement and officially start the stream live on Twitch."
16640,23840," And what are we doing today on twitch.itelevision website? Today we're doing a multi-threaded scene."
24480,29920," So yeah, how about that? How about that? So I'm going to give the link to twitch.tv/studging,"
29920,34480," the usual place where we're doing all that, twitch.tv/studging, and I'm going to ping everyone"
34480,39520," who's interested in being pinged. There we go, the stream has officially started, the stream has"
39520,45680," officially started. So today I would like to continue doing the thing that I studied yesterday,"
45680,54400," essentially implementing the, you know, gzip is all you need paper, right? So let's take a look"
54400,58800," at that specific paper. The link to this paper, of course, is going to be in the description for"
58800,63840," people who's watching on YouTube and for people on Twitch right now. I'm going to copy paste it"
63840,69360," in the chat. So this paper, right? We started to implement this paper and it's a pretty cool paper,"
69360,77120," which describes a very cool algorithm that allows you to classify text using gzip, right? So less is"
77120,83840," more parameter free text classification with gzip. So, and essentially what it does, it uses k nearest neighbor"
83840,90720," algorithm and the distance for the k nearest neighbor algorithm is computed with a very simple formula"
90720,97040," that involves gzip. So here is the formula. For more information, how this entire thing works and why"
97040,102080," potentially it works, I recommend watching the previous stream. All of the links are going to be in the"
102080,108240," description and the playlist and stuff like that. So it's a very simple formula, right? So, and essentially"
108240,117040," to classify a text, what we have to do, right? We have to check the distance to each individual sample of"
117040,124880," the training data, right? And the training data that we picked is actually a gen-use dataset, which is"
124880,134000," rather big. It's 120 000 samples, right? And computing this amount of samples involving gzip and stuff like that"
134000,141680," is actually quite heavy on my laptop, right? On my laptop, to classify a single text, it takes around a"
141680,148720," minute, I think. Right, it takes around a minute. So that is not acceptable. But the thing is, we're checking"
148720,154560," all the samples sequentially. We're checking them sequentially. But we don't really have to do that."
154560,160880," So the process of just figuring out all the distances to the current sample that we're classifying"
160880,166720," is actually, like, does not depend on any other samples. We can actually do that independently."
166720,171840," We can compute that formula for each individual sample independently, which means that this entire"
171840,178480," process is easily parallelizable, right? And that's exactly what I wanted to do today. So since the entire"
178480,183440," thing is implemented in C, we're probably going to be using p-threats, right? So it's a good opportunity to"
184080,190400," try out, yet again, good old p-threats. It is always fun, in my opinion, right? So every time I work with"
190400,197760," p-threats, it is always fun. And furthermore, we're not going to be doing that on this machine, right? So"
197760,203200," this machine is a 10 years old laptop, right? It has only four cores and stuff like that. So what I did"
203200,212080," before the stream, what I did before the stream, I upgraded your mom, right? So now your mom has eight cores."
213600,221040," So, yeah. We're going to try to run this entire process after parallelization on your mom and see"
221040,227200," how fast is it going to classify things. So what I'm using, like, the hosting that I use is called"
227200,234560," Zap Hosting, right? So Google Zap Hosting. I'm not sponsored by it, right? But one of the cool things"
234560,241920," Zap Hosting actually offers is an ability for other people to pay for you, right? To sort of donate for"
241920,249280," service, for servers. And that's basically how I managed to afford this server, this instance. So"
249280,255680," essentially, through your donations, right? So if you feel like actually supporting me, not Jeffrey Bezos,"
255680,261360," but actually me, consider donating for the servers, right? So there's a donate command and there is a link"
261360,270000," to Zap Hosting. So yeah, if you think I deserve to have more servers, you can donate there. And for"
270000,275120," people on YouTube, it's going to be in the description, of course. And somebody asks, why is the load so"
275120,282880," high? And that's the fun part. So I Googled up, right? It's not even doing anything, right? So I'm sorting by CPU"
