start,end,text
320,5920," looks like we're live hello everyone and welcome to yet another recreational programming session"
5920,11520," how about that uh so let's make a little bit of an announcement and officially start the stream"
11520,21360," as usual as usual come on discord you can do that i believe in you uh red circle right uh live on"
21360,28720," twitch and what are we doing today on twitch dot at television today we are generating cellular"
29600,39760," automata uh in typescript i hope i actually spelled automata correctly uh yeah i i did it's just like"
39760,46240," the the chromium doesn't know how to spell that word either so i'm gonna give the link to twitch.tv"
46240,52240," the place where we're doing all of that and i'm gonna ping everyone who's interested in being pink"
52240,60000," and there you go the stream has officially started uh has officially started so uh as already mentioned"
60000,66640," today we are uh gonna be generating cellular automata right so what is a cellular automata probably the"
66640,75520," the most famous cell automata is conveys game of life conveys game of life so let's take a look at the"
75520,81280," conveys game of life it's it's rather famous right so you probably heard of it uh i'm gonna open the"
81280,87120," the wikipedia page right so and if you're interested in this kind of thing i'm gonna copy paste it in the"
87120,92560," chat and for people who's watching on youtube if we ever upload that to youtube i don't know it depends"
92560,97760," on the quality of today's stream uh i'm gonna put it in the in the description right so it's a conveys game"
97760,106240," of life right so you have a two-dimensional grid uh and every cell uh has two states it's either dead or"
106240,115040," alive right and there are simple rules that describe the like generation of the next state of the board"
115040,122160," right so and you basically have three rules in here if you sort of compress and reduce it so any live cell"
122160,130400," with two or three live neighbors survives any dead cell with three uh live neighbors becomes a live cell"
130400,136320," all other cells die in the next generation similarly all other dead cells uh stay dead right so this is"
136320,144160," basically sort of like a nature language description of this specific cell automaton and uh it creates a"
144160,150160," lot of interesting emerging behavior right so as you can see so it creates things like gliders right that"
150160,156880," move around and as far as i know it's been uh sort of uh demonstrated that it is turing uh turing complete"
156880,165280," um right so you basically can program in that specific uh cellular automaton uh so essentially"
165280,174480," um if we try to code these specific rules right uh it's probably gonna look uh something like uh like"
174480,182640," following right so essentially one of the things i want to try to do i want to generalize the description"
182640,189600," of the conveys game of life uh right so let's actually maybe go to turing folder and create a separate"
189600,198000," separate folder for cell automaton so i'm gonna create cell automaton uh write automaton and i'm gonna put"
198000,205360," everything in there all right and the the um language of choice for today is going to be typescript right"
205360,210720," so the uh the choice is arbitrary i just felt like programming in typescript today uh i thought it's"
210720,217440," gonna get enough viewers for today so i decided to use that personally i don't give a shit for me language"
217440,223760," is irrelevant uh for me language is just like um you know intermediate thing like i can use whatever"
223760,230320," language like i want like so i just pick whatever gives me the most amount of views for today personally"
230320,236480," i don't give a shit i hate all the languages equally and i also hate your language your favorite language"
236480,242320," yeah you're watching your favorite language i hate it but i can program in it anyway so uh"
245520,257040," uh yeah so let's actually do something uh ts right uh so essentially uh we have sort of like the current"
257040,264160," cell right so let's imagine that we have a current cell and uh that specific current cell can be either"
264160,272560," dead or alive right so it can be either dead or alive and essentially you can compute the next cell"
272560,281120," right so the next cell is undefined yet right so we can say that it is undefined uh and our goal uh is to"
281120,288000," actually compute uh the next cell given the current cell right so given the current cell right and"
288000,294080," essentially what i'm doing here we can uh switch case on the current cell right so we're switch casing on"
294080,301200," the current cell and uh if the cell is dead if the current cell is dead we're gonna do one sequence of"
301200,308720," actions and if the cell is alive we're gonna do another sequence of actions to compute the next cell right"
308720,319840," so and essentially uh depending on these states uh right um we need to look at the neighbors right"
319840,328560," so how many alive neighbors we have right so uh on top of the having like a current cell we also know the"
328560,333840," amount of uh alive neighbors right so let's actually call this variable uh something like neighbors and"
333840,339120," it's going to have some sort of a value we don't really know that value uh so maybe we can also say"
339120,344880," that it's undefined but it's something it's too specific for for javascript people may uh misinterpret"
344880,351440," what i mean in here so let's actually put like uh triple dot in here specifically right so this specific"
351440,362800," uh value cannot actually be over eight right so it's the value uh from zero to eight so that's that's"
362800,368560," the only thing we know about this uh this entire stuff and this is because it's based on neighbors"
368560,382800," right uh so we have a two-dimensional grid uh so let's actually take a look at the the gradient here"
382800,389120," let's take a look at the grid so uh we have something like this"
391760,397440," right so and the current cell is this one so the question is how many neighbors can you have in a"
397440,406800," two-dimensional grid right you can literally count them so you have one two three four five six seven"
406800,414640," eight so that means you can't have more than eight alive neighbors right so you just simply cannot have"
414640,420960," more than more than that so that's why this invariant is going to is going to hold right so maybe we can"
420960,427600," even do something like um so let's actually call it neighbors without the count so the variable is a"
427600,432080," little bit shorter because neighbors count is a little bit too long and we're going to assert that"
432080,440400," neighbors right so it's uh greater or equal than zero and neighbors is uh less or equal than eight right"
440400,444720," so this specific invariant is going to probably hold right so this is going to be very useful"
444720,453600," so if the cell is dead right so if the cell is dead uh so it becomes uh it becomes alive only when it has"
453600,461520," exactly three neighbors right so we can say something like if uh neighbors is exactly three what do we do"
461520,469120," in this specific case we say that the next cell becomes uh becomes alive right so it becomes alive"
469120,476800," otherwise it stays dead right otherwise it stays dead right otherwise it stays dead so if the cell"
476800,488160," if the current cell is uh alive right so um uh and it has fewer than two alive cells it dies right so"
488160,498240," essentially if um neighbors neighbors is less than two uh it essentially next cell uh becomes dead right"
499120,506960," it essentially becomes dead uh otherwise if um so if um so it this is specifically for underpopulation"
506960,515680," right so if if if it has too few uh neighbors as far as i know if it has uh more than three it also dies"
515680,525040," right it also dies neighbors uh greater than three uh in that case it also dies otherwise it's uh essentially"
525040,533360," uh next cell uh next cell uh it stays alive right you can kind of rewrite this entire thing you can say"
533360,543440," something like uh if the neighbors neighbors is like within uh this range right it's actually you can all also"
543440,550720," rewrite it as this all right of course because the range is so narrow you can rewrite it like this but to"
550720,557440," emphasize that it's sort of a range uh we can do something like this right so in in this specific"
557440,563200," range we're going to say that this thing is going to stay alive uh right this thing is going to stay"
563200,571520," alive otherwise it's going to become dead right and this is how you can encode essentially with the"
571520,578560," typescript code the rules of the uh of the game of life if that makes any sense right so but here is an"
578560,586880," interesting thing here is an interesting thing you sort of have a state machine in here you have a state"
586880,595840," machine and transition table right essentially you have only two states in here dead and alive uh right so"
595840,602640," you can say that the amount of states is going to be let's say something like states uh is two so that"
602640,611040," means you can encode this entire switch case as some sort of a table can't you you can kind of encode this"
611040,615920," entire thing as some sort of a table so let's actually try to do that uh all right so this is going"
615920,624240," to be const and let's call the table uh goal game of life right so this is a game of life and essentially"
624240,631920," uh when the cell is dead all right when the cell is dead uh there is another transition in here so"
631920,638400," here we can specify the amount of neighbors in case of the neighbors like three uh in case of the neighbors"
638400,644960," three uh i'm not sure how javascript works can you have uh numbers as the keys in the object i don't think"
644960,649920," so i think it has to be strings but we can actually use strings in here because it's a dynamic"
649920,653920," you know language it's a dynamic toy language so that means we can do this kind of stuff"
653920,659920," right and we can encode the next state in here so we can say that this thing is supposed to be"
659920,664960," uh alive right so we have a little bit of an inconsistency we've been using like a single quote"
664960,669360," so in here i'm using double quotes maybe it makes sense to actually replace those things like that"
670000,676320," so this is what we're gonna have so and uh maybe we're gonna have something like otherwise"
676320,685120," right so something like otherwise dead so there we go so then if we are in a life state if we are in a"
685120,693760," life state so if we uh encounter two alive neighbors right so if encounter two alive neighbors uh we're gonna"
693760,700000," stay alive if we encounter three alive neighbors we're gonna stay alive otherwise uh otherwise we uh"
700000,707360," become switched to dead right and here's the table and you can quite easily you can quite easily just"
707360,714480," switch to the next cell by uh doing something like this right so we have a current cell so we get a game of"
714480,721200," life current cell right so and by doing that we already kind of switched to one of these two tables"
721200,730080," okay that's pretty cool so then we can take amount of neighbors right and then this gives us the next"
730080,738720," sort of cell right so instead of encoding instead of encoding this huge switch case we can just have a table"
738720,744320," like this but this specific table doesn't really take into account the otherwise right so it doesn't"
744320,751040," really take into account the otherwise um so we can maybe even populate this kind of thing right so"
751040,759440," we can say like if zero uh right if zero dead if one dead and for the rest of the eight of them"
759440,766240," is going to be dead furthermore we can maybe turn this into some sort of an array right we can kind of"
766240,772960," turn it into array on on zero is going to be dead on one is going to be dead on uh two is going to be"
