start,end,text
160,6320," Hello everyone and welcome to yet another recreational programming session with Mr. Zozing."
6320,12240," So today we're going to do another C3 development stream, right, and we're going to continue working"
12240,17600," on the WebSocket library that we started to work some time ago, right, so the first episode of that"
17600,24240," is going to be in the description, right, so essentially what we did, we took my old library"
24240,31280," CWS, which is basically WebSocket implementation in pure C, which I did for educational and"
31280,36000," recreational purposes, and what I did I just translated it to C3, right, so then off screen"
36000,42560," I just polished it up a little bit, and now we have sort of like a, you know, rough outline of the"
42560,49280," library. Unfortunately, as of right now, it contains only the client part, so the only thing you can do"
49280,53760," with that library is connect to the server, send some messages to the server, and receive some messages"
53760,60720," from the server, but you can't write the server, right, so, and to be fair, client and server are"
60720,68240," not that much different from each other, they use the same approach, the same framing of the messages"
68240,75920," and stuff like that, but the only difference between them is how they handle the handshake, right, so the"
75920,82400," thing about WebSocket, by the way, is that the handshake of WebSocket looks like HTTP request,"
83280,89920," right, it's rather interesting, actually, so it intentionally looks like HTTP request, and then,"
89920,98720," right, it's basically an HTTP upgrading to WebSocket, and then it starts, it continues working as TCP protocol,"
98720,105360," right, so essentially we can take a look at how the client does the handshake, right, so in the library itself,"
105360,114080," so here is the example, right, it's a very simple example, which I polished it up, which I polished up,"
114080,134880," and I started to use, actually, a pretty cool module within C3, std.net.tcp, it's much easier than whatever I was trying to do at the end of the previous stream, right, but whatever I was trying to do at the end of the previous stream, right, but whatever I was trying to do at the end of the previous stream, I tried to do that intentionally, because I wanted to translate code pretty much one-to-one,"
134880,164400," one-to-one, so to not introduce any additional weird variables, which I potentially will spend hours debugging for no reason, if you know what I mean, right, so first thing I want you to do, I just want you to translate thing, like, one-to-one, see that one-to-one translation just works, and then keep improving it, right, so that makes it more manageable, if that makes any sense, right, so, and, yeah, so there is a pretty cool,"
164400,185960," pretty cool module in here, which just allows you to create TCP connections, right, so, essentially, how we do that, you just do TCP connect, you provide host, you provide port, and you get the TCP socket, so, the way our library works, you just rub the TCP socket into WS, into WebSocket, and there you go, you got a WebSocket that you can work with, that's it,"
186400,192200," it's that easy, so, it's that easy, so, internally, WebSocket library actually does a lot of temporary"
192200,201760," allocations, C3, being a modern killer of C and C++, has its own temporary allocator, it's kind of a meme that"
201760,209800," originated in game development community, and I think it got really popularized by Jonathan Blow, right, in Jaya language, and stuff like that,"
209800,221300," but a lot of the C, C++ killers, they have this temporary allocator, where you can just, like, allocate, like, whatever, right, use that, and forget about it, and then,"
221460,228860," you can periodically clean up the entire temporary allocator, which is rather convenient, right, so, this entire"
228860,236220," approach is insanely convenient, so, it's almost like using garbage collector, where you manually control when the"
236220,242860," thing is going to be collected, right, it kind of feels like that, it's really convenient, right, and essentially, all the"
242860,250460," allocations in the WebSocket library, they happen in the temporary allocator, and what you have to do, you have to"
250460,255460," periodically clean it up, right, so, because when you write a WebSocket application, you will naturally have"
255460,262520," an event loop, and essentially, all of the allocations are designed to be deallocated at the end of that event"
262520,269140," loop, right, so, the library expects you that you're going to deallocate everything at the end of the, at the end of the"
269140,275440," iteration of that loop, right, so, and because of that, here, we just take the temporary allocator, and we just"
275440,284580," take a mark, so, mark is essentially snapshot, right, if I understand correctly, the way it works, right, is that allocator is just an"
284580,293440," area, right, you just allocate some, a bunch of bytes in there, then you allocate a bunch more bytes, and maybe a bunch more"
293440,301380," bytes, so, with different symbols, I just basically denote different allocations, so, and essentially, mark denotes where the"
301380,313380," allocation was, right, so, basically, same in the current mark, right, then I allocate a bunch of things, like so, and then I use this mark to reset the temporary allocator, as"
313380,322520," you can see, then, at the end of the iteration, I take the mark, I say, reset that temporary allocator to that specific mark, and what happens, it just, like, resets the mark of the"
322520,331520," temporary allocator to that, and the next allocation is going to override the previous allocations, this is how I understand, I didn't really look into how exactly this"
331520,342040," temporary allocator in C3 is implemented, but I, myself, implemented my own temporary allocators, and it pretty much ended up having the same API, right, so, because of"
342040,350740," that, I assume it kind of works in a similar fashion, right, so, that's how it works, and the first thing we have to do after we establish"
350740,359380," connection, and so on and so forth, we do the client handshake, right, so, this is the function that we're interested in, so, let's actually take a look at it, so, the"
359380,367080," implementation of this specific function, right, so, we pass the host in here, right, host is very important, and as you can see, the"
367080,376820," handshake that the client sends to the server looks exactly as an HTTP request, right, it's actually really funny, but it's, it's not really"
376820,389080," HTTP protocol, it's just WebSocket protocol, the handshake of which happened to look like HTTP request, right, so, it's kind of cool, so, in"
389080,396360," essentially, we have to say it's a GET, it's a GET request, right, so, we provide the host, and this is why we pass the"
396360,402680," host in here, and we're requesting to upgrade the connection, right, as you can see, so, we're upgrading the"
402680,412480," connection, right, and we have to provide the WebSocket key, and also WebSocket version, so, and the WebSocket key is"
412480,427260," rather an interesting concept, it's a base 64, massive, massive reverb, really, when did it start to happen, when did it start to happen, I can't hear anything,"
427260,444080," no reverb, who is this person, chat, ban them, like, okay, so, this is, this is a straight-up timeout, timeout, Zubernet, one hour,"
444080,461220," alright, so, um, okay, so, probably opened two tabs, literally opened two tabs, streamer, fix, goddamn ban, like, that, such people"
461220,470140," should be fucking banned, out of the civil, uh, community of recreational programmers, one guide, exactly, honestly, like, fucking"
470140,477260," permabent, it should be not just timeout, fucking permabent, I do not fucking tolerate this kind of shit,"
477260,495820," um, alright, so, uh, now, so, this is very interesting, uh, WebSocket key, and WebSocket key is, um, literally for, um, not really for security reasons,"
495820,507740," by the way, literally not for security reasons, base 64, uh, right, just a second, uh, uh, so, it's just a, like, a random text,"
507740,516700," as you can see, it's actually a random text, so, and essentially, uh, what a server is supposed to do with that key,"
516700,528000," the server is supposed to take that key, right, uh, take that key, and, uh, essentially decode it, uh, essentially decode it,"
528000,538600," uh, append some, I think, GUID, some sort of a GUID into that key, uh, decode it into base 64, and send it back as a response to the handshake,"
538600,545080," right, so that's what it's supposed to do, and the reason why this security key is even in the place,"
545080,554300," right, why it is even in the place, is to prevent, uh, accidental, uh, accidental upgrade of the WebSocket"
554300,561700," protocol, right, because it looks like a HTTP request, so that means other HTTP clients may start sending"
561700,569940," things and accidentally initiate, uh, you know, uh, WebSocket protocol, so to make it not accidental,"
569940,574740," they require this sort of, like, exchange of the keys, and it's not really for security reasons,"
574740,581380," uh, I thought that this is for the replay attack prevention, maybe it is, but we can take a look at"
581380,590100," the RFC, actually, we can take a look at the RFC, uh, right, so we can literally just search for that key,"
590100,599540," uh, right, uh, let me see, let me see, so protocol overview, so the handshake, I literally use the"
599540,604980," same key from the RFC as well, the protocol has two parts, a handshake and data transfer,"
604980,610180," the handshake from the client looks as follows, right, uh, right, and the handshake from the server"
610180,615940," looks as follows, right, so this one is a little bit bigger, so we can actually try to decode what the"
616500,621060," response from the server is supposed to look like, it's kind of interesting, look at that, it's a 101"
621060,628500," switching protocols, uh, that's a very interesting response, isn't it, um, so let me copy paste this"
628500,638260," entire thing, so this is going to be echo, uh, okay, base64d, oh, and it looks like garbage, that's very"
638260,646580," interesting, so, and I wonder what exactly, xxd, uh, yeah, so it's probably, it's probably not"
646580,652180," concatenation, so, but what we can actually read, uh, what it's supposed to do, the lean line from client,"
652180,658820," uh, follows the request line format, uh, basically, yeah, so it's basically http request, the request"
658820,666180," status line, status line products are defined in RFC, blah, blah, blah, blah, so, uh, I'm looking for the"
666180,677220," key explanation, opening handshake, so the opening handshake is intended, uh, uh, okay, so I'm looking,"
677220,684900," I remember there was some GUID being involved, uh, okay, so to prove that handshake was received, the server"
684900,691220," has to take two pieces of information and combine them to form a response, okay, so we missed something,"
691220,701780," we missed something, we missed something, that's a lot of text, uh, all right, so maybe I can find"
701780,713140," more stuff in here, so, uh-huh, nah, too much to read, honestly, too much to read, but this is something that"
713140,723220," we'll have to implement anyway, right, so, um, probably I should read all of that, uh-huh, the request URI,"
723220,729860," additional header fields are, uh, to select options in the protocol, typical option available,"
729860,738420," original, blah, blah, blah, the header, uh, to provide service, inform, finance has to prove that the client"
738420,744980," is in the received client handshake, so the server doesn't accept connection, uh, or not, okay, so finally,"
744980,750820," the server has to prove to the client that it received the client's WebSocket handshake, so the server"
750820,755140," doesn't accept connections that are not WebSocket connection, this prevents an attacker from"
755140,763060," tricking WebSocket, okay, so this is, this has something to do with attacks and stuff like that, so, uh, packets from that, or blah, blah, blah."
763060,768500," To prove that the handshake will receive the server has to take two pieces of information and combine,"
768500,774740," uh, the, uh, the formal response. What are the first two pieces? The first piece of information comes from the"
774740,783540," circuit. Ah, I think I misinterpreted this sentence. I actually read it so it felt like they described the"
783540,789220," two pieces of information before, so it feels like I missed something. Okay, so they are describing the pieces"
789220,795860," of information in the, uh, in the future text, okay? I just misread it and I was like panicking. Do I really"
795860,800100," need to read all of that wall of text just to know what all of these two pieces of information are? They're"
800100,804980," going to explain that in the, in the next text, okay. The first piece of information comes from the, the key,"
804980,811220," right, so this is the key we're receiving. Uh, for this header field, the server has to take,"
811220,820580," uh, okay, so for this header field, the server has to take the value as present in the header field, uh,"
820580,828740," base64 encoded version, version, version, minus any leading and trailing white spaces. Okay, so whatever."
828740,836420," And can continue, uh, this with the global unique identifier GUIT, this specific GUIT in the string form,"
836420,841540," which is likely to be used, uh, which is unlikely to be used by the network endpoints that do not"
841540,849380," understand the WebSocket protocol. Uh, a SHA264 hash, the base encoding of this concatenation and then"
849380,860100," return to the server. Okay, uh, very interesting. So you take this key, you can coordinate it with GUIT,"
860740,869380," you take SHA1 and base encoded. So if you are a server, that's what you have to do in response."
869380,875780," If I understood that correctly, I need to read that one more time. Do we decode that thing or do we not"
875780,881940," decode that thing? So for this header field, this has to take the value as present in the header field,"
881940,890100," the base64 encoded version minus, uh, all of that and concatenate this with the global unique identifier"
890100,896900," this in the string form, which is unlikely to be used by the network endpoint to do not understand"
896900,905700," WebSocket protocol. Uh, a SHA1 hash, a SHA1 hash base64 encoded of this concatenation is then returned to the"
905700,914260," server handshake. Right, so that means server does not try to base64 decode that, it just takes that,"
914260,924420," concatenates that and just does SHA1 on that. Right, so that's what it is. It does look like some sort of"
924420,932980," assaulting, right? So, uh, concretely if an example above the header field has the field this, the server would"
932980,940580," concatenate this string, uh, to form this, right? This is the concatenation. The server would then take"
940580,948420," the SHA hash of the string giving the value blah blah blah. The server would then give the SHA hash of this,"
948420,958900," given this thing. All right, so that's pretty cool and I think that's the SHA, so B37A, uh, B37A for, uh,"
958900,967380," like 4F, uh, 2C and so on and so forth. Right, so that's pretty cool, that's pretty cool. All right,"
967380,972900," so, and if we're going to be doing the, uh, server implementation, the server handshake, we'll have to"
972900,984900," implement all of that? Mm-hmm. So, if I understand correctly, uh, C3, by the way, uh, C3, uh, does in fact"
984900,991540," have base64. All right, so we're going to do grab, uh, can I, yeah, I probably can do something like"
991540,1001220," find f name, uh, base64, right? So, base64, so here is the base64, so we can, uh, do this kind of thing,"
1001220,1008900," but do we have SHA1? Uh, that's a good question, actually. Probably not. We can try to search for SHA1,"
1008900,1021300," or maybe it has to be SHA1. All right, what the fuck, so we have everything. Wait, wait, wait,"
1021300,1032180," for real? Right, so we can just do that? Uh, okay, so hash SHA1, so, and it's implemented by learner himself,"
1032180,1038820," right, so, uh, yes, yes, yes, yes, so, and it's just like, that's, that's pretty poor. Uh, that's"
1038820,1042980," pretty poor, so we can, we're going to use that. Thank you. Thank you, learner. Thank you so much for"
1042980,1048660," just, like, implementing all the necessary pieces, and I suppose SHA1 is not that difficult to implement."
1048660,1057620," It's just like 257 lines of code, right? So it's a pretty simple hash, I presume. Uh, right, so implementation was of"
1057620,1068180," uh, uh, C, rate SHA1 C implementation. Okay, so it was basically translated to C3. Okay, so, um, yes, yes, yes, yes."
1068180,1079380," So, let me try to maybe, um, test how the handshake, how, um, the handshake is usually established by nodes"
1079380,1088900," specifically, right? So, I'm really curious about that. So, C3 WS C3. Uh, so, as of right now, we literally"
1088900,1096100," ignore the server's handshake. Like, we just ignore it. Um, and, um, so, we just check that it returned"
1096100,1101780," something at least, right? So, we only check that. Uh, but apart from that, we basically ignore it. One of"
1101780,1107220," the things we can try to do in here, we can try to simply print this entire stuff, right? So, here's the"
1107220,1113780," buffer size. Uh, I can now take the buffer, take a pointer to that thing, and maybe, you know, just to"
1113780,1120580," take a slice from zero to buffer size. So, here is the slice, which is, which I can then try to print."
1120580,1127620," So, this is what we can do. So, it's going to be IO print, um, you know, print, print N, right? So, this"
1127620,1132100," is how we're going to be doing all of that. Maybe I'm going to do print FN. So, it's going to be S."
1132100,1139140," Maybe I'm going to say hand shake from server, right? So, it's going to be S and that's about it."
1139140,1147780," So, let me try to build the whole thing. It doesn't build because we do not, in fact, uh, we do not,"
1147780,1156980," uh, do anything. We do not import STD IO. We need to do that. So, it can be STD IO, uh, like so. And, uh,"
1156980,1163220," there we go. All right. So, let me reset this and I think I'm going to actually start all of that in"
1163220,1171860," TeamUX. Uh, all right. So, let me just go there because it's going to be continued. So, it may"
