start,end,text
0,12000," um"
12000,20400," hello and welcome to another sorting session how about that about that but you didn't expect that"
20400,28640," should to happen uh yet another session um it's every day bra yikes so today is uh third day"
28640,32880," thursday if i'm not mistaken and that means today according to the schedule we are supposed to be"
32880,40400," doing um http library in c development but yesterday i had so much fun developing my"
40400,45680," own programming language that i decided to make another episode of a programming language development"
45680,46960," yes"
46960,57280," even my neighbors are super excited anyway so uh you can find the source code of this language in the"
57280,60720," description it's completely open source it's available on the github"
60720,67840," uh there we go and on the previous episode in the previous episode we started to um"
67840,74720," what did we do um yeah i think we were improving the parcel i think we were improving the parcel"
74720,80240," uh and the reason why we were trying to improve the parser is because we needed a better compiler"
80240,85920," messages because i believe compiler messages are extremely important for um a good programmer"
85920,92720," experience right because basically a software development is a conversation uh between a compiler and"
92720,98320," programmer so the compiler assists the uh the programmer and programmer like uh moves forward unless"
98320,109680," you're programming in dynamic scripting languages so uh previous episode episode is going to be available in here"
109680,118960," so the question is uh what we're going to be doing today so our language currently uh looks like this so"
118960,125840," it's only capable of doing uh very simple things um it can have an entry point and it can write"
125840,132240," things to the standard output that's the only thing it's capable of right now so i was thinking that maybe"
132240,138160," the time has come to introduce more constructs to the language this language is not turing complete right"
138160,145760," right so to be turing complete i think it needs loops conditions and uh some variables right and once we have"
145760,152160," those uh maybe it's going to become a turing complete right and the way we're going to demonstrate that is"
152160,157920," probably we're going to implement um something turing complete right it's either could be a turing machine"
157920,164480," or uh game of life or rule 110 like any turing complete system if we can implement that turing"
164480,170880," complete system in this language we can say that yeah it's probably turing complete um so yeah but some"
170880,175600," people of course is going to be like actually your computer is not turing complete because it doesn't"
175600,182240," have an infinite memory yeah yeah sure sure anyway so what we're going to introduce in here uh i think i'm"
182240,190400," going to introduce uh if conditions right i think if conditions are quite important for a good software"
190400,196640," development right for a good experience during software development it's kind of difficult to develop"
196640,201280," like useful programs without the if conditions so maybe that's precisely what we're going to implement"
201280,210080," uh right now right here right now right here so we're going to start with the eltheless condition"
210080,216240," right eltheless condition is the condition that doesn't have else that's why it's called eltheless"
216240,221520," right so and the reason is because like eltheless condition is a little bit easier to parse you don't"
221520,227600," have to think about uh you know nested stuff for example if you want to do something like this uh you"
227600,234560," know we'll see we'll see but maybe we're going to support like a python style uh l if yeah by the way"
234560,239520," the mode uh the highlighting mode that i use actually supports l if and the highlighting mode that i use"
239520,240880," is nim"
240880,249040," well the reason why i'm using new is because uh like i don't find nim particularly interesting like"
249040,255280," particularly special language it's an interesting language but uh i don't know i hate all the languages"
255280,261360," equally so it doesn't really matter for me um but it supports highlighting over keyword proc and i wanted to"
261360,271840," use that word right because in my opinion uh programmers did a pretty uh pretty shitty thing"
271840,281840," they stole a notion of a function from mathematicians right so um basically before programming word function"
281840,288080," meant a very like specific thing it meant like a mapping from one set to another and mathematicians"
288080,293200," were using this notion for quite some time and then programmers came in and they stole this thing and"
293200,300560," now function is all of a sudden um a sequence of instructions that can have an input and an output"
300560,305280," and also all of a sudden functions may have side effects and because of that we need to introduce"
305280,312480," like a special notion of a pure function and whatnot like no if they if these things are not a mapping"
312480,318320," from one set to another it's not a function let's call them procedures right some procedures may have"
318320,324000," uh arguments right some procedures may have the output like it doesn't make them functions in"
324000,331600," the mathematical sense right so they are procedures um so i don't know maybe in in this language we're"
331600,336320," going to have a notion of a function but if i'm going to introduce the notion of a function it's going to be"
336880,345280," mathematical motion maybe pure functional always going to be like a func uh surprisingly new also supports func"
345280,351520," right and basically these functions are going to be absolutely pure and they're going to be suitable"
351520,356960," for compile time evaluation or something like that but at the same time i don't see anything wrong"
356960,363520," with uh functions with side effect executing at compile time as well it could be useful at the"
363520,369440," at the build step right so when you're trying to compile the program it does some side effects"
369440,373680," maybe just gather some information on the file system and bakes that into the final executable"
373680,379360," there's nothing wrong with that so yeah you can you can also make procedures work at compile time"
379360,385120," anyway uh the question is what what funk means in terms of like in the context of new"
386960,389360," func keyword interesting"
389360,403760," special syntax to declare the semantic of a func keyword i suppose it means precisely what i meant"
403760,410000," right it's basically uh yeah but i mean it's just some sort of a discussion anyway whatever"
411040,419280," and if you're interested in uh i'm gonna put it in here new programming language oh speaking of new"
419280,425200," programming language by the way the tool that i used to zoom in uh and do this kind of effects and"
425200,435920," stuff like that is called boomer because it's zoomer application uh yeah so it's like it's called boomer"
435920,440240," right it's called boomer and the reason it's called boomer because it's a zoomer application for linux"
440240,450720," and it is written believe it or not uh uh in nim right it is written in nim so and if you're interested"
450720,457440," in in using this thing uh you can find it in here so i'm gonna put the boomer there we go so here it is"
459360,466160," so give it a star of course uh if you like this kind of application or smash like and subscribe"
466160,474080," um all right so what i was doing uh i think i wanted to introduce um if construction to the language right"
