start,end,text
160,6880," bro i hate how easy it is like what the excuse me it's literally go look at that it's literally go"
6880,12240," here i just accept connections and just do go client and pass it there and then the client is"
12240,18560," just like who needs go like it works and it's convenient and what the it's a"
18560,22960," almost 10 years old library think about it and it hasn't been updated much it's"
22960,29840," basically the development has stalled and it works just like go like what the"
30000,36000," all right so uh let's do another library review shall we i've got this interesting library which"
36000,45200," is called libmule uh and allegedly it is a library that introduces go style concurrency to c so here's"
45200,52960," they have a bunch of examples and yeah that that looks like that looks like go choose"
52960,59840," help wait wait how the did they implement that is that like a based on macros or something like that"
60000,66320," that so yeah let's take a look at that um i know nothing about this library right so somebody"
66320,71440," posted this library in the discord um uh in our discord server some time ago and i just put it in"
71440,78160," to-do list so uh this is the only thing i know about this library whatever is on the front page i haven't"
78160,83120," looked into this library before the stream right so because i wanted to be like a raw reaction i'm a"
83120,89280," library reaction streamer uh right so i wanted to be a raw a genuine reaction to this library so let's"
89280,108880," fucking go let's download this well i mean to be fair to be fair 2017 was probably the last good year"
109920,115760," uh it's it's been it's been a downhill since then that's how you know the library is probably good"
115760,122800," right so because they they realized that to 2017 was peak and there's no point in doing anything after"
122800,129760," that it's not gonna get better than that so they just stop honestly pro move i i fucking respect that"
129760,137360," so let's download this thing uh so let's go ahead and just like see what we have in here uh w gets and"
137360,142640," i'm going to just copy paste this stuff in here i should have probably created a separate folder for"
142640,150160," lib mill uh right so i'm going to put that stuff in here and unboxing experience let's do the unboxing"
150160,164880," there's something suss about 573"
164880,169120," there's something suss about 573"
172160,184160," um um oh it's it's are you serious you really served me html by such link"
184160,190160," so i really have to download it through a"
190160,194320," so i really have to download it through a little bit and i'm going to do it through a little bit"
194320,195440," and i'm going to go to"
195440,206720," all right let's do development i suppose uh oh there is a okay suss"
206720,211280," okay um"
214960,222480," four years ago i mean it's actually it's actually two four years ago was not 2017 that's for sure"
222480,229840," so it's kind of semi-active kind of semi-active is there any releases um so there are no any release"
229840,237520," releases yet there are some release tags but honestly fuck all of that choice let's actually uh you know"
237520,243280," grab the latest version right grab the latest version maybe the with the latest fixes and stuff like that"
243280,249040," so it is implemented primarily in c 91 c a little bit of a c plus plus but i'm pretty sure it's"
249040,255040," entirely in c right so because github is dumb because it's owned by microsoft right so they"
255040,259680," couldn't distinguish c and c plus plus and it's actually on par with microsoft brand they don't"
259680,264800," even have a c compiler msvc is a purely c plus plus they literally don't understand the difference"
264800,270320," between c and c plus plus like at all it's just like uh uh c slash c plus"
273120,277120," that that's literally microsoft when when it comes to developing like c and c plus plus compilers"
277120,282160," right so i'm not surprised that uh they think that there's a little bit of c plus plus in this library"
282160,287360," 10 years ago holy fucking shit anyway let's let's fucking clone that uh thousand commits uh maybe we're"
287360,293040," not gonna do a full deep throat clone let's do a shallow clone right so let's do a shallow clone"
293040,297920," we're gonna do clone and we're gonna set the depth to one uh right and hope for the best"
299040,304880," let's hope for the best okay so that was no that was all right and let's actually remove this garbage"
304880,312400," uh what do we have in here so we have auto again auto gen but we also have cmake look at that chat"
312400,321120," uh epol incorporated i have no idea what the is that um so well usually the files with ink are template"
321120,327120," files if you know what i mean so essentially ink files they're like include files but i don't really know"
329040,335360," this is the files that are used by the build system to then uh you know generate some other files"
335360,339920," right so they have some parameters and stuff like that so they're substituted by scripts and everything"
339920,346080," oh i think it's it's usually in not ink okay forget everything i said so let's actually build this"
346080,350560," entire thing so i'm going to create a build folder right this because this is how we use cmake"
350560,356800," uh i'm a professional cmake developer i know what i'm doing then you do cmake dot dot and uh it will just"
356800,362320," configure this entire thing uh duplication warning so that's the usual for cmake and that was wasn't"
362320,371200," that hard you know when cmake outputs only how many lines uh only 15 lines you start to question do you"
371200,379120," really need cmake my guy or are you just like doing that because of the reflexes or i i don't know like"
379120,386640," like look at that do you really need cmake uh like you're introducing problems for no actual good reason"
386640,391840," it's just like are you sure but anyway we're not not questioning that we're not questioning that so"
391840,396480," let's actually build this and i think with 16 threads this motherfucker is built"
396480,404400," uh why am i acting like it's my achievement right it's it's it's a laptop's achievement"
405760,413440," so it did some things um but honestly um honestly i think it would be better to actually install it"
413440,419200," somewhere the usual trick i like to do is to configure this entire thing with cmake install"
419200,423760," prefix right and still perfect is basically the folder where it's all going to be installed"
423760,430960," usually i like to install additional stuff into home opt uh lib new like this right so this is basically"
430960,435920," where i install all the open source stuff i don't like to install it system-wide right so especially"
435920,440080," when i'm experimenting so i just installed for for the current user right so this is going to be the"
440080,445840," prefix right so then i'm going to rebuild it one more time with the 16 threads uh okay prefix didn't"
445840,451360," affect any of the source code but now if i do make install uh right if i do make install it will"
451360,456320," install all of that into the opt home folder and stuff like that so that's basically the final"
