start,end,text
0,10960," All right, it looks like we're live. Hello, everyone, and welcome to another"
10960,18660," Zozin session. How about that? How about that? So let's make a little bit of an announcement"
18660,26840," as a famous champion said. So we're gonna do that on our discord server. Hello, hello,"
26840,33760," everyone. Hello, to the prime. Hello, lazy 008 epic pics by your bird. Hello, hello. So we're"
33760,41060," gonna say red circle live on Twitch. And we're gonna say what we're doing today, we are developing"
41060,46660," a compiler today, but we're developing the compiler in a very special language called Python, right,"
46660,51560," we're developing a compiler in Python. So I'm going to give the link to the channel. So it's"
51560,59820," a twitch. Yeah, it's a twitch.tv/todding. And we're going to ping everyone who wants to"
59820,67400," be pinged. There we go. So we made a little bit of an announcement. All right. Hello, hello,"
67400,73280," everyone. Hello, Hamikovi. Hello, to the prime. I think I already said hello to you. So today,"
73280,79440," we're developing our programming language called port. It's basically like fourth, but in Python,"
79440,83900," you can find the source code of this language in the description if you're watching on YouTube,"
83900,91080," or you can find it in the chat if you're watching live right now. So and today, we're going to"
91080,98200," be solving a very specific problem that I encountered in my language, right, very specific one. And"
98200,103520," if we manage to solve that problem by the end of the stream, I'm going to call this stream as success."
103520,114800," Hello, extra big Chungus. Hello, I zero zero, Ellen, Zebis Naga three. Hello, hello, welcome, welcome, welcome."
114800,122340," So let me show you the specific problem that we're solving at today. Right. So we already started to develop the"
122340,128260," compiler in itself, right? So one of the goals of the of the development was that we're going to implement"
128260,134820," it in Python. And then once the language mature enough, we're going to implement it in itself. And as you can"
134820,140340," see, we have two files in here. The first one is Python dot by the original implementation of port. And the"
140340,147140," second one is port dot port, the implementation written in itself. Right. And it's currently in"
147140,152500," progress. It's not as big as the Python one, as you can see, you can compare the sizes. So we're getting"
152500,158900," closer to actually being able to compile the language with itself. And there's a lot of things in here,"
158900,164020," right? There's all the things in here, as you can see, we generate assembly and whatnot. And one of the"
164020,171460," problems that I have with this language right now is going to be super apparent if I try to compile a"
171460,180500," port port port dot port with port dot pi. Do you notice anything?"
193140,199460," Python is not slow, by the way. So I think it takes like 18 seconds. If I'm not mistaken, let's actually see."
199460,208820," Here as a person says on OMG, my first time watching you live. Yeah, you're watching me live. I can respond"
208820,216980," to your messages. Especially if you subscribe, wink, wink. I'm just joking, you don't have to. All right. So yeah,"
216980,222260," it's it's around 18 seconds, right? You can actually make it a little bit faster by using pipe"
222260,227460," pipe. But it's not going to be that much faster, I think. I don't think it's going to be that much"
227460,234420," faster. Yeah, it's it's actually faster. It's actually like twice as fast, maybe like more than"
234420,242820," twice as fast. But six seconds for such a simple thing is just like it's too much. C compilers can"
242820,250020," compile way more code with within a second within milliseconds. There's something wrong is going on in"
250020,260340," here. Probably I'm using lists instead of deck. Python is not slow. I'm just using the wrong data structure."
260340,265220," That's what's going on in here. Of course, yes, I keep forgetting about that. I'm just using the wrong"
265220,273460," data structure. So my hypothesis, which is actually true, by the way, because I confirmed it, is that the"
273460,280980," type checking process is slow. You can confirm that hypothesis by just taking this entire thing, right?"
280980,286580," And disable the type checking, right? So one of the things that language does, it actually checks"
286580,295140," that you don't put too much in this. Actually, you don't underflow the stack. And you don't mix up some"
295140,300340," of the types because different operations accept different types. And you don't want to mix them up to"
300340,306500," produce like some sort of undefined behavior. So we do some like rudimentary checks to avoid that."
306500,313460," And if you disable these kind of checks, it compiles faster than if you used PyPy, right? You see,"
313460,320740," I'm using CPython. I disabled the type checking and it compiles like within like it compiles way faster"
320740,329380," if you would use PyPy, right? So obviously, the bottleneck in this entire thing is the type checking."
329380,337860," So once we identify that, we need to understand what exactly is wrong with the type checking. So we need"
337860,344820," to understand how the type checking actually works, right? So here's the thing. I already did like a couple"
344820,352660," of streams on how type checking works. And we even implemented like type checking life. So if I go into"
352660,358580," the into the YouTube channel, by the way, if you're watching life, you can find the, you know, this thing"
358580,364180," in here. So here is the YouTube channel. If you're watching on YouTube, obviously, you know where you are."
364980,369620," All right, so there was a couple of streams where we were implementing the type system. So here's the"
369620,377540," episode 15 and episode 16 static type checking and advanced type checking. So I'm gonna actually link"
377540,386420," both of these things in the description. So this is going to be static type checking episode. There we go."
386420,395860," And advanced type checking episode. Right. So advanced one is this one, I'm going to copy paste this entire"
395860,401940," thing in here. All right. And for people who's watching live, I'm going to actually copy these two"
401940,407460," links right now in the chat. So you can put them into your two to watchlist if you want to, of course."
407460,416180," Right. And here's the thing. After the streams, I kind of fundamentally changed the way the type"
416180,422100," checking works in PORTH. And I did it off screen is because I needed that change because the original"
422100,428660," type checking implementation was kind of poopoo. Right. So I fixed it, but I didn't stream the fix"
428660,433940," because I thought because I thought that nobody would care. Apparently, there is a lot of people who"
433940,441060," actively play with the current implementation of PORTH and just experiment with it and just do different"
441060,448420," things. And they do care about how the all these things work. So and I recently received the email"
448420,454420," asking about how exactly that checking works. And I decided that I think I need to explain how it"
454420,463940," currently works. So the way it currently works is that we implement a BFS of the control flow execution."
464500,473860," So what is BFS? It's a graph algorithm. It's a graph algorithm that allows you to sort of like take a"
473860,484340," graph and just send a wave like in that graph. And the way sending that wave is actually one of the"
484340,491700," efficient ways to, for example, compute the shortest path between two points in the graph. And especially if"
491700,496820," you don't have any weights on the edges, right, if you have like weights on the edges, like just a"
496820,500900," simple BFS is not going to cut it, you will need something like the extra algorithm. But that's the"
500900,505700," details. Right. So and usually this is how it looks like, right? As you can see, you send in a wave and"
505700,511940," the wave just traverses through the entire graph. So we're doing something similar with the type checking."
511940,518980," So let me actually put the link to BFS article in here just in case you're interested and you want to read"
518980,526900," about that. Right. So essentially, how type checking fundamentally works, right? How does it work"
526900,534740," fundamentally? You have something like this, you have this simple program, right? So this program pushes 34"
534740,541780," on the stack, then 35 on the stack, then takes these two numbers on the top of the stack, sums them up and"
541780,546980," pushes the result back on the top of the stack, print, prints whatever you have at the top of the stack to"
546980,551540," the standard output and removes that from the stack. It's a very simple program, it just sums up two"
551540,557140," numbers and prints the results. So let's actually save this program. Let's actually do something like"
557140,565220," some let's call it nice. It's a nice program. So forth, there we go. Something weird has happened,"
565220,572740," maybe I have to actually rewrite it. Plus print. And there we go. So we have a nice program. And if you try to"
572740,582980," compile this and I think here is nice. There we go, it was compiled. And if I run this program, it says 69,"
582980,591140," as you can see, right. So it says 69. If I for instance, don't provide one number, right, I don't"
591140,597940," provide 35. And I will try to compile this program, it will not compile because it says not enough arguments for"
597940,606260," the plus operation, right? It is not enough arguments for the plus operation. So and the way it works,"
606260,612260," the type checking essentially performs something that I would personally call meta evaluation, right?"
612260,618500," It's not like an actual evaluation. It's like a meta evaluation. So essentially, it will go through"
618500,625700," all the operations and do them at compile time. But instead of pushing numbers, it will push types on the stack."
625700,634820," So instead of the stack of values, it has a stack of types, right? So and it encounters 34, it pushes"
634820,644500," integer on the stack. So now on the stack, you have integer, then it encounters 35, it pushes integer on"
644500,652420," the stack that in encounters a plus, and it knows that plus accepts two integers and returns an integer. So it"
652420,659460," takes these two types from the stack and pushes integer back. So print doesn't care about the type, it just"
659460,664740," removes that type from the stack. And there we go. At the end of the execution, we have an empty stack,"
664740,670260," we didn't perform any side effects, but we just checked that all of the types add up. And there's one"
670260,674820," of the requirement of our program that at the end of the execution, you don't have to have anything on the"
674820,681780," stack, you have to handle everything. Right? So for instance, if you don't print the value, right,"
681780,686660," your program also is not going compile because you have unhandled data on the stack, right? You see,"
686660,692420," you have one single integer on the stack. So first thing you have to do, like the last thing you have"
692420,697300," to do in your program, you either have to drop it, remove it completely from the stack. In that case,"
697300,702980," the program is kind of useless, or you can print that thing. In that case, it will do something useful."
702980,710100," So this is how our type checking fundamentally works, right? It maintains this like stack of types."
710100,718980," Okay, the thing gets very interesting when you go into the business of conditions in loops, right? How do"
718980,725060," you check conditions, right? So for instance, I want to check that this sum is equal to 69. This is how I"
725060,736420," do that. I'm sorry. I've been programming in Go off screen. So my reflexes actually didn't adjust yet."
736420,745060," So I still have a reflexes that after if I have to press curly braces and stuff like that. So yeah. So if"
745060,752100," it is equal to 69, we have to print something like we have to print nice, right? Let's actually print"
752100,758580," nice. And to be able to print things, we need to include the standard library. Otherwise, we're going"
758580,766420," to print not nice. There we go. So how can you even check something like this? Well, obviously,"
766420,772900," this program will compile and it will run. As you can see, it says nice. It doesn't print the new line"
772900,779060," for some reason. Let's actually put a new line. And if you, for instance, modify the center, I think it"
779060,784020," will say that this thing is not nice, right? Depending on this condition, it just prints two different"
784020,792340," things, right? And for instance, it's quite easy to leave something on the stack, right? So for instance,"
792340,799620," if you go to true and put some extra garbage on the stack, and this condition is true, you will have"
799620,806340," unhandled data on the stack. And if you go here, you won't have unhandled data on the stack. So how can"
806340,811300," we even type check that because we don't know what compile time whether it's true or not? Well, in this"
811300,816820," case, we can know whether it's true or not, because all of the values are known at compile time. But what"
816820,823380," if for instance, we don't write so we have an arc C, which returns how many command line arguments the"
823380,829700," user provided at runtime, and we're comparing it to something, right? So we're comparing it to 69. So"
829700,836820," compiler have no idea what the user is going to provide. So it has no opportunity to check whether"
836820,841700," it is going to be true or not. So it doesn't know. So it's whether going to have unhandled data at the"
841700,848580," end of the execution or it won't, right? How do you possibly check that at compile time, right? But"
848580,854500," what's interesting is that it will check that, right? It will tell you that you haven't handled data at"
854500,858580," the end of the stack. And that data was introduced in here, right? But what's interesting is that"
858580,866980," if you try to drop that data, you have you creating like a very interesting situation, right? What if the"
866980,874260," execution went into else, in that case, drop will not have any operation, right? There's uncertainty"
874260,880500," here, drop will be correct only if this thing is true, and incorrect, if it's false, and this thing"
880500,886660," goes into this execution, does it make any sense? Right? So it's kind of uncertain, how do you check for"
886660,891460," this kind of stuff. But what's interesting is that our compiler will check for that, right? So it will say"
891460,898020," that not enough arguments for the drop. So for this program to compile, both of the branches"
898020,903140," have to provide some value, both of them have to provide some value, and only then this will compile,"
903140,909700," because in both of the branches, drop has something to drop, and drop has something to print, right?"
909700,915460," For instance, here, we're going to have something like this. Unfortunately, I cannot, it's kind of difficult"
915460,923380," to provide 69 arguments for the program to actually confirm. Let's actually provide like a check for"
923380,928740," two of them, right? In that case, I only have to provide like one thing. ""Foo"", and as you can see,"
928740,934100," it says ""nice"", and if I don't provide ""Foo"", it says ""not nice"" for 20. So the question is, how does it"
934100,941860," check this really complicated, you know, uncertain situations, right? And the shed goes even more"
941860,947380," complicated when you have a chain things, right? Because you can chain ifs, you can have another"
947380,953780," condition in here, like this, and you can have another condition in another condition, and you need to check"
953780,958980," all of the branches, and the shed goes crazy. Like, how do you check all these things? What about while"
959700,964500," while loops, right? What about while loops with ifs and stuff like that? You just like have a shed ton of"
964500,973380," branching? Well, here's the answer. This is where BFFs comes in. So essentially, every time the meta evaluator"
973380,985860," encounters if, it splits the stack in two, right? So essentially, it splits the stack in two, you have two"
985860,994900," copies of the stack, and then it continues meta evaluation in true and false branch simultaneously."
994900,1004980," Simultaneously. So in if any of the branches, it finds a mistake, or some like inconsistency, it basically"
1004980,1012340," breaks the the compilation. So this is how it works. Every time it encounters ifs, it splits execution and"
1012340,1017620," continues like checking things. And in the code itself, right, in the code itself,"
1017620,1025860," port.py. So we have a function called type check program, type check program. And then here we have"
1025860,1031540," a list of contexts. And this is by the way, the reason why the program is so slow, because I'm using list of"
1031540,1038420," contexts instead of the deck of the context. If I used deck of the contents, this program, this entire"
1038420,1046020," program would have been faster than if it was written in C. Right. So that's the actual bottleneck in here,"
1046020,1051300," right? You see that, that's the real bottleneck. Anyway, I digress. So the context is basically the"
1051300,1057220," context of meta evaluation. And within the context of meta evaluation, we have the current data stack,"
1057220,1063140," right, the stack of types, the return stack, and return stack is very important for handling procedures,"
1063140,1069380," right. Because when you go inside of the procedure, and then you reach the end of the procedure, you have"
1069380,1075140," to return back to where you actually called it. So that's why we maintain the return stack in here."
1075140,1081140," And IP stands for instruction pointer. It's not internet protocol, it's instruction pointer,"
1081140,1086740," and points at the current instruction that you currently execute. So as you can see, we have a list of contexts,"
