start,end,text
0,5260," Hello everyone and welcome to yet another recreational programming session. So in the"
5260,12040," previous stream we tried this very interesting language called C3 and after trying this language"
12040,17460," I've noticed a very interesting thing. On all of the social media and all of the comment section"
17460,23540," a lot of people came in and started asking me like I don't see any point using this weird"
23540,28060," programming language. It's pretty cool and stuff but I don't see any point using this language"
28060,34940," because there is zig. Zig covers all of the cases of this language and you know what it's a good sign"
34940,40060," that we must continue programming in this language and this is exactly what we're going to be doing"
40060,44820," today. We're going to continue programming in this language specifically to annoy more zig."
44820,50140," But anyway so the actual reason why I wanted to continue programming today is because"
50140,57220," on the previous stream we couldn't figure out how to do WASM programming in this language"
57220,63640," and the developer the creator of this language actually fixed FIQ and they provided a simple"
63640,67780," example on how to do that specifically for us. So apparently they actually watched that"
67780,74700," and they tweeted on Twitter that they liked my stream and so yeah it's actually pretty cool."
74700,83600," I really apologize for being sometimes like overly sarcastic about things but I actually enjoyed the"
83600,89140," the language right so it's just like me sometimes I can't control myself sometimes I'm just like"
89140,95580," automatically being sarcastic about things right just to cope with you know with the reality."
95580,102160," So anyway yeah so they provided actually a very good example on how to compile things so you have to enable"
102160,110400," a bunch of flags right so let's actually go ahead and try to do that. So we already have a hello world which is basically"
110400,116820," using the raylib and stuff like that so maybe I'm gonna create webc3 right so this is going to be webc3"
116820,123120," right so this is going to be webc3 and let's basically maybe create like a function which adds two numbers together"
123120,133320," right so it's going to be at int x in int y right so and I suppose what we're going to do in here we're going to just return x plus y"
133320,140000," right so I just want to compile this thing to wasm so the way you're supposed to do that the way you're supposed to do that"
140000,147620," so let's go ahead and do that so c3c I'm not sure if you can see that I think I it would be better to maybe"
147620,151580," copy paste it somewhere here so you can see the command line that we have in here"
151580,158380," okay so the first thing is relog none I have no idea what that is and I wonder if I can maybe there is a"
158380,164420," documentation for this kind of stuff so let's actually do compile maybe help is it going to tell us anything"
164420,174000," so yeah so relog so relocating model oh oh okay so it's a you know position independent code and stuff"
174000,180180," like that so there's a small position independent code and there's a big position independent code"
180180,188780," right so there's a small pi and a big pi I wonder what's the what's the difference between them or"
188780,196780," maybe they are aliases but it is actually um small peak and big yes a small peak energy and a big peak"
196780,205600," energy um so I don't remember I think pi stands for position independent uh so c I suppose is code"
205600,213440," and e is maybe execution is there any difference between peak and pi uh I'm not a programmer I don't"
213440,221000," really know right so but anyway so relocation model is supposed to be known known in this case um so"
221000,226460," the next thing we have to do we have to set the target to wasn't 30 32 we already did that but that"
226460,234080," was not particularly helpful so then you have to do g zero I suspect minus g means the same thing it"
234080,239620," means in clang gcc and stuff like that it basically debug information and we're probably disabling the"
239620,247300," debug information that's just my hypothesis uh yeah so emit no debug information emit debug info emit no"
247300,256040," debug info okay so this is what we needed don't link with libc don't link with libc and also don't expect"
256140,260760," any entry right so I don't remember what was the problem exactly but I think the main problem was"
