start,end,text
0,29980," Let's get started."
30000,59980," Let's get started."
60000,89980," Let's get started."
90000,119980," Let's get started."
119980,149960," Let's get started."
149980,179960," Let's get started."
179960,209940," Let's get started."
209940,239920," Let's get started."
239920,269900," Let's get started."
269900,299880," Let's get started."
299880,329860," Let's get started."
329860,359840," Let's get started."
359840,389820," Let's get started."
389820,419800," Let's get started."
419800,449780," Let's get started."
449780,479760," Let's get started."
479760,509740," Let's get started."
509740,539720," Let's get started."
539720,569700," Let's get started."
569700,599680," Let's get started."
599680,629660," Let's get started."
629660,659640," Let's get started."
659640,689620," Let's get started."
689620,719600," Let's get started."
719600,749580," Let's get started."
749580,779560," Let's get started."
779580,809560," Let's get started."
809580,839560," Let's get started."
839560,869540," Let's get started."
869540,899520," Let's get started."
899520,929500," Let's get started."
929500,959480," Let's get started."
959480,989460," Let's get started."
989460,1019440," Let's get started."
1019440,1049420," Let's get started."
1049420,1079400," Let's get started."
1079400,1109380," Let's get started."
1109380,1139360," Let's get started."
1139360,1169340," Let's get started."
1169340,1199320," Let's get started."
1199320,1229300," Let's get started."
1229300,1259280," Let's get started."
1259280,1289260," Let's get started."
1289260,1319240," Let's get started."
1319240,1349220," Let's get started."
1349220,1379200," Let's get started."
1379200,1409180," Let's get started."
1409180,1439160," Let's get started."
1439160,1469140," Let's get started."
1469140,1499120," Let's get started."
1499120,1529100," Let's get started."
1529100,1559080," Let's get started."
1559080,1589060," Let's get started."
1589060,1619040," Let's get started."
1619040,1649020," Let's get started."
1649020,1679000," Let's get started."
1679000,1708980," Let's get started."
1708980,1738960," Let's get started."
1738960,1768940," Let's get started."
1768940,1798920," Let's get started."
1798920,1828900," Let's get started."
1828900,1858880," Let's get started."
1858880,1888860," Let's get started."
1888860,1918840," Let's get started."
1918840,1948820," Let's get started."
1948820,1978800," Let's get started."
1978800,2008780," Let's get started."
2008780,2038760," Let's call it."
2038760,2068740," Let's get started."
2068740,2098720," Let's get started."
2098720,2128700," Let's get started."
2128700,2158680," Let's get started."
2158680,2188660," Let's get started."
2188660,2218640," Let's get started."
2218640,2248620," Let's get started."
2248620,2278600," Let's get started."
2278600,2308580," Let's get started."
2308580,2338560," Let's get started."
2338560,2368540," Let's get started."
2368540,2398520," Let's get started."
2398520,2428500," Let's get started."
2428500,2458480," Let's get started."
2458480,2488460," Let's get started."
2488460,2518440," Let's get started."
2518440,2548420," Let's get started."
2548420,2578400," Let's get started."
2578400,2608380," Let's get started."
2608380,2638360," Let's get started."
2638360,2668340," Let's get started."
2668340,2698320," Let's get started."
2698320,2728300," Let's get started."
2728300,2758280," Let's get started."
2758280,2788260," Let's get started."
2788260,2818240," Let's get started."
2818240,2848220," Let's get started."
2848220,2878200," Let's get started."
2878200,2908180," Let's get started."
2908180,2938160," Let's get started."
2938160,2968140," let's get started."
2968140,2998120," Let's get started."
2998120,3028100," Let's get started."
3028100,3058080," Let's get started."
3058080,3088060," Let's get started."
3088060,3118040," Let's get started."
3118040,3148020," Let's get started."
3148020,3178000," Let's get started."
3178000,3207980," Let's get started."
3207980,3237960," Let's get started."
3237960,3267940," Let's get started."
3267940,3297920," Let's get started."
3297920,3327900," Let's get started."
3327900,3357880," Let's get started."
3357880,3387860," Let's get started."
3387860,3417840," Let's get started."
3417840,3447820," Let's get started."
3447820,3477800," Let's get started."
3477800,3507780," Let's get started."
3507780,3537760," Let's get started."
3537760,3567740," Let's get started."
3567740,3597720," Let's get started."
3597720,3627700," Let's get started."
3627700,3657680," Let's get started."
3657680,3687660," Let's get started."
3687660,3717640," Let's get started."
3717640,3747620," Let's get started."
3747620,3777600," Let's get started."
3777600,3807580," Let's get started."
3807580,3837560," Let's get started."
3837560,3867540," Let's get started."
3867540,3897520," Let's get started."
3897520,3927500," Let's get started."
3927500,3957480," Let's get started."
3957480,3987460," Let's get started."
3987460,4017440," Let's get started."
4017440,4047420," Let's get started."
4047420,4077400," Let's get started."
4077400,4107380," Let's get started."
4107380,4137360," Let's get started."
4137360,4167340," Let's get started."
4167340,4197320," Let's get started."
4197320,4227300," Let's get started."
4227300,4257280," Let's get started."
4257280,4287260," Let's get started."
4287260,4317240," Let's get started."
4317240,4347220," Let's get started."
4347220,4377200," Let's get started."
4377200,4407180," Let's get started."
4407180,4437160," Let's get started."
4437160,4467140," Let's get started."
4467140,4497120," Let's get started."
4497120,4527100," Let's get started."
4527100,4557080," Let's get started."
4557080,4587060," Let's get started."
4587060,4617040," Let's get started."
4617040,4647020," Let's get started."
4647020,4677000," Let's get started."
4677000,4706980," Let's get started."
4706980,4736960," Let's get started."
4736960,4766940," Let's get started."
4766940,4796920," Let's get started."
4796920,4826900," Let's get started."
4826900,4856880," Let's get started."
4856880,4886860," Let's get started."
4886860,4916840," Let's get started."
4916840,4946820," Let's get started."
4946820,4976800," Let's get started."
4976800,5006780," Let's get started."
5006780,5036760," Let's get started."
5036760,5066740," Let's get started."
5066740,5096720," Let's get started."
5096720,5126700," Let's get started."
5126700,5156680," Let's get started."
5156680,5186660," Let's get started."
5186660,5216640," Let's get started."
5216640,5246620," Let's get started."
5246620,5276600," Let's get started."
5276600,5306580," Let's get started."
5306580,5336560," Let's get started."
5336560,5366540," Let's get started."
5366540,5396520," Let's get started."
5396520,5426500," Let's get started."
5426500,5456480," Let's get started."
5456480,5486460," Let's get started."
5486460,5516440," Let's get started."
5516440,5546420," Let's get started."
5546420,5576400," Let's get started."
5576400,5606380," Let's get started."
5606380,5636360," Let's get started."
5636360,5666340," Let's get started."
5666340,5696320," Let's get started."
5696320,5726300," Let's get started."
5726300,5756280," Let's get started."
5756280,5786260," Let's get started."
5786260,5816240," Let's get started."
5816240,5846220," Let's get started."
5846220,5876200," Let's get started."
5876200,5906180," Let's get started."
5906180,5936160," Let's get started."
5936160,5966140," Let's get started."
5966140,5996120," Let's get started."
5996120,6026100," Let's get started."
6026100,6056080," Let's get started."
6056080,6086060," Let's get started."
6086060,6116040," Let's get started."
6116040,6146020," Let's get started."
6146020,6176000," Let's get started."
6176000,6205980," Let's get started."
6205980,6235960," Let's get started."
6235960,6265940," Let's get started."
6265940,6295920," let's get started."
6295920,6325900," Let's get started."
6325900,6355880," Let's get started."
6355880,6385860," Let's get started."
6385860,6415840," Let's get started."
6415840,6445820," Let's get started."
6445820,6475800," Let's get started."
6475800,6505780," Let's get started."
6505780,6535760," Let's get started."
6535760,6565740," Let's get started."
6565740,6595720," Let's get started."
6595720,6625700," Let's get started."
6625700,6655680," Let's get started."
6655680,6685660," Let's get started."
6685660,6715640," Let's get started."
6715640,6745620," Let's get started."
6745620,6775600," Let's get started."
6775600,6805580," Let's get started."
6805580,6835560," Let's get started."
6835560,6865540," Let's get started."
6865540,6895520," Let's get started."
6895520,6925500," Let's get started."
6925500,6955480," let's get started."
6955480,6985460," Let's get started."
6985460,7015440," Let's get started."
7015440,7045420," Let's get started."
7045420,7075400," Let's get started."
7075400,7105380," Let's get started."
7105380,7135360," Let's get started."
7135360,7165340," Let's get started."
7165340,7195320," Let's get started."
7195320,7225300," Let's get started."
7225300,7255280," Let's get started."
7255280,7285260," Let's get started."
7285260,7315240," Let's get started."
7315240,7345220," Let's get started."
7345220,7375200," Let's get started."
7375200,7405180," Let's get started."
7405180,7435160," Let's get started."
7435160,7465140," Let's get started."
7465140,7495120," Let's get started."
7495120,7525100," Let's get started."
7525100,7555080," Let's get started."
7555080,7585060," Let's get started."
7585060,7615040," let's get started."
7615040,7645020," Let's get started."
7645020,7675000," Let's get started."
7675000,7704980," Let's get started."
7704980,7734960," Let's get started."
7734960,7764940," Let's get started."
7764940,7794920," Let's get started."
7794920,7824900," Let's get started."
7824900,7854880," Let's get started."
7854880,7884860," Let's get started."
7884860,7914840," Let's get started."
7914840,7944820," Let's get started."
7944820,7974800," Let's get started."
7974800,8004780," Let's get started."
8004780,8034760," Let's get started."
8034760,8064740," Let's get started."
8064740,8094720," Let's get started."
8094720,8124700," Let's get started."
8124700,8154680," Let's get started."
8154680,8184660," Let's get started."
8184660,8214640," Let's get started."
8214640,8244620," Let's get started."
8244620,8274600," Let's get started."
8274600,8304580," Let's get started."
8304580,8334560," Let's get started."
8334560,8364540," Let's get started."
8364540,8394520," Let's get started."
8394520,8424500," Let's get started."
8424500,8454480," Let's get started."
8454480,8484460," Let's get started."
8484460,8514440," Let's get started."
8514440,8544420," Let's get started."
8544420,8574400," Let's get started."
8574400,8604380," Let's get started."
8604380,8634360," Let's get started."
8634360,8664340," Let's get started."
8664340,8694320," Let's get started."
8694320,8724300," Let's get started."
8724300,8754280," Let's get started."
8754280,8784260," Let's get started."
8784260,8814240," Let's get started."
8814240,8844220," Let's get started."
8844220,8874200," Let's get started."
8874200,8904180," Let's get started."
8904180,8934160," Let's get started."
8934160,8964140," Let's get started."
8964140,8994120," Let's get started."
8994120,9024100," Let's get started."
9024100,9054080," Let's get started."
9054080,9084060," Let's get started."
9084060,9114040," Let's get started."
9114040,9144020," Let's get started."
9144020,9174000," Let's get started."
9174000,9203980," Let's get started."
9203980,9233960," Let's get started."
9233960,9263940," Let's get started."
9263940,9293920," Let's get started."
9293920,9323900," Let's get started."
9323900,9353880," Let's get started."
9353880,9383860," Let's get started."
9383860,9413840," Let's get started."
9413840,9443820," Let's get started."
9443820,9473800," Let's get started."
9473800,9503780," Let's get started."
9503780,9533760," Let's get started."
9533760,9563740," Let's get started."
9563740,9593720," Let's get started."
9593720,9623700," Let's get started."
9623700,9653680," Let's get started."
9653680,9683660," Let's get started."
9683660,9713640," Let's get started."
9713640,9743620," Let's get started."
9743620,9773600," Let's get started."
9773600,9803580," Let's get started."
9803580,9833560," Let's get started."
9833560,9863540," Let's get started."
9863540,9893520," Let's get started."
9893520,9923500," Let's get started."
9923500,9953480," Let's get started."
9953480,9983460," Let's get started."
9983460,10013440," Let's get started."
10013440,10043420," Let's get started."
10043420,10073400," Let's get started."
10073400,10103380," Let's get started."
10103380,10133360," Let's get started."
10133360,10163340," Let's get started."
10163340,10193320," Let's get started."
10193320,10223300," Let's get started."
10223300,10253280," Let's get started."
10253280,10283260," Let's get started."
10283260,10313240," Let's get started."
10313240,10343220," Let's get started."
10343220,10373200," Let's get started."
10373200,10403180," Let's get started."
10403180,10433160," Let's get started."
10433160,10463140," Let's get started."
10463140,10493120," Let's get started."
10493120,10523100," Let's get started."
10523100,10553080," Let's get started."
10553080,10583060," Let's get started."
10583060,10613040," Let's get started."
10613040,10643020," Let's get started."
10643020,10673000," Let's get started."
10673000,10702980," Let's get started."
10702980,10732960," Let's get started."
10732960,10762940," Let's get started."
10762940,10792920," Let's get started."
10792920,10822900," Let's get started."
10822900,10852880," Let's get started."
10852880,10882860," Let's get started."
10882860,10912840," Let's get started."
10912840,10942820," Let's get started."
10942820,10972800," Let's get started."
10972800,11002780," Let's get started."
11002780,11032760," Let's get started."
11032760,11062740," Let's get started."
11062740,11092720," Let's get started."
11092720,11122700," Let's get started."
11122700,11152680," Let's get started."
11152680,11182660," Let's get started."
11182660,11212640," Let's get started."
11212640,11242620," Let's get started."
11242620,11272600," Let's get started."
11272600,11302580," Let's get started."
11302580,11332560," Let's get started."
11332560,11362540," Let's get started."
11362540,11392520," Let's get started."
11392520,11422500," Let's get started."
11422500,11452480," Let's get started."
11452480,11482460," Let's get started."
11482460,11512440," Let's get started."
11512440,11542420," Let's get started."
11542420,11572400," Let's get started."
11572400,11602380," Let's get started."
11602380,11632360," Let's get started."
11632360,11662340," Let's get started."
11662340,11692320," Let's get started."
11692320,11722300," Let's get started."
11722300,11752280," Let's get started."
11752280,11782260," Let's get started."
11782260,11812240," Let's get started."
11812240,11842220," Let's get started."
11842220,11872200," Let's get started."
11872200,11902180," Let's get started."
11902180,11932160," Let's get started."
11932160,11962140," Let's get started."
11962140,11992120," Let's get started."
11992120,12022100," Let's get started."
12022100,12052080," Let's get started."
12052080,12082060," Let's get started."
12082060,12112040," Let's get started."
12112040,12142020," Let's get started."
12142020,12172000," Let's get started."
12172000,12201980," Let's get started."
12201980,12231960," Let's get started."
12231960,12261940," Let's get started."
12261940,12291920," Let's get started."
12291920,12321900," Let's get started."
12321900,12351880," Let's get started."
12351880,12381860," Let's get started."
12381860,12411840," Let's call it."
12411840,12441820," Let's get started."
12441820,12471800," Let's get started."
12471800,12501780," Let's get started."
12501780,12531760," Let's get started."
12531760,12561740," Let's get started."
12561740,12591720," Let's get started."
12591720,12621700," Let's get started."
12621700,12651680," Let's get started."
12651680,12681660," Let's get started."
12681660,12711640," Let's get started."
12711640,12741620," Let's get started."
12741620,12771600," Let's get started."
12771600,12801580," Let's get started."
12801580,12831560," Let's get started."
12831560,12861540," Let's get started."
12861540,12891520," Let's get started."
12891520,12921500," Let's get started."
12921500,12951480," Let's get started."
12951480,12981460," Let's get started."
12981460,13011440," Let's get started."
13011440,13041420," Let's get started."
13041420,13071400," let's get started."
13071400,13101380," Let's get started."
13101380,13131360," Let's get started."
13131360,13161340," Let's get started."
13161340,13191320," Let's get started."
13191320,13221300," Let's get started."
13221300,13251280," Let's get started."
13251280,13281260," Let's get started."
13281260,13311240," Let's get started."
13311240,13341220," Let's get started."
13341220,13371200," Let's get started."
13371200,13401180," Let's get started."
13401180,13431160," Let's get started."
13431160,13461140," Let's get started."
13461140,13491120," Let's get started."
13491120,13521100," Let's get started."
13521100,13551080," Let's get started."
13551080,13581060," Let's get started."
13581060,13611040," Let's get started."
13611040,13641020," Let's get started."
13641020,13671000," Let's get started."
13671000,13700980," Let's get started."
13700980,13730960," Let's get started."
13730960,13760940," Let's get started."
13760940,13790920," Let's get started."
13790920,13820900," Let's get started."
13820900,13850880," Let's get started."
13850880,13880860," Let's get started."
13880860,13910840," Let's get started."
13910840,13940820," Let's get started."
13940820,13970800," Let's get started."
13970800,14000780," Let's get started."
14000780,14030760," Let's get started."
14030760,14060740," Let's get started."
14060740,14090720," Let's get started."
14090720,14120700," Let's get started."
14120700,14150680," Let's get started."
14150680,14180660," Let's get started."
14180660,14210640," Let's get started."
14210640,14240620," Let's get started."
14240620,14270600," Let's get started."
14270600,14300580," Let's get started."
14300580,14330560," Let's get started."
14330560,14360540," Let's get started."
14360540,14390520," Let's get started."
14390520,14420500," Let's get started."
14420500,14450480," Let's get started."
14450480,14480460," Let's get started."
14480460,14510440," Let's get started."
14510440,14540420," Let's get started."
14540420,14570400," Let's get started."
14570400,14600380," Let's get started."
14600380,14630360," Let's get started."
14630360,14660340," Let's get started."
14660340,14690320," Let's get started."
14690320,14720300," Let's get started."
14720300,14750280," Let's get started."
14750280,14780260," Let's get started."
14780260,14810240," Let's get started."
14810240,14840220," Let's get started."
14840220,14870200," Let's get started."
14870200,14900180," Let's get started."
14900180,14930160," Let's get started."
14930160,14960140," Let's get started."
14960140,14990120," Let's get started."
14990120,15020100," Let's get started."
15020100,15050080," Let's get started."
15050080,15080060," Let's get started."
15080060,15110040," Let's get started."
15110040,15140020," Let's get started."
15140020,15170000," Let's get started."
15170000,15199980," Let's get started."
15199980,15229960," Let's get started."
15229960,15259940," Let's get started."
15259940,15289920," Let's get started."
15289920,15319900," Let's get started."
15319900,15349880," Let's get started."
15349880,15379860," Let's get started."
15379860,15409840," Let's get started."
15409840,15439820," Let's get started."
15439820,15469800," Let's get started."
15469800,15499780," Let's get started."
15499780,15529760," Let's get started."
15529760,15559740," Let's get started."
15559740,15589720," Let's get started."
15589720,15619700," Let's get started."
15619700,15649680," Let's get started."
15649680,15679660," let's get started."
15679660,15709640," Let's get started."
15709640,15739620," Let's get started."
15739620,15769600," Let's get started."
15769600,15799580," Let's get started."
15799580,15829560," Let's get started."
15829560,15859540," Let's get started."
15859540,15889520," Let's get started."
15889520,15919500," Let's get started."
15919500,15949480," Let's get started."
15949480,15979460," Let's get started."
15979460,16009440," Let's get started."
16009440,16039420," Let's get started."
16039420,16069400," Let's get started."
16069400,16099380," Let's get started."
16099380,16129360," Let's get started."
16129360,16159340," Let's get started."
16159340,16189320," Let's get started."
16189320,16219300," Let's get started."
16219300,16249280," Let's get started."
