start,end,text
640,6800," looks like we're live hello everyone and welcome to yet another recreational programming session"
6800,12160," with a mr zozin who's dying let's make a little bit of an announcement and officially start the"
12160,19680," stream as usual uh live on twitch and what are we doing today on twitch.at.tv website"
19680,25680," today we're doing content aware resizing and see how about that so i'm going to give the link to"
25680,33040," where we're doing all that uh twitch.tv/zozin uh let me properly spell twitch.tv/zozin and i'm gonna"
33040,38560," ping everyone who's interested in being pinged and go the stream has officially started the stream has"
38560,42800," officially started i really apologize for being a little bit sleepy right now because my sleeping"
42800,51120," schedule is up again so it is what it is and it isn't what it isn't so um yeah so several people over"
51680,58880," some time posted this interesting thing in our discord server which is called scene carving and"
58880,65440," this is a really interesting idea so essentially it's a content aware resizing right so you probably heard"
65440,72880," about it you probably even seen it so um i suppose it was probably implemented in some uh in some graphic"
72880,80560," applications and stuff like that so this is sort of like a test image and the idea is to resize it to make"
80560,89040," it narrower without distorting neither the building nor the person in here right so and essentially this"
89040,93840," is a pretty straightforward algorithm that allows you to do that right so and the result of this"
93840,100320," algorithm when you make it narrower looks like this and it's out absolutely automatic right so no human"
100320,109680," is involved in here so it's just like an algorithm that just does that somehow right so this is rather"
109680,115680," interesting and it apparently there's nothing fancy about it so there's no ai involved or anything in"
115680,127360," fact it's from 2005 right it is from 2005 so yeah so freaking simple it is so freaking simple um so and uh"
127360,136160," i looked up the paper right so you can even find the paper in here right so all of that is going to be in the"
136160,142080," description obviously if you're watching on youtube um so there this is the paper and there's also"
142080,148080," supplementary video uh about how the algorithm works and i really recommend to watch it right so the reason"
148080,154240," why i even started to uh to stream this entire idea is because i've watched this video and explained really"
154240,159920," well how this algorithm works and that's what's inspired me to even start streaming this entire thing"
160720,166000," so i really recommend to check it out it's going to be in the description and also another thing that"
166000,172320," was posted in our discord server uh which is a visualization of how this algorithm works right so"
172320,180720," it basically it does what it says in the name it cars the seams right it literally cars the seams"
180720,186880," so i suppose it was implemented by adam uh right so it's their implementation and this is how it works"
187520,194720," as you can see there is like the seams that are sort of aware of the kid and they're trying to avoid that"
194720,200160," and they're inserting new pixels where it doesn't really matter so they're still disturbing some"
200160,208240," things but they're not disturbing the important things right so and again this is absolutely automatic"
208240,214320," no human input was provided it is just automatically does that so it was not your implementation it was"
214320,221280," stolen from github i see i see but in any case uh right so it's doing all of that automatically you"
221280,227120," can provide human input you can implement the algorithm where you can provide the human input but you don't"
227120,233600," have to you literally don't have to that's that's what's cool about it right it's content aware it's like"
233600,243280," automatic um so um so there's a couple of things in here they don't really matter and essentially the"
243280,250960," idea is the following the idea is the following you need to compute an energy function on an image"
250960,257440," that's what you need you need to compute an energy function and the energy function is going to be what"
257440,266000," determines the seams that you're reducing or expanding so your goal is to find the seams that go across"
266000,271360," like vertically or horizontally right so but usually vertically right so if you want to make a thing"
271360,280240," narrower we probably want to remove the uh the vertical seams and those seams basically the sum of the energy"
280880,291440," along that seam is the smallest right so and uh interestingly enough like what can you use as an"
291440,299840," energy function so usually you can use whatever you want honestly even the user input right so this is"
299840,305840," where the user input can come in but you don't have to so one of the things that people use quite often"
305840,314480," is a gradient magnitude which is basically a gradient of the brightness of the pixel right and uh that is"
314480,321760," an energy function so and that is actually very cool energy function because like the gradient magnitude"
321760,329600," is essentially like a sobel filter like sobel operator uh which is used to detect the edges of the"
329600,337040," image right so that means um the things that are energy dense are the ones that have a lot of"
337040,343920," edges which makes a lot of sense right so it's it's the thing that have a lot of edges and uh"
343920,353280," because they have a lot of edges a seam going across such an energy dense um object is going to uh contain"
353280,359360," the the sum of the pixels are going to contain a lot of energy so because of that the the seam will try"
359360,367120," to avoid this energy dense objects and will go around them and that's how it becomes aware of the content"
367120,374640," that's how it becomes aware of the content such a cool idea like it's also so simple right all of that"
374640,380800," like makes sense right so yeah so you you have objects that have a lot of edges right you assign an"
380800,386480," energy function to that and you make seams that avoid specifically avoid this entire thing and just like"
386480,393360," yeah it makes perfect sense right so and that's precisely what i wanted to code today so the only"
393360,399840," problem is that how you find these seams right so you have a like an energy function you have basically"
399840,407120," association of energy with each individual pixel how can you find the smallest sort of path from top to"
407120,415840," bottom where the sum is the smallest right because uh you have like a exponential amount of amount of"
415840,422000," sums in there right so one of the ways you can do that so one of the ways the uh the wikipedia page"
422000,427760," suggests and also the paper the original paper is a dynamic programming right so with dynamic programming"
427760,433120," you basically scan from left to right top bottom and you look at the neighboring pixels and you just pick the"
433120,438320," uh the square means so what do they use each square represent i don't really know like what's the"
438320,443520," what's the usual path what's the usual function they use to actually combine the the energies of the"
443520,448960," pixels is that the sum or is that like a mean or is that a minimum or something like that i don't"
448960,455440," quite remember honestly uh calculate the weight density of each pixel right so from energy make a list of"
455440,461280," seems seems unranked by energy with low energy seems being least importance they don't really say it in"
461280,471120," here competing the seams uh yeah but in any case in any case so we'll figure it out i think uh we'll"
471120,476800," figure it out so today this is what i want you to try to implement right so i try to implement like a"
476800,484560," content aware resizing of the images um right so that's the plan for today that's the plan for today"
486000,494320," uh all right so let's go ahead and just like do that uh so let me see sim carving all right let's do"
494320,504240," sim carving and let's create a main.cn as usual uh let's create a simple hello world uh so this is going"
504240,510160," to be hello world one of the important things that will probably need to happen here is an ability to load and"
510160,519520," save images so i suppose uh i'll need to bring the stb libraries i'm going to steal them from the mutualizer"
519520,527920," um all right so let me take a look at the ray leap relief 05 and in ray leap we do have them in"
528800,537920," here besides two stb image resize two not the first one very interesting never heard about the second one"
537920,544560," the recite the first resize was so good they made the second one surprisingly so another thing maybe"
544560,552080," it makes sense to bring the like knob uh in here so let's go ahead and do that uh so where knob is"
552080,561040," located i think knob is located somewhere here knob.h boom there we go there we go there we go so let's"
561040,568160," go ahead and just create knob.c uh which is going to build the original thing in here so as well just like"
568160,575600," go ahead and include this thing and we're gonna have an input in here which is also accepts the arguments and"
575600,584560," stuff like that right knob go rebuild yourself technology right so i need to open it so i can"
584560,590480," auto complete things in here i'm gonna provide this step and there you go there we go i'm not sure if it's"
590480,595440," really necessary to do it like that right so because the program is going to be super small"
598720,610560," so uh yeah let's see let's see cmd is it's actually knob uh cmd cmd let's go like that uh knob cmd append"
610560,617920," and what we're appending in here so we're going to be using cc uh i want to include a bunch of flags"
617920,623760," right so for extra protection and stuff like that so it probably also makes sense to include the debug"
623760,630000," information as usual uh right in case i want to debug this entire thing and in here i'm going to"
630000,636240," output main uh and as an input we're going to have main i have not decided like what exactly i'm going"
636240,645360," to use as the as the name in here but yeah so one of the thing i'm 100 going to link with is math um"
645360,650720," i'm not sure if we're going to have any gui right so if i were to add guis i suppose i'm going to be"
650720,655120," using ray leap but i don't feel like doing it right now but it will be kind of cool to maybe"
655120,662480," have some gui to interactively resize with content aware stuff um yeah we'll see we'll see anyways uh"
662480,670800," so knob cmd run synchronously we're running this entire thing synchronously and if it failed we just"
670800,677440," exit with node zero exit code and that's about it so uh let me now build this entire thing knob"
677440,686160," knob.c uh right so we got that and something is not working this is because i did not include"
686160,692320," the uh knob implementation right so knob implementation there we go so let me try to rebuild this entire thing"
692320,698400," and that should be working that should be twerking mine at front and it is in fact working it is in fact"
698400,705120," working so if i run this entire thing it says hello world okay so let's just grab some image right so"
705120,712000," let's grab this one i think it's a good idea and maybe load it up um so i'm gonna just like go ahead"
712000,717840," and download this entire thing so jpeg so do we can we even load jpeg i think we should be able to load"
717840,726720," jpeg so do you support yeah it does in fact support jpeg so stbi uh load right so that's the things we need"
726720,734640," in here not the things we deserve but definitely the things that we need uh right so let's go so this is"
734640,740800," the this is how we're going to be loading things um so i would like to maybe rename this to width and"
740800,747440," height uh i don't really care about the components specifically because of that i'm not going to define"
747440,754480," n i want to put null uh as n in here but i'm going to also say that convert it to four components right"
754480,759520," so because it's going to be easier for me to to work with if i just have four components because it's 32"
759520,766160," bits uh right so and in here we have just pixels and i would like to treat the pixels as just like you"
766160,773120," insert it to right so you insert it to there we go so we've got the pixels and if that didn't work"
773120,778880," so for instance pixels is equal to no uh that means we could not load that specific file all right so it's"
778880,788080," called file path uh const char file path and let's take this thing like so so this is the file path we're"
788080,797280," dealing with uh fprintf std error uh right error could not read uh we're going to put s in here"
797280,802320," all right so it's going to be file path let's go and we're going to return uh this kind of thing okay"
802320,808240," cool so we managed to load the image and let's actually print some info about that uh so we're going"
808240,816080," to say file path is this which is in fact file path and then we're going to have width uh which is going"
816080,821200," to be just the width of this thing and then we're going to have height which is the height of this"
821200,827920," entire thing all right so let me try to rebuild this entire stuff it does not rebuild because we didn't"
827920,837600," include stb image right so it's going to be stb image dot h and so let me let me see so there's also"
837600,844560," should be an implementation for this entire thing so let's put it in here and there we go it seems to be"
844560,850720," working right so it just complains about unused pixels but that's fine that's totally fine now we"
850720,858800," should be able to run this entire thing and it successfully loaded this entire image uh 1428 by 968"
858800,865520," right so that is actually perfect we managed to load the image so that's pretty cool that's pretty cool"
865520,871520," that's pretty cool so the next thing we need to do we need to apply the sub operator on this entire thing"
871520,877840," all right so let me actually take a look at this entire stuff so i had um yeah the the sub operator"
877840,885680," this one so it should allow us to detect the edges of the image right so essentially you have"
885680,890880," this kind of image right so valve original so this is the original valve"
890880,899680," and this is after application of the sub operator so as you can see it allows you to detect edges and stuff like that and that's what we're going to be using as the energy function"
899680,911680," uh right so because the objects with a lot of edges they are coherent objects that contain details that we don't want to lose right we can treat edges as the details"
911680,925680," so that's actually a cool idea so this energy function like shows the concentration of details and force when we build the seams and stuff like that to avoid the clusters of details because we don't want to lose them"
925680,931760," it's actually a very interesting way to look at it honestly it's actually a very cool way to look at it"
931760,938000," um so yeah and all of that is just like in 2005 before ai or anything like that it's just like"
